Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
11,Paradox,Noun,முரண்பாடு,विरोधाभास (Virodhabhaas),It's a strange paradox.,இது ஒரு விசித்திரமான முரண்பாடு.,यह एक अजीब विरोधाभास है।,"Contradiction, Inconsistency, Puzzle",முரண்பாடு
12,Mitigate,Verb,தணி,कम करना (Kam Karna),We need to mitigate the risks.,நாம் ஆபத்துக்களை தணிக்க வேண்டும்.,हमें जोखिमों को कम करने की जरूरत है।,"Alleviate, Reduce, Lessen",தணித்தல்
13,Voracious,Adjective,பேராசை கொண்ட,लालची (Laalchi),He has a voracious appetite for books.,அவருக்குப் புத்தகங்கள் மீது பேராசை கொண்ட பசி உள்ளது.,उन्हें किताबों का लालची शौक है।,"Insatiable, Greedy, Ravenous",பேராசை கொண்ட
14,Cliché,Noun,வழக்கமான ஒன்று,घिसा-पिटा (Ghisa-Pitaa),The ending of the film was a cliché.,படத்தின் முடிவு வழக்கமான ஒன்றாக இருந்தது.,फिल्म का अंत एक घिसा-पिटा था।,"Platitude, Stereotype, Banality",தேய்வழக்கு
15,Exacerbate,Verb,மோசமாக்கு,बदतर बनाना (Badtar Banana),Don't exacerbate the problem.,பிரச்சனையை மோசமாக்க வேண்டாம்.,समस्या को बदतर न बनाएं।,"Aggravate, Worsen, Inflame",மோசமாக்கு
16,Ephemeral,Adjective,மறையும்,अल्पकालिक (Alpakaalik),Joy can be ephemeral.,மகிழ்ச்சி மறையும் தன்மையுடையது.,खुशी क्षणिक हो सकती है।,"Fleeting, Momentary, Passing",நிலையற்ற
17,Humble,Adjective,பணிவான,विनम्र (Vinamra),"Despite his success, he remained humble.","அவரது வெற்றி இருந்தபோதிலும், அவர் பணிவாக இருந்தார்.","अपनी सफलता के बावजूद, वह विनम्र रहे।","Modest, Lowly, Meek",அடக்கமான
18,Elaborate,Verb,விரிவாக கூறு,विस्तार से बताना (Vistaar Se Bataana),Please elaborate on your plan.,தயவுசெய்து உங்கள் திட்டத்தை விரிவாகக் கூறுங்கள்.,कृपया अपनी योजना विस्तार से बताएं।,"Detailed, Complex, Intricate",விரிவான
19,Skeptical,Adjective,சந்தேகமுள்ள,संशयवादी (Sanshayvaadi),I'm skeptical about his claims.,அவரது கூற்றுக்கள் பற்றி எனக்கு சந்தேகமுள்ளது.,मैं उनके दावों के बारे में संशयवादी हूँ।,"Doubtful, Dubious, Cynical",சந்தேகமுள்ள
20,Feasible,Adjective,சாத்தியமான,संभव (Sambhav),This solution seems feasible.,இந்த தீர்வு சாத்தியமானதாக தோன்றுகிறது.,यह समाधान संभव लगता है।,"Possible, Practical, Viable",சாத்தியமான
21,Acquire,Verb,பெறு,प्राप्त करना (Praapt Karna),They plan to acquire a new company.,அவர்கள் ஒரு புதிய நிறுவனத்தை பெற திட்டமிட்டுள்ளனர்.,वे एक नई कंपनी प्राप्त करने की योजना बना रहे हैं।,"Obtain, Gain, Get",பெறுதல்
22,Fluctuate,Verb,ஏறு இறங்கு,उतार-चढ़ाव होना (Utaar-Chadhav Hona),Prices often fluctuate.,விலைகள் அடிக்கடி ஏறு இறங்கும்.,कीमतें अक्सर उतार-चढ़ाव करती हैं।,"Vary, Waver, Shift",ஏற்றத்தாழ்வு
23,Vivid,Adjective,தெளிவான,स्पष्ट (Spasht),I have a vivid memory of that day.,அந்த நாள் பற்றிய தெளிவான நினைவு எனக்கு இருக்கிறது.,मुझे उस दिन की स्पष्ट याद है।,"Bright, Intense, Graphic",தெளிவான / பிரகாசமான
24,Conjecture,Noun,ஊகம்,अनुमान (Anumaan),That is pure conjecture.,அது வெறும் ஊகம் ஆகும்.,वह शुद्ध अनुमान है।,"Guess, Speculation, Surmise",ஊகம்
25,Disparate,Adjective,வேறுபட்ட,असमान (Asamaan),The group had disparate interests.,குழு வேறுபட்ட ஆர்வங்களைக் கொண்டிருந்தது.,समूह के हित असमान थे।,"Different, Distinct, Diverse",வேறுபட்ட
26,Encompass,Verb,உள்ளடக்கு,समाविष्ट करना (Samaavisht Karna),The course will encompass many topics.,இந்தப் பாடத்திட்டம் பல தலைப்புகளை உள்ளடக்கும்.,पाठ्यक्रम में कई विषय समाविष्ट होंगे।,"Surround, Include, Cover",உள்ளடக்கிய
27,Gratify,Verb,திருப்திப்படுத்து,संतुष्ट करना (Santusht Karna),His success will gratify his parents.,அவரது வெற்றி அவரது பெற்றோரை திருப்திப்படுத்தும்.,उसकी सफलता से उसके माता-पिता संतुष्ट होंगे।,"Satisfy, Please, Delight",திருப்திப்படுத்து
28,Imminent,Adjective,உடனடியான,आसन्न (Aasann),The storm is imminent.,புயல் உடனடியாக வரவிருக்கிறது.,तूफान आसन्न है।,"Impending, Approaching, Looming",நெருங்கி வருகிற
29,Lethargic,Adjective,சோம்பலான,सुस्त (Sust),He felt lethargic after the meal.,உணவுக்குப் பிறகு அவர் சோம்பலாக உணர்ந்தார்.,भोजन के बाद उन्होंने सुस्त महसूस किया।,"Sluggish, Lazy, Inactive",மந்தமான
30,Novel,Adjective,புதிய,नया (Naya),That's a novel approach.,அது ஒரு புதிய அணுகுமுறை.,वह एक नया दृष्टिकोण है।,"New, Original, Innovative",புதிய
31,Obscure,Adjective,தெளிவற்ற,अस्पष्ट (Aspasht),His motives remain obscure.,அவரது நோக்கங்கள் தெளிவற்றதாக இருக்கின்றன.,उनके इरादे अस्पष्ट बने हुए हैं।,"Unclear, Hidden, Unknown",மங்கலான
32,Pervasive,Adjective,பரவலான,व्यापक (Vyaapak),Corruption is pervasive.,ஊழல் பரவலாக உள்ளது.,भ्रष्टाचार व्यापक है।,"Widespread, Extensive, General",பரவலான
33,Quell,Verb,அடக்கு,दबाना (Dabaana),The police tried to quell the riot.,கலவரத்தை அடக்க காவல்துறை முயற்சித்தது.,पुलिस ने दंगे को दबाने की कोशिश की।,"Suppress, Extinguish, Subdue",அடக்குதல்
34,Scrutinize,Verb,நுணுக்கமாக ஆராய்,जांचना (Jaanchana),The boss will scrutinize the report.,முதலாளி அறிக்கையை நுணுக்கமாக ஆராய்வார்.,मालिक रिपोर्ट को जांचेंगे।,"Examine, Inspect, Analyze",கூர்ந்து கவனி
35,Tenuous,Adjective,மெல்லிய,कमजोर (Kamzor),The connection is very tenuous.,இணைப்பு மிகவும் மெல்லியதாக உள்ளது.,संबंध बहुत कमजोर है।,"Weak, Fragile, Slender",பலவீனமான
36,Venerate,Verb,மதி,सम्मान करना (Sammaan Karna),We venerate our ancestors.,நாங்கள் எங்கள் மூதாதையர்களை மதிக்கிறோம்.,हम अपने पूर्वजों का सम्मान करते हैं।,"Revere, Respect, Worship",போற்றுதல்
37,Wane,Verb,குறை,घटना (Ghatna),The moon's light will wane.,நிலவின் ஒளி குறையும்.,चाँद की रोशनी घटेगी।,"Decline, Diminish, Fade",தேய்தல் / குறைதல்
38,Zealous,Adjective,ஆர்வமுள்ள,उत्साही (Utsaahi),She is a zealous supporter.,அவள் ஒரு ஆர்வமுள்ள ஆதரவாளர்.,वह एक उत्साही समर्थक है।,"Enthusiastic, Passionate, Eager",ஆர்வமிக்க
39,Bolster,Verb,பலப்படுத்து,मजबूत करना (Majboot Karna),Exercise can bolster your health.,உடற்பயிற்சி உங்கள் ஆரோக்கியத்தை பலப்படுத்தும்.,व्यायाम आपके स्वास्थ्य को मजबूत कर सकता है।,"Support, Strengthen, Boost",பலப்படுத்து
40,Capricious,Adjective,நிலையற்ற,मनमौजी (Manmauji),The weather is capricious today.,இன்று வானிலை நிலையற்றதாக உள்ளது.,आज मौसम मनमौजी है।,"Fickle, Unpredictable, Erratic",நிலையற்ற புத்தி
41,Delineate,Verb,கோடிட்டுக் காட்டு,चित्रित करना (Chitrit Karna),You need to delineate the boundaries.,நீங்கள் எல்லைகளை கோடிட்டுக் காட்ட வேண்டும்.,आपको सीमाओं को चित्रित करने की आवश्यकता है।,"Describe, Outline, Define",வரைறுத்தல்
42,Equivocate,Verb,இருபொருள் பேசு,टालमटोल करना (Taalmatol Karna),Don't equivocate in your answer.,உங்கள் பதிலில் இருபொருள் பேச வேண்டாம்.,अपने उत्तर में टालमटोल न करें।,"Prevaricate, Hedge, Stall",நழுவுதல்
43,Hapless,Adjective,துரதிர்ஷ்டவசமான,अभागा (Abhaaga),The hapless traveller lost his way.,துரதிர்ஷ்டவசமான பயணி வழிதவறிவிட்டார்.,अभागा यात्री अपना रास्ता भटक गया।,"Unfortunate, Unlucky, Luckless",துரதிர்ஷ்டவசமான
44,Intrepid,Adjective,அஞ்சாத,निडर (Nidar),The intrepid explorers reached the pole.,அஞ்சாத ஆராய்ச்சியாளர்கள் துருவத்தை அடைந்தனர்.,निडर खोजकर्ता ध्रुव पर पहुँचे।,"Fearless, Brave, Courageous",அஞ்சாத / துணிச்சலான
45,Juxtapose,Verb,அடுத்தடுத்து வை,पास-पास रखना (Paas-Paas Rakhna),The artist juxtaposed dark and light colors.,கலைஞர் இருண்ட மற்றும் லேசான வண்ணங்களை அடுத்தடுத்து வைத்தார்.,कलाकार ने काले और हल्के रंगों को पास-पास रखा।,"Contrast, Place side by side",அருகருகே வை
46,Languish,Verb,நலிவடை,कमजोर पड़ना (Kamzor Padna),The plants will languish without water.,தண்ணீர் இல்லாமல் செடிகள் நலிவடையும்.,पानी के बिना पौधे कमजोर पड़ जाएंगे।,"Weaken, Deteriorate, Decline",நலிவடைதல்
47,Perfunctory,Adjective,மேலோட்டமான,लापरवाही भरा (Laaparvaahi Bhara),The cleaner did a perfunctory job.,துப்புரவு பணியாளர் ஒரு மேலோட்டமான வேலையைச் செய்தார்.,सफाईकर्मी ने लापरवाही भरा काम किया।,"Cursory, Careless, Brief",கடமைக்காக
48,Quixotic,Adjective,நடைமுறை சாத்தியமற்ற,अव्यावहारिक (Avyavahaarik),His plan was utterly quixotic.,அவரது திட்டம் முற்றிலும் நடைமுறை சாத்தியமற்றது.,उनकी योजना पूरी तरह से अव्यावहारिक थी।,"Idealistic, Unrealistic, Impractical",நடைமுறைக்கு ஒவ்வாத
49,Ruminate,Verb,சிந்தி,सोचना (Sochna),She needs time to ruminate on the offer.,அந்த சலுகையைப் பற்றி சிந்திக்க அவளுக்கு நேரம் தேவை.,उसे प्रस्ताव पर सोचने के लिए समय चाहिए।,"Ponder, Meditate, Muse",ஆழமாக சிந்தி
50,Stymie,Verb,தடுத்து நிறுத்து,रोकना (Rokna),Bad weather stymied the rescue mission.,மோசமான வானிலை மீட்பு பணியை தடுத்து நிறுத்தியது.,खराब मौसम ने बचाव मिशन को रोक दिया।,"Hinder, Block, Obstruct",தடுத்தல்
51,Abrogate,Verb,ரத்து செய்,रद्द करना (Radd Karna),They voted to abrogate the treaty.,அவர்கள் ஒப்பந்தத்தை ரத்து செய்ய வாக்களித்தனர்.,उन्होंने संधि को रद्द करने के लिए वोट किया।,"Repeal, Revoke, Annul",ரத்து செய்தல்
52,Ascetic,Adjective,துறவற,तपस्वी (Tapasvi),The monk lived an ascetic life.,அந்த துறவி ஒரு துறவற வாழ்க்கையை வாழ்ந்தார்.,साधु ने तपस्वी जीवन जिया।,"Austere, Self-denying, Hermit",துறவி
53,Cacophony,Noun,இரைச்சல்,कोलाहल (Kolahal),The party created a terrible cacophony.,அந்த விருந்து பயங்கரமான இரைச்சலை உருவாக்கியது.,पार्टी ने भयानक कोलाहल पैदा किया।,"Noise, Discord, Harshness",கரகரப்பான சத்தம்
54,Dichotomy,Noun,இருபிரிவு,द्विभाजन (Dvibhaajan),There is a clear dichotomy in the policy.,கொள்கையில் ஒரு தெளிவான இருபிரிவு உள்ளது.,नीति में एक स्पष्ट द्विभाजन है।,"Division, Contrast, Split",இரண்டாகப் பிரிதல்
55,Ebullient,Adjective,உற்சாகமான,उत्साहित (Utsaahit),Her ebullient personality cheered us up.,அவளது உற்சாகமான ஆளுமை எங்களை மகிழ்ச்சிப்படுத்தியது.,उसके उत्साहित व्यक्तित्व ने हमें खुश कर दिया।,"Cheerful, Joyful, Exuberant",துடிப்பான
56,Fickle,Adjective,நிலையற்ற,चंचल (Chanchal),Public opinion can be very fickle.,பொது கருத்து மிகவும் நிலையற்றதாக இருக்கலாம்.,जनमत बहुत चंचल हो सकता है।,"Capricious, Changeable, Variable",நிலையற்ற
57,Gregarious,Adjective,கூட்டமாக வாழும்,मिलनसार (Milansaar),She is a gregarious and friendly person.,அவள் ஒரு கூட்டமாக வாழும் மற்றும் நட்பான நபர்.,वह एक मिलनसार और दोस्ताना इंसान है।,"Sociable, Outgoing, Friendly",கலகலப்பான
58,Heuristic,Adjective,சுயமாகக் கண்டறியும்,अनुमानी (Anumaani),We used a heuristic approach to solve it.,அதைத் தீர்க்க நாங்கள் ஒரு சுயமாகக் கண்டறியும் அணுகுமுறையைப் பயன்படுத்தினோம்.,हमने इसे हल करने के लिए एक अनुमानी दृष्टिकोण का इस्तेमाल किया।,"Practical, Hands-on, Empirical",அனுபவம் சார்ந்த
59,Impeccable,Adjective,குறையற்ற,त्रुटिहीन (Trutihin),His manners were impeccable.,அவரது நடத்தை குறையற்றதாக இருந்தது.,उनका व्यवहार त्रुटिहीन था।,"Flawless, Perfect, Spotless",குறையற்ற
60,Juggernaut,Noun,தடைசெய்ய முடியாத சக்தி,प्रचंड शक्ति (Prachand Shakti),The company became a market juggernaut.,அந்த நிறுவனம் ஒரு சந்தை தடைசெய்ய முடியாத சக்தியாக மாறியது.,कंपनी एक बाजार प्रचंड शक्ति बन गई।,"Force, Power, Steamroller",தடுக்க முடியாத சக்தி
61,Labyrinth,Noun,சிக்கலான பாதை,भूलभुलैया (Bhoolbhulaiya),We got lost in the labyrinth of streets.,நாங்கள் தெருக்களின் சிக்கலான பாதையில் தொலைந்து போனோம்.,हम सड़कों की भूलभुलैया में खो गए।,"Maze, Network, Web",சிக்கலான பாதை
62,Mellifluous,Adjective,இனிமையான குரல் கொண்ட,मधुरभाषी (Madhurbhaashi),The singer had a mellifluous voice.,அந்தப் பாடகருக்கு இனிமையான குரல் இருந்தது.,गायक की आवाज़ मधुरभाषी थी।,"Sweet, Dulcet, Smooth",இனிமையான ஒலி
63,Nefarious,Adjective,தீய,कुटिल (Kutil),They uncovered a ** nefarious** plot.,அவர்கள் ஒரு தீய சதித்திட்டத்தைக் கண்டுபிடித்தனர்.,उन्होंने एक कुटिल साजिश का पर्दाफाश किया।,"Wicked, Evil, Villainous",கொடிய / தீய
64,Obfuscate,Verb,குழப்பு,अस्पष्ट करना (Aspasht Karna),He tried to obfuscate the truth.,அவர் உண்மையை குழப்ப முயன்றார்.,उन्होंने सच्चाई को अस्पष्ट करने की कोशिश की।,"Confuse, Blur, Muddle",குழப்புதல்
65,Pugnacious,Adjective,சண்டை பிடிக்கும்,झगड़ालू (Jhagaraloo),The politician was known for his pugnacious style.,அந்த அரசியல்வாதி தனது சண்டை பிடிக்கும் பாணிக்கு பெயர் பெற்றவர்.,वह राजनेता अपनी झगड़ालू शैली के लिए जाने जाते थे।,"Aggressive, Belligerent, Hostile",சண்டையிடும் குணம்
66,Quotidian,Adjective,அன்றாட,रोज़मर्रा का (Rozmarra Ka),Cleaning is a quotidian chore.,சுத்தம் செய்வது ஒரு அன்றாட வேலை.,सफाई एक रोज़मर्रा का काम है।,"Daily, Everyday, Ordinary",அன்றாட
67,Recalcitrant,Adjective,பிடிவாதமான,हठी (Hathi),The boy was recalcitrant and refused to obey.,"அந்தச் சிறுவன் பிடிவாதமாக இருந்தான், கீழ்ப்படிய மறுத்தான்.",वह लड़का हठी था और आज्ञा मानने से इनकार कर दिया।,"Uncooperative, Stubborn, Defiant",பிடிவாதமான
68,Salient,Adjective,முக்கியமான,मुख्य (Mukhya),The salient points of the report were highlighted.,அறிக்கையின் முக்கியமான புள்ளிகள் எடுத்துக்காட்டப்பட்டன.,रिपोर्ट के मुख्य बिंदुओं पर प्रकाश डाला गया।,"Important, Main, Notable",முக்கியமான
69,Tacit,Adjective,மௌனமான,मौन (Maun),They reached a tacit agreement.,அவர்கள் ஒரு மௌனமான உடன்பாட்டை அடைந்தனர்.,वे एक मौन समझौते पर पहुँचे।,"Implicit, Silent, Unspoken",மௌனமான சம்மதம்
70,Vicarious,Adjective,மற்றவர் மூலம் உணரும்,परोक्ष (Paroksh),She felt a vicarious thrill watching the race.,பந்தயத்தைப் பார்த்து அவள் ஒரு மற்றவர் மூலம் உணரும் சிலிர்ப்பை உணர்ந்தாள்.,रेस देखकर उसे परोक्ष रोमांच महसूस हुआ।,"Indirect, Second-hand",பிறர் வழி உணர்தல்
71,Wistful,Adjective,ஏங்கக்கூடிய,उदास (Udaas),He gave a wistful smile.,அவர் ஒரு ஏங்கக்கூடிய புன்னகையை அளித்தார்.,उसने एक उदास मुस्कान दी।,"Regretful, Longing, Yearning",ஏக்கம் நிறைந்த
72,Yawn,Verb,கொட்டாவி விடு,जम्हाई लेना (Jamhaai Lena),I began to yawn during the long meeting.,நீண்ட கூட்டத்தின் போது நான் கொட்டாவி விட ஆரம்பித்தேன்.,लंबी बैठक के दौरान मुझे जम्हाई आने लगी।,"Gape, Opening",கொட்டாவி
73,Zenith,Noun,உச்சநிலை,चरमोत्कर्ष (Charmotkarsh),The sun reached its zenith at noon.,சூரியன் நண்பகலில் அதன் உச்சநிலையை அடைந்தது.,दोपहर में सूर्य अपने चरमोत्कर्ष पर पहुँच गया।,"Peak, Pinnacle, Summit",உச்சக்கட்டம்
74,Alacrity,Noun,விரைவு,तत्परता (Tatparta),She accepted the offer with alacrity.,அவள் விரைவுடன் சலுகையை ஏற்றுக்கொண்டாள்.,उसने तत्परता से प्रस्ताव स्वीकार कर लिया।,"Eagerness, Readiness, Speed",உற்சாகம்
75,Blandishment,Noun,முகஸ்துதி,चापलूसी (Chaaploosi),He resisted the salesman's blandishments.,அவர் விற்பனையாளரின் முகஸ்துதிக்கு எதிர்ப்பு தெரிவித்தார்.,उन्होंने विक्रेता की चापलूसी का विरोध किया।,"Flattery, Cajolery",முகஸ்துதி
76,Censure,Verb,கண்டி,निंदा करना (Ninda Karna),The committee decided to censure the member.,குழு உறுப்பினரைக் கண்டிக்க முடிவு செய்தது.,समिति ने सदस्य की निंदा करने का फैसला किया।,"Criticize, Condemn, Reprimand",கண்டனம்
77,Deleterious,Adjective,தீங்கு விளைவிக்கும்,हानिकारक (Haanikaarak),Smoking has a deleterious effect on health.,புகைபிடித்தல் ஆரோக்கியத்தில் தீங்கு விளைவிக்கும் விளைவைக் கொண்டுள்ளது.,धूम्रपान का स्वास्थ्य पर हानिकारक प्रभाव पड़ता है।,"Harmful, Damaging, Injurious",தீங்கான
78,Efficacy,Noun,செயல் திறன்,प्रभावशीलता (Prabhaavasheelta),The efficacy of the new medicine is high.,புதிய மருந்தின் செயல் திறன் அதிகமாக உள்ளது.,नई दवा की प्रभावशीलता अधिक है।,"Effectiveness, Success, Potency",செயல்திறன்
79,Fecund,Adjective,வளமான,उपजाऊ (Upjaau),The land was very fecund.,அந்த நிலம் மிகவும் வளமானதாக இருந்தது.,भूमि बहुत उपजाऊ थी।,"Fertile, Productive, Fruitful",வளமான
80,Garner,Verb,சேகரி,जमा करना (Jama Karna),He managed to garner enough support.,அவர் போதுமான ஆதரவை சேகரிக்க முடிந்தது.,वह पर्याप्त समर्थन जमा करने में कामयाब रहे।,"Collect, Gather, Accumulate",சேகரித்தல்
81,Hegemony,Noun,தலைமை,प्रभुत्व (Prabhutva),The nation seeks regional hegemony.,அந்த நாடு பிராந்திய தலைமையை தேடுகிறது.,राष्ट्र क्षेत्रीय प्रभुत्व चाहता है।,"Leadership, Dominance, Control",ஆதிக்கம்
82,Idiosyncrasy,Noun,தனித்தன்மை,विलक्षणता (Vilakshanta),His idiosyncrasy was eating only green foods.,பச்சை உணவுகளை மட்டுமே சாப்பிடுவது அவரது தனித்தன்மை ஆகும்.,उनकी विलक्षणता केवल हरे खाद्य पदार्थ खाना थी।,"Peculiarity, Quirk, Mannerism",தனித்தன்மை
83,Incendiary,Adjective,ஆத்திரமூட்டும்,भड़काऊ (Bhadkaau),He made an incendiary speech.,அவர் ஒரு ஆத்திரமூட்டும் உரையை நிகழ்த்தினார்.,उन्होंने एक भड़काऊ भाषण दिया।,"Inflammatory, Provocative",தூண்டிவிடும்
84,Jocund,Adjective,மகிழ்ச்சியான,हँसमुख (Hansmukh),They spent a jocund evening together.,அவர்கள் ஒன்றாக ஒரு மகிழ்ச்சியான மாலைப் பொழுதைக் கழித்தனர்.,उन्होंने एक साथ एक हँसमुख शाम बिताई।,"Cheerful, Lighthearted, Merry",மகிழ்ச்சியான
85,Kudos,Noun,பாராட்டு,प्रशंसा (Prashansa),Kudos to the team for their hard work.,அவர்களின் கடின உழைப்புக்கு குழுவுக்கு பாராட்டு.,उनकी कड़ी मेहनत के लिए टीम को प्रशंसा।,"Praise, Glory, Honor",புகழ் / பாராட்டு
86,Laconic,Adjective,சுருக்கமான,संक्षिप्त (Sankshipt),He gave a laconic reply.,அவர் ஒரு சுருக்கமான பதிலை அளித்தார்.,उन्होंने एक संक्षिप्त जवाब दिया।,"Brief, Concise, Terse",சுருக்கமான
87,Malinger,Verb,நோய்வாய்ப்பட்டதாக பாசாங்கு செய்,बीमारी का बहाना करना (Bimaari Ka Bahaana Karna),The employee tried to malinger.,ஊழியர் நோய்வாய்ப்பட்டதாக பாசாங்கு செய்ய முயன்றார்.,कर्मचारी ने बीमारी का बहाना करने की कोशिश की।,"Shirk, Fake illness",வேலையைத் தவிர்க்க
88,Nihilism,Noun,சூனியவாதம்,शून्यवाद (Shunyavaad),His philosophy bordered on nihilism.,அவரது தத்துவம் சூனியவாதத்தின் விளிம்பில் இருந்தது.,उनका दर्शन शून्यवाद की सीमा पर था।,"Skepticism, Negativism",சூனியவாதம்
89,Obsequious,Adjective,அதிகப்படியான பணிவுள்ள,चाटुकार (Chaatookar),The staff were excessively obsequious.,ஊழியர்கள் அதிகப்படியான பணிவுள்ளவர்களாக இருந்தனர்.,कर्मचारी अत्यधिक चाटुकार थे।,"Servile, Fawning, Groveling",பணிவான (மிதமிஞ்சிய)
90,Pellucid,Adjective,மிகவும் தெளிவான,पारदर्शी (Paardarshi),The water was crystal-clear and pellucid.,தண்ணீர் பளிங்கு போல் மிகவும் தெளிவாக இருந்தது.,पानी क्रिस्टल-साफ़ और पारदर्शी था।,"Clear, Transparent, Lucid",தெளிவான
91,Quagmire,Noun,சிக்கலான நிலை,दलदल (Daldal),The project turned into a political quagmire.,இந்தத் திட்டம் ஒரு அரசியல் சிக்கலான நிலையை அடைந்தது.,यह परियोजना एक राजनीतिक दलदल में बदल गई।,"Swamp, Morass, Muddle",இக்கட்டான நிலை
92,Redundant,Adjective,தேவையற்ற,अनावश्यक (Anaavashyak),That step is completely redundant.,அந்த படி முற்றிலும் தேவையற்றது.,वह कदम पूरी तरह से अनावश्यक है।,"Unnecessary, Extra, Excess",தேவையற்ற
93,Stentorian,Adjective,உரத்த (குரல்),ज़ोरदार (Zordaar),The speaker had a stentorian voice.,பேச்சாளருக்கு உரத்த குரல் இருந்தது.,वक्ता की आवाज़ ज़ोरदार थी।,"Loud, Powerful, Booming",உரத்த குரல்
94,Turgid,Adjective,வீங்கிய / புரியாத,फूला हुआ / जटिल (Foola Hua / Jatil),The writing was turgid and difficult to read.,எழுத்து புரியாததாகவும் படிக்க கடினமானதாகவும் இருந்தது.,लेखन जटिल और पढ़ने में मुश्किल था।,"Swollen, Inflated, Pompous",வீங்கிய / ஆடம்பரமான
95,Unctuous,Adjective,மிகவும் பணிவான (தரம் தாழ்ந்த),चापलूस (Chaaploos),His unctuous flattery was obvious.,அவரது மிகவும் பணிவான முகஸ்துதி வெளிப்படையாக இருந்தது.,उसकी चापलूस चापलूसी स्पष्ट थी।,"Oily, Sycophantic, Greasy",வழவழப்பான / போலியான
96,Vituperate,Verb,திட்டு,फटकारना (Phatkaarna),He used to vituperate his opponents.,அவர் தனது எதிரிகளைத் திட்டுவார்.,वह अपने विरोधियों को फटकारता था।,"Scold, Revile, Berate",வசைபாடுதல்
97,Wanton,Adjective,காரணமில்லாத,मनमाना (Manmaana),He was accused of wanton destruction.,அவர் காரணமில்லாத அழிப்பிற்காக குற்றம் சாட்டப்பட்டார்.,उस पर मनमाना विनाश का आरोप लगाया गया था।,"Reckless, Malicious, Cruel",காரணமற்ற / கொடிய
98,Xenophobia,Noun,வெளிநாட்டினர் மீதான பயம்,विदेशियों से घृणा (Videshiyon Se Ghrina),The rise of xenophobia is worrying.,வெளிநாட்டினர் மீதான பயத்தின் எழுச்சி கவலை அளிக்கிறது.,विदेशियों से घृणा का बढ़ना चिंताजनक है।,"Prejudice, Intolerance",அயல்நாட்டவர் மீதான பயம்
