Exercise_ID,Level,Writing_Focus,Task_Type,Input_Example,Correct_Output,Tamil Translation,Hindi Translation
W123,Intermediate,Beginner (A1),Correction,She is more smarter than him.,She is smarter than him.,அவள் அவனை விட புத்திசாலி.,वह उससे ज्यादा समझदार है।
W124,Intermediate,Beginner (A1),Punctuation,"I am busy now, however, I can help later.","I am busy now**;** however, I can help later.","நான் இப்போது வேலையாக இருக்கிறேன்; இருந்தாலும், பிறகு உதவுகிறேன்.","मैं अभी व्यस्त हूँ; हालाँकि, मैं बाद में मदद कर सकता हूँ।"
W125,Intermediate,Beginner (A1),Selection,There isn't ___ (many/much) sugar left.,There isn't much sugar left.,அதிக சர்க்கரை மிச்சமில்லை.,ज्यादा चीनी नहीं बची है।
W126,Intermediate,Beginner (A1),Fill in Blank,Please ___ (turn) the lights.,Please turn off the lights.,தயவுசெய்து விளக்குகளை அணைக்கவும்.,कृपया लाइट बंद कर दें।
W127,Intermediate,Beginner (A1),Transformation,I smoked in the past.,I used to smoke.,நான் முன்பு புகைபிடிக்கும் பழக்கம் கொண்டிருந்தேன்.,मैं धूम्रपान किया करता था।
W128,Intermediate,Beginner (A1),Completion,"It's a beautiful day, ___?","It's a beautiful day, isn't it?","இது ஒரு அழகான நாள், அல்லவா?","यह एक खूबसूरत दिन है, है ना?"
W129,Intermediate,Beginner (A1),Selection,It is difficult ___ (understand) this.,It is difficult to understand this.,இதைப் புரிந்துகொள்வது கடினம்.,इसे समझना मुश्किल है।
W130,Intermediate,Beginner (A1),Fill in Blank,I ___ (sleep) when the phone rang.,I was sleeping when the phone rang.,போன் ஒலித்தபோது நான் தூங்கிக்கொண்டிருந்தேன்.,जब फोन बजा तब मैं सो रहा था।
W131,Advanced,Beginner (A1),Correction,I suggest that he goes there.,I suggest that he go there.,அவர் அங்கு செல்ல வேண்டும் என்று நான் பரிந்துரைக்கிறேன்.,मेरा सुझाव है कि वह वहां जाए।
W132,Advanced,Beginner (A1),Transformation,He had never seen such beauty.,Never had he seen such beauty.,இத்தகைய அழகை அவர் பார்த்ததே இல்லை.,ऐसी सुंदरता उसने कभी नहीं देखी थी।
W133,Advanced,Beginner (A1),Correction,"He likes hiking, swimming, and to bike.","He likes hiking, swimming, and bicycling.","அவருக்கு மலையேற்றம், நீச்சல் மற்றும் மிதிவண்டி ஓட்டுதல் பிடிக்கும்.","उसे हाइकिंग, स्विमिंग और साइकिल चलाना पसंद है।"
W134,Advanced,Beginner (A1),Correction,"Walking down the street, the tree fell.","While I was walking down the street, the tree fell.","நான் தெருவில் நடந்து சென்றபோது, மரம் விழுந்தது.","जब मैं सड़क पर चल रहा था, तब पेड़ गिर गया।"
W135,Advanced,Beginner (A1),Transformation,Please revert back to my email.,Please revert to my email.,எனது மின்னஞ்சலுக்கு பதில் அளிக்கவும்.,कृपया मेरे ईमेल का उत्तर दें।
W136,Advanced,Beginner (A1),Completion,"Some like tea, others ___ coffee.","Some like tea, others [like] coffee.","சிலருக்குத் தேநீர் பிடிக்கும், மற்றவர்களுக்குக் காபி.","कुछ को चाय पसंद है, दूसरों को कॉफी।"
W137,Advanced,Beginner (A1),Transformation,The news was very sad.,The news was heartbreaking.,அந்த செய்தி மனதை உடைப்பதாக இருந்தது.,खबर दिल दहला देने वाली थी।
W138,Advanced,Beginner (A1),Correction,Neither of the players were ready.,Neither of the players was ready.,வீரர்களில் ஒருவரும் தயாராக இல்லை.,दोनों में से कोई भी खिलाड़ी तैयार नहीं था।
W139,Advanced,Beginner (A1),Selection,"___ the rain, the event continued.","Notwithstanding the rain, the event continued.","மழையையும் மீறி, நிகழ்ச்சி தொடர்ந்தது.",बारिश के बावजूद कार्यक्रम जारी रहा।
W140,Advanced,Beginner (A1),Completion,"Hard though it was, he ___ (succeed).","Hard though it was, he succeeded.","அது கடினமாக இருந்தபோதிலும், அவர் வெற்றி பெற்றார்.","हालाँकि यह कठिन था, फिर भी वह सफल रहा।"
W141,Advanced,Beginner (A1),Transformation,I like your hair.,I do like your hair.,எனக்கு உன் தலைமுடி நிஜமாகவே பிடித்துள்ளது.,मुझे तुम्हारे बाल सचमुच पसंद हैं।
W142,Advanced,Beginner (A1),Fill in Blank,"If I had studied, I ___ (be) a doctor now.","If I had studied, I would be a doctor now.","நான் படித்திருந்தால், இப்போது மருத்துவராக இருப்பேன்.","अगर मैंने पढ़ाई की होती, तो मैं अब डॉक्टर होता।"
W143,Advanced,Beginner (A1),Transformation,He denied that he saw her.,He denied having seen her.,அவளைப் பார்த்ததை அவர் மறுத்தார்.,उसने उसे देखने से इनकार कर दिया।
W144,Advanced,Beginner (A1),Transformation,I need a vacation.,What I need is a vacation.,எனக்குத் தேவையானது ஒரு விடுமுறை.,मुझे जिसकी ज़रूरत है वह है एक छुट्टी।
W145,Advanced,Beginner (A1),Completion,She was talented—everyone knew it.,She was talented**—everyone knew it.**,அவள் திறமையானவள்—அது அனைவருக்கும் தெரிந்திருந்தது.,वह प्रतिभाशाली थी—यह हर कोई जानता था।
W146,Advanced,Beginner (A1),Transformation,They analyzed the data.,Their analysis of the data was thorough.,தரவுகள் பற்றிய அவர்களின் பகுப்பாய்வு முழுமையாக இருந்தது.,डेटा का उनका विश्लेषण गहन था।
W147,Advanced,Beginner (A1),Selection,He isn't here; he ___ (must/can) be lost.,He isn't here; he must be lost.,அவர் இங்கு இல்லை; அவர் வழிதவறியிருக்க வேண்டும்.,वह यहाँ नहीं है; वह ज़रूर खो गया होगा।
W148,Advanced,Beginner (A1),Fill in Blank,He is ___ (a/the) Shakespeare of our time.,He is the Shakespeare of our time.,அவர் நம் காலத்தின் ஷேக்ஸ்பியர்.,वह हमारे समय के शेक्सपियर हैं।
W149,Advanced,Beginner (A1),Selection,"___ the weather, we stayed home.","By dint of the bad weather, we stayed home.","மோசமான வானிலை காரணமாக, நாங்கள் வீட்டிலேயே இருந்தோம்।",खराब मौसम के कारण हम घर पर ही रहे।
W150,Advanced,Beginner (A1),Completion,"By next year, I ___ (finish) the course.","By next year, I will have finished the course.","அடுத்த ஆண்டுக்குள், நான் படிப்பை முடித்திருப்பேன்.","अगले साल तक, मैं कोर्स पूरा कर चुका हूँगा।"
W151,Beginner,Beginner (A1),Fill in Blank,I see him ___ (on/at) Mondays.,I see him on Mondays.,நான் அவரைத் திங்கட்கிழமைகளில் பார்க்கிறேன்.,मैं उससे सोमवार को मिलता हूँ।
W152,Beginner,Beginner (A1),Selection,Is this pen ___ (your/yours)?,Is this pen yours?,இந்தப் பேனா உன்னுடையதா?,क्या यह पेन तुम्हारा है?
W153,Beginner,Beginner (A1),Correction,A red big apple.,A big red apple.,ஒரு பெரிய சிவப்பு ஆப்பிள்.,एक बड़ा लाल सेब।
W154,Beginner,Beginner (A1),Completion,They ___ (be) my friends.,They are my friends.,அவர்கள் என் நண்பர்கள்.,वे मेरे दोस्त हैं।
W155,Beginner,Beginner (A1),Correction,There are five boxs.,There are five boxes.,அங்கு ஐந்து பெட்டிகள் உள்ளன.,वहाँ पाँच बक्से हैं।
W156,Intermediate,Beginner (A1),Transformation,I want to talk to you.,I would like to discuss this with you.,நான் இதை உங்களுடன் விவாதிக்க விரும்புகிறேன்.,मैं इस बारे में आपसे चर्चा करना चाहूंगा।
W157,Intermediate,Beginner (A1),Fill in Blank,The movie was very ___ (excite).,The movie was very exciting.,அந்தத் திரைப்படம் மிகவும் உற்சாகமாக இருந்தது.,फिल्म बहुत रोमांचक थी।
W158,Intermediate,Beginner (A1),Fill in Blank,It is ___ (possible) to finish now.,It is impossible to finish now.,இப்போது முடிப்பது சாத்தியமில்லை.,अब पूरा करना असंभव है।
W159,Intermediate,Beginner (A1),Selection,I ___ (can/could) swim when I was 5.,I could swim when I was 5.,எனக்கு 5 வயதாக இருந்தபோது என்னால் நீந்த முடிந்தது.,जब मैं 5 साल का था तब मैं तैर सकता था।
W160,Intermediate,Beginner (A1),Completion,"___ it was raining, we went out.","Although it was raining, we went out.","மழை பெய்து கொண்டிருந்த போதிலும், நாங்கள் வெளியே சென்றோம்.","हालाँकि बारिश हो रही थी, फिर भी हम बाहर गए।"
W161,Intermediate,Beginner (A1),Transformation,The mail was sent by me.,I sent the mail.,நான் அந்த மின்னஞ்சலை அனுப்பினேன்.,मैंने मेल भेजा।
W162,Intermediate,Beginner (A1),Selection,I have ___ (a few/a little) friends.,I have a few friends.,எனக்குச் சில நண்பர்கள் உள்ளனர்.,मेरे कुछ दोस्त हैं।
W163,Intermediate,Beginner (A1),Correction,This is the most baddest day.,This is the worst day.,இது மிகவும் மோசமான நாள்.,यह सबसे बुरा दिन है।
W164,Intermediate,Beginner (A1),Completion,Please ___ (look) the word in the dictionary.,Please look up the word in the dictionary.,அகராதியில் அந்த வார்த்தையைத் தேடுங்கள்.,कृपया शब्दकोश में शब्द देखें।
W165,Intermediate,Beginner (A1),Completion,"If I won the lottery, I ___ (travel).","If I won the lottery, I would travel.","நான் லாட்டரி வென்றால், நான் பயணம் செய்வேன்.","अगर मैं लॉटरी जीतता, तो मैं यात्रा करता।"
W166,Advanced,Beginner (A1),Correction,"He likes to run, swim, and hiking.","He likes to run, swim, and hike.","அவருக்கு ஓட, நீந்த மற்றும் மலையேற பிடிக்கும்.","उसे दौड़ना, तैरना और लंबी पैदल यात्रा करना पसंद है।"
W167,Advanced,Beginner (A1),Transformation,Give me the report.,Please provide the report.,தயவுசெய்து அறிக்கையை வழங்கவும்.,कृपया रिपोर्ट प्रदान करें।
W168,Advanced,Beginner (A1),Completion,"I need three things: a pen, paper, and ink.","I need three things**: a pen, paper, and ink.**","எனக்கு மூன்று விஷயங்கள் தேவை: பேனா, காகிதம் மற்றும் மை.","मुझे तीन चीजों की जरूरत है: एक पेन, कागज और स्याही।"
W169,Advanced,Beginner (A1),Correction,Every one of the students are here.,Every one of the students is here.,மாணவர்கள் ஒவ்வொருவரும் இங்கே இருக்கிறார்கள்.,छात्रों में से हर एक यहाँ है।
W170,Advanced,Beginner (A1),Selection,The drought ___ (affected/effected) the crops.,The drought affected the crops.,வறட்சி பயிர்களைப் பாதித்தது.,सूखे ने फसलों को प्रभावित किया।
W171,Advanced,Beginner (A1),Transformation,"""Will you help me?"" she asked.",She asked if I would help her.,எனக்கு உதவுவீர்களா என்று அவள் கேட்டாள்.,उसने पूछा कि क्या मैं उसकी मदद करूँगा।
W172,Advanced,Beginner (A1),Correction,It is vital that he is informed.,It is vital that he be informed.,அவருக்குத் தெரிவிக்கப்படுவது முக்கியம்.,यह महत्वपूर्ण है कि उसे सूचित किया जाए।
W173,Advanced,Beginner (A1),Transformation,The flat was small in size.,The flat was small.,அந்த வீடு சிறியதாக இருந்தது.,फ्लैट छोटा था।
W174,Advanced,Beginner (A1),Completion,He decided to call it a ___.,He decided to call it a day.,அவர் அன்றைய வேலையை நிறுத்த முடிவு செய்தார்.,उसने काम बंद करने का फैसला किया।
W175,Advanced,Beginner (A1),Transformation,People say he is rich.,He is said to be rich.,அவர் பணக்காரர் என்று சொல்லப்படுகிறது.,कहा जाता है कि वह अमीर है।
W176,Beginner,Beginner (A1),Correction,how are u?,How are you?,நீங்கள் எப்படி இருக்கிறீர்கள்?,आप कैसे हैं?
W177,Beginner,Beginner (A1),Fill in Blank,I have ___ (3) brothers.,I have three brothers.,எனக்கு மூன்று சகோதரர்கள் உள்ளனர்.,मेरे तीन भाई हैं।
W178,Beginner,Beginner (A1),Transformation,She eats meat.,She does not eat meat.,அவள் இறைச்சி சாப்பிடுவதில்லை.,वह मांस नहीं खाती है।
W179,Beginner,Beginner (A1),Selection,Look at ___ (this/that) bird in the sky.,Look at that bird in the sky.,வானத்தில் இருக்கும் அந்தப் பறவையைப் பார்.,आकाश में उस पक्षी को देखो।
W180,Beginner,Beginner (A1),Fill in Blank,I ___ hungry.,I am hungry.,எனக்குப் பசிக்கிறது.,मुझे भूख लगी है।
W181,Intermediate,Beginner (A1),Selection,I waited ___ (until/since) 5 PM.,I waited until 5 PM.,நான் மாலை 5 மணி வரை காத்திருந்தேன்.,मैंने शाम 5 बजे तक इंतजार किया।
W182,Intermediate,Beginner (A1),Selection,This is the car ___ I bought.,This is the car that I bought.,இது நான் வாங்கிய கார்.,यह वह कार है जो मैंने खरीदी है।
W183,Intermediate,Beginner (A1),Selection,___ I leave early?,May I leave early?,நான் சீக்கிரம் கிளம்பலாமா?,क्या मैं जल्दी निकल सकता हूँ?
W184,Intermediate,Beginner (A1),Correction,She sings good.,She sings well.,அவள் நன்றாகப் பாடுகிறாள்.,वह अच्छा गाती है।
W185,Intermediate,Beginner (A1),Fill in Blank,Silver is ___ (cheap) than gold.,Silver is cheaper than gold.,வெள்ளியை விட தங்கம் விலை குறைவானது.,चांदी सोने से सस्ती है।
W186,Advanced,Beginner (A1),Transformation,"At this point in time, we are ready.","Now, we are ready.",இப்போது நாம் தயாராக உள்ளோம்.,अब हम तैयार हैं।
W187,Advanced,Beginner (A1),Selection,"___ the costs, the project is worth it.","Despite the costs, the project is worth it.","செலவுகள் இருந்தாலும், இந்தத் திட்டம் பயனுள்ளது.","लागत के बावजूद, परियोजना इसके लायक है।"
W188,Advanced,Beginner (A1),Correction,The goal—success—is near.,The goal**—success—**is near.,குறிக்கோள்—வெற்றி—அருகில் உள்ளது.,लक्ष्य—सफलता—करीब है।
W189,Advanced,Beginner (A1),Correction,I found a gold man's ring.,I found a man's gold ring.,நான் ஒரு மனிதனின் தங்க மோதிரத்தைக் கண்டெடுத்தேன்.,मुझे एक आदमी की सोने की अंगूठी मिली।
W190,Advanced,Beginner (A1),Correction,The team was disinterested.,The team was uninterested.,அந்த அணிக்கு ஆர்வமில்லை.,टीम को कोई दिलचस्पी नहीं थी।
W191,Beginner,Beginner (A1),Fill in Blank,He ___ a blue shirt.,He has a blue shirt.,அவரிடம் நீல நிற சட்டை உள்ளது.,उसके पास नीली कमीज है।
W192,Beginner,Beginner (A1),Selection,She is ___ teacher.,She is a teacher.,அவள் ஒரு ஆசிரியை.,वह एक शिक्षिका है।
W193,Beginner,Beginner (A1),Capitalization,my birthday is in june.,My birthday is in June.,எனது பிறந்த நாள் ஜூன் மாதத்தில் வருகிறது.,मेरा जन्मदिन जून में है।
W194,Beginner,Beginner (A1),Selection,___ (He/Him) is my brother.,He is my brother.,அவர் என் சகோதரர்.,वह मेरा भाई है।
W195,Beginner,Beginner (A1),Transformation,I am not coming.,I'm not coming.,நான் வரவில்லை.,मैं नहीं आ रहा हूँ।
W196,Intermediate,Beginner (A1),Transformation,They make tea here.,Tea is made here.,இங்கு தேநீர் தயாரிக்கப்படுகிறது.,यहाँ चाय बनाई जाती है।
W197,Intermediate,Beginner (A1),Fill in Blank,Have you ___ (be) to Paris?,Have you been to Paris?,நீங்கள் பாரிஸுக்குச் சென்றிருக்கிறீர்களா?,क्या आप पेरिस गए हैं?
W198,Intermediate,Beginner (A1),Completion,"You don't smoke, ___?","You don't smoke, do you?","நீ புகைபிடிக்க மாட்டாய், அல்லவா?","तुम धूम्रपान नहीं करते, है ना?"
W199,Advanced,Beginner (A1),Transformation,He rarely goes out.,Rarely does he go out.,அவர் அரிதாகவே வெளியே செல்வார்.,वह शायद ही कभी बाहर जाता है।
W200,Advanced,Beginner (A1),Punctuation,"He was tired, therefore he slept.","He was tired**; therefore,** he slept.","அவர் சோர்வாக இருந்தார், அதனால் தூங்கினார்.","वह थका हुआ था, इसलिए सो गया।"
W201,Beginner,Beginner (A1),Completion,I ___ (swim) very well.,I can swim very well.,என்னால் நன்றாக நீந்த முடியும்.,मैं बहुत अच्छी तरह तैर सकता हूँ।
W202,Beginner,Beginner (A1),Selection,Give the book to ___ (she/her).,Give the book to her.,புத்தகத்தை அவளிடம் கொடுங்கள்.,किताब उसे दे दो।
W203,Beginner,Beginner (A1),Correction,The sun rise in the east.,The sun rises in the east.,சூரியன் கிழக்கில் உதிக்கிறது.,सूर्य पूर्व में उगता है।
W204,Beginner,Beginner (A1),Fill in Blank,My birthday is ___ May.,My birthday is in May.,எனது பிறந்தநாள் மே மாதத்தில் வருகிறது.,मेरा जन्मदिन मई में है।
W205,Beginner,Beginner (A1),Completion,"___ (close) the door, please.","Close the door, please.",தயவுசெய்து கதவை மூடு.,कृपया दरवाजा बंद करें।
W206,Intermediate,Beginner (A1),Transformation,He lived in London before.,He used to live in London.,அவர் முன்பு லண்டனில் வசித்து வந்தார்.,वह पहले लंदन में रहा करता था।
W207,Intermediate,Beginner (A1),Fill in Blank,We ___ (know) him for years.,We have known him for years.,எங்களுக்கு அவரை பல ஆண்டுகளாகத் தெரியும்.,हम उसे सालों से जानते हैं।
W208,Intermediate,Beginner (A1),Correction,He speaks fluently English.,He speaks English fluently.,அவர் சரளமாக ஆங்கிலம் பேசுகிறார்.,वह धाराप्रवाह अंग्रेजी बोलता है।
W209,Intermediate,Beginner (A1),Selection,You ___ (ought to/must) rest more.,You ought to rest more.,நீங்கள் இன்னும் ஓய்வெடுக்க வேண்டும்.,आपको अधिक आराम करना चाहिए।
W210,Intermediate,Beginner (A1),Selection,He ___ (told/said) that he was busy.,He said that he was busy.,தான் வேலையாக இருப்பதாக அவர் கூறினார்.,उसने कहा कि वह व्यस्त था।
W211,Intermediate,Beginner (A1),Selection,That house is ___ (our/ours).,That house is ours.,அந்த வீடு எங்களுடையது.,वह घर हमारा है।
W212,Intermediate,Beginner (A1),Completion,I hurt ___ while playing.,I hurt myself while playing.,விளையாடும்போது எனக்கு நானே காயப்படுத்திக் கொண்டேன்.,खेलते समय मुझे चोट लग गई।
W213,Intermediate,Beginner (A1),Correction,This car is more cheap than that.,This car is cheaper than that.,இந்த கார் அதை விட மலிவானது.,यह कार उससे सस्ती है।
W214,Intermediate,Beginner (A1),Completion,The train ___ (leave) before I arrived.,The train had left before I arrived.,நான் வருவதற்கு முன்பே ரயில் கிளம்பிவிட்டது.,मेरे पहुँचने से पहले ही ट्रेन छूट चुकी थी।
W215,Intermediate,Beginner (A1),Completion,"She is a doctor, ___?","She is a doctor, isn't she?","அவள் ஒரு மருத்துவர், அல்லவா?","वह एक डॉक्टर है, है ना?"
W216,Advanced,Beginner (A1),Correction,I like to read and writing.,I like reading and writing.,எனக்குப் படிக்கவும் எழுதவும் பிடிக்கும்.,मुझे पढ़ना और लिखना पसंद है।
W217,Advanced,Beginner (A1),Transformation,"If I was rich, I would help.","If I were rich, I would help.","நான் பணக்காரனாக இருந்தால், நான் உதவுவேன்.","अगर मैं अमीर होता, तो मैं मदद करता।"
W218,Advanced,Beginner (A1),Correction,I don't know nothing.,I don't know anything.,எனக்கு ஒன்றும் தெரியாது.,मुझे कुछ नहीं पता।
W219,Advanced,Beginner (A1),Transformation,I have never been so happy.,Never have I been so happy.,நான் இவ்வளவு மகிழ்ச்சியாக இருந்ததே இல்லை.,मैं इतना खुश कभी नहीं रहा।
W220,Advanced,Beginner (A1),Transformation,The project was finished by him.,He finished the project.,அவர் திட்டத்தை முடித்தார்.,उसने प्रोजेक्ट पूरा किया।
W221,Beginner,Intermediate (B1),Fill in Blank,___ (There is/There are) a bird.,There is a bird.,அங்கே ஒரு பறவை இருக்கிறது.,वहाँ एक पक्षी है।
W222,Beginner,Intermediate (B1),Completion,The grass is ___.,The grass is green.,புல் பச்சை நிறத்தில் உள்ளது.,घास हरी है।
W223,Beginner,Intermediate (B1),Selection,___ (I/Me) am a student.,I am a student.,நான் ஒரு மாணவன்.,मैं एक छात्र हूँ।
W224,Beginner,Intermediate (B1),Fill in Blank,Three ___ (man) are here.,Three men are here.,மூன்று ஆண்கள் இங்கே இருக்கிறார்கள்.,तीन आदमी यहाँ हैं।
W225,Beginner,Intermediate (B1),Transformation,I like milk.,I do not like milk.,எனக்குப் பால் பிடிக்காது.,मुझे दूध पसंद नहीं है।
W226,Intermediate,Intermediate (B1),Completion,"If you study, you ___ (pass).","If you study, you will pass.","நீ படித்தால், நீ தேர்ச்சி பெறுவாய்.","अगर तुम पढ़ोगे, तो तुम पास हो जाओगे।"
W227,Intermediate,Intermediate (B1),Fill in Blank,I ___ (work) at 10 AM tomorrow.,I will be working at 10 AM tomorrow.,நாளை காலை 10 மணிக்கு நான் வேலை செய்து கொண்டிருப்பேன்.,मैं कल सुबह 10 बजे काम कर रहा हूँगा।
W228,Intermediate,Intermediate (B1),Fill in Blank,Please ___ (put) your shoes.,Please put on your shoes.,தயவுசெய்து உங்கள் காலணிகளை அணியுங்கள்.,कृपया अपने जूते पहन लें।
W229,Intermediate,Intermediate (B1),Selection,The book ___ you gave me is good.,The book which/that you gave me is good.,நீங்கள் எனக்குக் கொடுத்த புத்தகம் நன்றாக இருக்கிறது.,जो किताब आपने मुझे दी वह अच्छी है।
W230,Intermediate,Intermediate (B1),Completion,I want ___ (go) home.,I want to go home.,நான் வீட்டிற்குச் செல்ல விரும்புகிறேன்.,मैं घर जाना चाहता हूँ।
W231,Advanced,Intermediate (B1),Selection,The rain was ___ (continuous/continual).,The rain was continual.,மழை விட்டு விட்டுப் பெய்தது.,बारिश रुक-रुक कर हो रही थी।
W232,Advanced,Intermediate (B1),Transformation,I love the music.,It is the music that I love.,நான் விரும்புவது அந்த இசையைத்தான்.,वह संगीत ही है जिसे मैं प्यार करता हूँ।
W233,Advanced,Intermediate (B1),Transformation,To smoke is bad.,Smoking is bad.,புகைபிடித்தல் ஆரோக்கியத்திற்குத் தீங்கானது.,धूम्रपान करना बुरा है।
W234,Advanced,Intermediate (B1),Transformation,"In the near future, we will meet.","Soon, we will meet.",விரைவில் சந்திப்போம்.,जल्द ही हम मिलेंगे।
W235,Advanced,Intermediate (B1),Correction,Its a nice day.,It's a nice day.,இது ஒரு நல்ல நாள்.,यह एक अच्छा दिन है।
W236,Beginner,Intermediate (B1),Fill in Blank,I ___ (have got) a car.,I have got a car.,என்னிடம் ஒரு கார் இருக்கிறது.,मेरे पास एक कार है।
W237,Beginner,Intermediate (B1),Fill in Blank,It is a ___ (big) house.,It is a big house.,அது ஒரு பெரிய வீடு.,यह एक बड़ा घर है।
W238,Beginner,Intermediate (B1),Transformation,He is happy.,Is he happy?,அவர் மகிழ்ச்சியாக இருக்கிறாரா?,क्या वह खुश है?
W239,Beginner,Intermediate (B1),Correction,I have a pencl.,I have a pencil.,என்னிடம் ஒரு பென்சில் இருக்கிறது.,मेरे पास एक पेंसिल है।
W240,Beginner,Intermediate (B1),Selection,Red ___ Blue.,Red and Blue.,சிவப்பு மற்றும் நீலம்.,लाल और नीला।
W241,Intermediate,Intermediate (B1),Transformation,Someone stole my bike.,My bike was stolen.,எனது மிதிவண்டி திருடப்பட்டது.,मेरी साइकिल चोरी हो गई।
W242,Intermediate,Intermediate (B1),Selection,It's dark; it ___ (must/can) be late.,It's dark; it must be late.,இருட்டாக இருக்கிறது; நேரம் ஆகியிருக்க வேண்டும்.,अंधेरा है; ज़रूर देर हो गई होगी।
W243,Intermediate,Intermediate (B1),Transformation,"""Where is he?"" she asked.",She asked where he was.,அவர் எங்கே என்று அவள் கேட்டாள்.,उसने पूछा कि वह कहाँ था।
W244,Intermediate,Intermediate (B1),Fill in Blank,I am interested ___ art.,I am interested in art.,எனக்குக் கலையில் ஆர்வம் உண்டு.,मेरी कला में रुचि है।
W245,Intermediate,Intermediate (B1),Completion,I ___ (finish) it by Monday.,I will have finished it by Monday.,திங்கட்கிழமைக்குள் நான் அதை முடித்திருப்பேன்.,मैं इसे सोमवार तक पूरा कर लूंगा।
W246,Advanced,Intermediate (B1),Transformation,He is very rich.,He is wealthy/affluent.,அவர் மிகவும் செல்வந்தர்.,वह बहुत धनी है।
