43,Identify the interjection: Oh! I forgot.,oh,I,forgot,none,A
44,Which word is an adjective?,beauty,beautiful,beautifully,beautify,B
45,Identify the noun: Freedom is precious.,freedom,is,precious,none,A
46,Which part of speech comes before a noun?,Verb,Article,Adverb,Interjection,B
47,Identify the pronoun: They won the match.,they,won,match,the,A
48,Identify the verb: Birds fly.,birds,fly,none,the,B
49,Which sentence has all major parts of speech?,She runs,Wow!,The boy runs fast,Run!,C
50,Parts of speech help us to,write correct sentences,count words,memorize rules,avoid grammar,A
,,,,,,
,,,,,,
Lesson - 3 - Present Tense,,,,,,
No,Question,A,B,C,D,Answer
1,Present tense is used to show,past action,future action,present time action,completed action,C
2,Which sentence is in simple present tense?,She is eating,She eats rice,She was eating,She will eat,B
3,Simple present tense is mainly used to show,habits,past events,future plans,completed work,A
4,Identify the present tense verb: He plays cricket.,he,plays,cricket,none,B
5,Which sentence shows a habit?,I am reading,I read daily,I was reading,I will read,B
6,"In present continuous tense, the verb form is",V1,V2,is/am/are + V-ing,has + V3,C
7,Identify the tense: She is cooking food.,Simple present,Present continuous,Past continuous,Future,B
8,Which is a present continuous sentence?,He eats now,He is eating now,He ate now,He will eat now,B
9,Identify the present tense sentence,They played well,They play well,They will play,They had played,B
10,Simple present tense of “go” (he/she) is,go,goes,going,gone,B
11,Which verb agrees in present tense?,He go,He goes,He going,He gone,B
12,Present continuous tense shows,routine,action happening now,past habit,future result,B
13,Identify the tense: We are learning English.,Simple present,Present continuous,Past,Future,B
14,Which word is used with present continuous tense?,yesterday,tomorrow,now,last year,C
15,Choose the correct sentence,She cook food,She cooks food,She cooked food,She cooking food,B
16,Simple present tense is used for,universal truths,past stories,future plans,imagination,A
17,Which is a universal truth?,Water boils at 100°C,Water boiled,Water will boil,Water is boiling,A
18,Identify the present tense verb: Birds fly.,birds,fly,none,the,B
19,Which sentence is NOT in present tense?,I read books,She sings well,They played chess,We live here,C
20,Present tense form of “have” (he),have,has,having,had,B
21,Identify the tense: He has a car.,Simple present,Present continuous,Past,Future,A
22,Which sentence is present continuous?,She writes,She is writing,She wrote,She will write,B
23,"In simple present tense, plural subjects take",verb + s,base verb,past verb,helping verb,B
24,Choose the correct sentence,They plays football,They play football,They playing football,They played football,B
25,Identify the present tense sentence,I was tired,I am tired,I will be tired,I had tired,B
26,Present tense of “do” (she),do,does,doing,did,B
27,Which helping verb is used in present continuous?,was,were,is/am/are,has,C
28,Identify the tense: The sun rises in the east.,Simple present,Present continuous,Past,Future,A
29,Which sentence shows an action happening now?,I eat rice,I am eating rice,I ate rice,I will eat rice,B
30,Simple present tense verb form for “run” (he),run,runs,running,ran,B
31,Which adverb is commonly used with simple present?,yesterday,always,last night,tomorrow,B
32,Identify the present tense verb: She teaches math.,she,teaches,math,none,B
33,Present continuous tense uses,V1,V2,V3,V-ing,D
34,Choose the correct sentence,He walk fast,He walks fast,He walking fast,He walked fast,B
35,Which sentence is correct?,She are singing,She is singing,She were singing,She be singing,B
36,Identify the tense: I know the answer.,Simple present,Present continuous,Past,Future,A
37,Simple present tense is used to show,feelings,habits,facts,all of the above,D
38,Which sentence is present tense?,We had lunch,We have lunch,We will have lunch,We were having lunch,B
39,Present tense of “be” (I),is,are,am,was,C
40,Identify the tense: They are watching TV.,Simple present,Present continuous,Past,Future,B
41,Choose the correct form,He go to school,He goes to school,He going to school,He went to school,B
42,Present tense verb form for “eat” (she),eat,eats,eating,ate,B
43,Which sentence is incorrect?,She plays,He runs,They eats,I read,C
44,Present tense shows actions that are,always true or regular,already finished,yet to happen,imagined,A
45,Identify the present tense sentence,She is happy,She was happy,She will be happy,She had been happy,A
46,Present continuous tense needs,main verb only,helping verb only,helping verb + main verb,noun,C
47,Which helping verb is correct? They ___ playing.,is,am,are,was,C
48,Identify the tense: I am learning grammar.,Simple present,Present continuous,Past,Future,B
49,Simple present tense verb for “study” (he),study,studys,studies,studying,C
50,Present tense helps us talk about,now and habits,only past,only future,only stories,A
,,,,,,
Lesson 4 - Past Tense,,,,,,
No,Question,A,B,C,D,Answer
1,Past tense is used to show,present action,future action,action already completed,habit,C
2,Which sentence is in simple past tense?,She eats rice,She ate rice,She is eating,She will eat,B
3,Simple past tense verb of “go” is,go,goes,went,going,C
4,Identify the past tense verb: He played well.,he,played,well,none,B
5,Which word shows past time?,now,tomorrow,yesterday,always,C
6,Simple past tense is used for,completed actions,habits,future plans,universal truths,A
7,Identify the tense: They watched a movie.,Present,Past,Future,Present continuous,B
8,Past tense of “eat” is,eat,eats,ate,eaten,C
9,Which sentence is in past tense?,I read books,I am reading,I read yesterday,I will read,C
10,Identify the past tense verb: She wrote a letter.,she,wrote,letter,a,B
11,Past tense of “run” is,run,runs,running,ran,D
12,Which helping verb is used in past continuous tense?,is,are,was/were,has,C
13,Identify the tense: He was sleeping.,Simple past,Past continuous,Present,Future,B
14,Past continuous tense shows,habit,action happening now,action in progress in past,future action,C
15,Choose the correct sentence,She write a letter,She wrote a letter,She writes a letter,She writing a letter,B
16,Identify the past tense sentence,They play football,They played football,They are playing,They will play,B
17,Past tense of “see” is,saw,see,seen,sees,A
18,Which sentence uses past continuous tense?,He eats,He was eating,He ate,He will eat,B
19,Identify the tense: We were studying English.,Simple past,Past continuous,Present continuous,Future,B
20,Which adverb is commonly used with past tense?,now,tomorrow,yesterday,always,C
21,Simple past tense uses,V1,V2,V-ing,has + V3,B
22,Past tense of “have” is,have,has,had,having,C
23,Choose the correct sentence,She was sing,She was singing,She were singing,She is singing,B
24,Identify the past tense verb: The teacher explained well.,teacher,explained,well,none,B
25,Which sentence is NOT past tense?,I went home,I was tired,I eat rice,I slept early,C
26,Past tense of “take” is,take,takes,took,taken,C
27,Identify the tense: It rained heavily.,Present,Past,Future,Continuous,B
28,Which sentence shows action completed in the past?,I am reading,I read daily,I read yesterday,I will read,C
29,Past tense verb of “come” is,come,comes,came,coming,C
30,Identify the past continuous sentence,He slept,He sleeps,He was sleeping,He is sleeping,C
31,Which helping verb is correct? They ___ playing. (past),is,are,were,has,C
32,Identify the tense: She danced beautifully.,Present,Past,Future,Continuous,B
33,Simple past tense is often used in,stories,future plans,commands,questions only,A
34,Past tense of “make” is,make,makes,made,making,C
35,Choose the correct sentence,They was late,They were late,They are late,They be late,B
36,Identify the tense: We visited the museum.,Present,Past,Future,Present perfect,B
37,Past tense verb of “buy” is,buy,buys,bought,buying,C
38,Which sentence uses “was”?,I was happy,I am happy,I will be happy,I have happy,A
39,Past continuous tense structure is,was/were + V1,was/were + V-ing,is/am/are + V-ing,has + V3,B
40,Identify the tense: He was watching TV.,Simple past,Past continuous,Present,Future,B
41,Which sentence is correct?,She did went,She went,She goes,She going,B
42,Past tense of “teach” is,teach,teaches,taught,teaching,C
43,Which word indicates past time?,today,now,last night,always,C
44,Identify the past tense sentence,They are tired,They were tired,They will be tired,They have tired,B
45,Past tense of “sleep” is,sleep,sleeps,slept,sleeping,C
46,Choose the correct past tense form,He break,He broke,He broken,He breaking,B
47,Past tense helps us talk about,habits,present,completed actions,future plans,C
48,Identify the tense: She was reading when I called.,Simple past,Past continuous,Present,Future,B
49,Past tense verb of “give” is,give,gives,gave,giving,C
50,Which sentence is past tense?,I eat,I ate,I am eating,I will eat,B
,,,,,,
,,,,,,
,,,,,,
Lesson 5 - Future Tense,,,,,,
No,Question,A,B,C,D,Answer
1,Future tense is used to show,past action,present action,action yet to happen,habit,C
2,Which sentence is in simple future tense?,She eats rice,She ate rice,She will eat rice,She is eating rice,C
3,Simple future tense uses,has,was,will + V1,V2,C
4,Identify the future tense verb: He will play well.,he,will,play,will play,D
5,Which word indicates future time?,yesterday,now,tomorrow,always,C
6,Choose the correct sentence,She will cooks food,She will cook food,She cooked food,She is cooking food,B
7,Future tense of “go” is,went,goes,will go,going,C
8,Identify the tense: They will visit us.,Present,Past,Future,Continuous,C
9,Which sentence is future tense?,I read,I am reading,I will read,I read yesterday,C
10,Simple future tense shows,completed action,habit,future plan,past action,C
11,Identify the helping verb used in future tense,is,was,will,has,C
12,Which sentence uses “shall”?,I shall go,I go,I went,I am going,A
13,“Will” is used with,V2,V-ing,base verb,past participle,C
14,Identify the future tense sentence,She sings,She sang,She will sing,She is singing,C
15,Which adverb is common with future tense?,yesterday,always,tomorrow,now,C
16,Choose the correct sentence,He will goes,He will go,He goes,He went,B
17,Identify the tense: We shall meet again.,Present,Past,Future,Continuous,C
18,Future tense of “have” is,had,has,will have,having,C
19,Which sentence is NOT future tense?,I will come,I shall come,I am coming tomorrow,I came,D
20,Identify the future tense verb: She will study hard.,will,study,hard,will study,D
21,Future tense is used to express,promise,decision,prediction,all of the above,D
22,Choose the correct form,They will plays,They will play,They played,They playing,B
23,Identify the tense: It will rain today.,Present,Past,Future,Continuous,C
24,Which word helps form future tense?,do,did,will,was,C
25,Simple future tense structure is,will + V1,is + V-ing,was + V-ing,has + V3,A
26,Identify the future tense sentence,We eat now,We ate earlier,We will eat later,We are eating,C
27,Future tense of “be” is,is,was,will be,being,C
28,Choose the correct sentence,She will be happy,She was happy,She is happy,She had happy,A
29,Which sentence shows future plan?,I read books,I will read books,I read yesterday,I am reading now,B
30,Identify the tense: He will help me.,Present,Past,Future,Continuous,C
31,Future tense of “see” is,saw,sees,will see,seeing,C
32,Which sentence uses correct future tense?,She will went,She will go,She going,She gone,B
33,Identify the future tense verb,will,eat,will eat,none,C
34,Choose the correct sentence,I shall helping you,I shall help you,I shall helped you,I shall helps you,B
35,Which sentence is correct?,They will arrive soon,They arrived soon,They arrive soon,They arriving soon,A
36,Identify the tense: Tomorrow is a holiday.,Present,Past,Future,Continuous,A
37,Future tense helps us talk about,past,present,things yet to happen,habits,C
38,Choose the correct form,He will finish,He finished,He finishing,He finishes,A
39,Identify the future tense sentence,We shall win,We win,We won,We winning,A
40,Future tense verb of “take”,took,takes,will take,taking,C
41,Which is a future tense sentence?,She is tired,She was tired,She will be tired,She has tired,C
42,Identify the tense: I will call you later.,Present,Past,Future,Continuous,C
43,Future tense of “come” is,came,comes,will come,coming,C
44,Choose the correct sentence,He will be late,He is be late,He was be late,He be late,A
45,Which word often comes with future tense?,now,yesterday,soon,already,C
46,Identify the tense: They will start soon.,Present,Past,Future,Continuous,C
47,Future tense form of “do”,did,does,will do,doing,C
48,Choose the correct sentence,I will go tomorrow,I go tomorrow,I went tomorrow,I going tomorrow,A
49,Future tense expresses,completed work,habit,intention,past fact,C
50,Which sentence is future tense?,He runs,He ran,He will run,He is running,C
,,,,,,
,,,,,,
Lesson 6 - Article,,,,,,
No,Question,A,B,C,D,Answer
1,Articles are used before,verbs,nouns,adverbs,conjunctions,B
2,How many articles are there in English?,1,2,3,4,C
3,Which are articles?,"this, that","a, an, the","he, she","in, on",B
4,“A” is used before words beginning with,vowel sound,consonant sound,vowel letter,silent letters,B
5,“An” is used before words beginning with,consonant sound,vowel sound,plural nouns,proper nouns,B
6,Choose the correct article: ___ boy is playing,a,an,the,no article,C
7,Choose the correct article: She has ___ pen,a,an,the,no article,A
8,Choose the correct article: He ate ___ apple,a,an,the,no article,B
9,“The” is called,indefinite article,definite article,demonstrative,pronoun,B
10,“A” and “An” are called,definite articles,indefinite articles,pronouns,prepositions,B
11,Choose the correct article: ___ sun rises in the east,a,an,the,no article,C
12,Choose the correct article: I saw ___ elephant,a,an,the,no article,B
13,“An” is used before,consonant sounds,vowel sounds,plural nouns,proper nouns,B
14,Choose the correct article: She is ___ honest girl,a,an,the,no article,B
15,Choose the correct article: ___ book you gave me is interesting,a,an,the,no article,C
16,Articles are not used before,common nouns,singular nouns,proper nouns,countable nouns,C
17,Choose the correct article: He bought ___ umbrella,a,an,the,no article,B
18,Choose the correct article: ___ Ganga is a holy river,a,an,the,no article,C
19,Which word does NOT need an article?,boy,apple,school,book,C
20,Choose the correct article: She is ___ teacher,a,an,the,no article,A
21,“The” is used when the noun is,mentioned first time,known,unknown,general,B
22,Choose the correct article: I saw ___ dog. ___ dog was barking,"a, a","the, the","a, the","the, a",C
23,Choose the correct article: He is ___ European,a,an,the,no article,A
24,Choose the correct article: She bought ___ one-rupee coin,a,an,the,no article,A
25,“An” is used before “hour” because,spelling,vowel sound,plural,silent h,B
26,Choose the correct article: ___ Bible is a holy book,a,an,the,no article,C
27,Articles are used before,singular countable nouns,plural nouns always,verbs,adjectives,A
28,Choose the correct article: He plays ___ football,a,an,the,no article,D
29,Choose the correct article: She wants to be ___ doctor,a,an,the,no article,A
30,“The” is NOT used with,rivers,mountains,countries (plural),proper names (general),D
31,Choose the correct article: ___ Mount Everest is high,a,an,the,no article,C
32,Choose the correct article: He is ___ MBA graduate,a,an,the,no article,A
33,Choose the correct article: She drank ___ glass of milk,a,an,the,no article,A
34,Choose the correct article: ___ Taj Mahal is beautiful,a,an,the,no article,C
35,Which article is used with superlatives?,a,an,the,no article,C
36,Choose the correct article: He is ___ best player,a,an,the,no article,C
37,Choose the correct article: She has ___ unique idea,a,an,the,no article,A
38,Choose the correct article: ___ rich should help the poor,a,an,the,no article,C
39,Choose the correct article: I saw ___ owl last night,a,an,the,no article,B
40,Articles are not used before,abstract nouns (general),common nouns,singular nouns,countable nouns,A
41,Choose the correct article: ___ honesty is the best policy,a,an,the,no article,D
42,Choose the correct article: She is ___ engineer,a,an,the,no article,B
43,Choose the correct article: He is ___ university student,a,an,the,no article,A
44,Choose the correct article: ___ milk is good for health,a,an,the,no article,D
45,“The” is used with,musical instruments,meals,games,languages,A
46,Choose the correct article: She plays ___ piano,a,an,the,no article,C
47,Choose the correct article: I met ___ old friend yesterday,a,an,the,no article,B
48,Choose the correct article: He is ___ man of honor,a,an,the,no article,A
49,Choose the correct article: ___ English is easy to learn,a,an,the,no article,D
50,Articles help us to make sentences,longer,clearer,complex,confusing,B
,,,,,,
,,,,,,
Lesson 7 - Sentence Pattern,,,,,,
No,Question,A,B,C,D,Answer
1,A sentence pattern shows,word meaning,sentence structure,spelling,punctuation,B
2,The basic sentence pattern is,S + O,S + V,V + O,O + S,B
3,Identify the pattern: Birds fly.,S + V,S + V + O,S + V + C,S + V + A,A
4,Identify the pattern: She reads books.,S + V,S + V + O,S + V + C,S + V + A,B
5,What does “S” stand for?,Sentence,Subject,Sound,Statement,B
6,What does “V” stand for?,Voice,Verb,Value,Vowel,B
7,Identify the pattern: He is a teacher.,S + V,S + V + O,S + V + C,S + V + A,C
8,"In She is happy, “happy” is a",object,complement,adverb,subject,B
9,Identify the pattern: The baby slept well.,S + V,S + V + O,S + V + A,S + V + C,C
10,What does “O” stand for?,Object,Order,Opinion,Option,A
11,Identify the pattern: They play football.,S + V,S + V + O,S + V + C,S + V + A,B
12,Identify the pattern: The sky is blue.,S + V,S + V + O,S + V + C,S + V + A,C
13,A complement completes the meaning of,subject,verb,object,adverb,A
14,Identify the pattern: She sings beautifully.,S + V,S + V + O,S + V + A,S + V + C,C
15,Which pattern has an object?,S + V,S + V + O,S + V + C,S + V + A,B
16,Identify the pattern: He became angry.,S + V,S + V + O,S + V + C,S + V + A,C
17,"Words like “happy, sad, tall” are usually",objects,complements,verbs,adverbs,B
18,Identify the pattern: The children laughed loudly.,S + V,S + V + O,S + V + A,S + V + C,C
19,Which verb usually takes a complement?,run,eat,be,play,C
20,Identify the pattern: She is in the room.,S + V,S + V + O,S + V + A,S + V + C,C
21,What does “A” stand for in patterns?,Action,Article,Adverbial,Adjective,C
22,Identify the pattern: He works hard.,S + V,S + V + O,S + V + A,S + V + C,C
23,Identify the pattern: I found the book.,S + V,S + V + O,S + V + C,S + V + A,B
24,Which sentence follows S + V + C?,She runs fast,He is tired,They play games,Birds fly,B
25,Identify the pattern: The food smells good.,S + V,S + V + O,S + V + C,S + V + A,C
26,A sentence must have at least,subject only,verb only,subject and verb,object,C
27,Identify the pattern: The boy kicked the ball.,S + V,S + V + O,S + V + C,S + V + A,B
28,Identify the pattern: She looks beautiful.,S + V,S + V + O,S + V + C,S + V + A,C
29,Which sentence has S + V + A?,He is tall,She reads books,They arrived late,Birds fly,C
30,Identify the pattern: The teacher spoke clearly.,S + V,S + V + O,S + V + A,S + V + C,C
31,Objects usually come,before subject,after verb,before verb,at beginning,B
32,Identify the pattern: The sun rises.,S + V,S + V + O,S + V + C,S + V + A,A
33,Which is NOT a basic sentence pattern?,S + V,S + V + O,S + V + C,V + S,D
34,Identify the pattern: He put the book on the table.,S + V,S + V + O,S + V + O + A,S + V + C,C
35,Complements usually come after,subject,object,linking verb,adverb,C
36,Identify the pattern: She stayed at home.,S + V,S + V + O,S + V + A,S + V + C,C
37,Which sentence has no object?,She reads books,He eats rice,They sleep,I bought a pen,C
38,Identify the pattern: The baby is asleep.,S + V,S + V + O,S + V + C,S + V + A,C
39,Sentence patterns help us,spell correctly,form correct sentences,read faster,memorize words,B
40,Identify the pattern: He ran quickly.,S + V,S + V + O,S + V + A,S + V + C,C
41,Which pattern uses a linking verb?,S + V,S + V + O,S + V + C,S + V + A,C
42,Identify the pattern: The flowers smell nice.,S + V,S + V + O,S + V + C,S + V + A,C
43,Which sentence has an object?,Birds fly,She is tired,He reads books,I am happy,C
44,Identify the pattern: She danced gracefully.,S + V,S + V + O,S + V + A,S + V + C,C
45,Sentence pattern S + V + O means,subject + verb,subject + verb + object,subject + verb + complement,subject + verb + adverb,B
46,Identify the pattern: The child cried loudly.,S + V,S + V + O,S + V + A,S + V + C,C
47,Which verb does NOT take an object?,eat,read,sleep,buy,C
48,Identify the pattern: He became a leader.,S + V,S + V + O,S + V + C,S + V + A,C
49,Sentence patterns are important for,grammar accuracy,decoration,handwriting,speed,A
50,Identify the pattern: They lived happily.,S + V,S + V + O,S + V + A,S + V + C,C
,,,,,,
,,,,,,
Lesson 8 - Types of Sentences,,,,,,
No,Question,A,B,C,D,Answer
1,Sentences are classified based on,spelling,meaning or purpose,words count,tense,B
2,A sentence that gives information is called,Interrogative,Imperative,Declarative,Exclamatory,C
3,Which sentence is declarative?,What is your name?,Please sit down.,The sun rises in the east.,How beautiful!,C
4,A sentence that asks a question is,Declarative,Imperative,Interrogative,Exclamatory,C
5,Which punctuation is used in interrogative sentences?,.,!,?,",",C
6,Identify the interrogative sentence,Shut the door.,How are you?,He is a teacher.,Wow!,B
7,A sentence that gives a command or request is,Declarative,Interrogative,Imperative,Exclamatory,C
8,Which is an imperative sentence?,She is kind.,Please help me.,What is this?,How nice!,B
9,An exclamatory sentence shows,question,command,strong feeling,information,C
10,Which punctuation is used in exclamatory sentences?,.,?,",",!,D
11,Identify the exclamatory sentence,He is late.,Sit down.,How cold it is!,Where are you?,C
12,Which sentence ends with a full stop?,Question,Exclamation,Statement,Command,C
13,Declarative sentences usually end with,?,!,.,",",C
14,Imperative sentences often have,subject written,implied subject,two verbs,no verb,B
15,Identify the type: Please open the window.,Declarative,Interrogative,Imperative,Exclamatory,C
16,Identify the type: What a beautiful day!,Declarative,Interrogative,Imperative,Exclamatory,D
17,Identify the type: Do you like coffee?,Declarative,Interrogative,Imperative,Exclamatory,B
18,Identify the type: The train arrives at 6 PM.,Declarative,Interrogative,Imperative,Exclamatory,A
19,Which sentence gives advice?,Shut the door.,You should rest.,Where are you?,How smart!,B
20,A negative command is called,advice,request,prohibition,question,C
21,Which sentence is a command?,The boy is running.,Open your book.,What is this?,How sad!,B
22,Interrogative sentences always end with,.,!,?,;,C
23,Which sentence expresses joy?,Sit down.,He is happy.,What a surprise!,Are you ready?,C
24,Identify the type: Don’t make noise.,Declarative,Interrogative,Imperative,Exclamatory,C
25,Which sentence shows strong emotion?,She sings well.,Please help me.,How brave you are!,Where is he?,C
26,Declarative sentences are also called,statements,questions,commands,emotions,A
27,Which sentence is a request?,Close the door.,Could you help me?,The door is closed.,How nice!,B
28,Identify the type: Is it raining?,Declarative,Interrogative,Imperative,Exclamatory,B
29,Which sentence gives information?,Please listen.,Where are you?,The earth is round.,How big!,C
30,Imperative sentences can end with,. or !,? only,", only",no punctuation,A
31,Identify the type: Be careful!,Declarative,Interrogative,Imperative,Exclamatory,C
32,Which sentence uses an exclamation mark?,She is kind.,What is your name?,Wow!,Sit down.,C
33,Which type of sentence asks for information?,Declarative,Imperative,Interrogative,Exclamatory,C
34,Identify the type: Please be quiet.,Declarative,Interrogative,Imperative,Exclamatory,C
35,Which sentence shows surprise?,He is late.,Are you ready?,What a shock!,Open the book.,C
36,Declarative sentences state,facts,commands,emotions,questions,A
37,Identify the type: How fast he runs!,Declarative,Interrogative,Imperative,Exclamatory,D
38,Which sentence is NOT interrogative?,Who are you?,Where is he?,He is my friend.,What time is it?,C
39,Which sentence gives an order?,She sings well.,Please wait.,How cold!,Is it hot?,B
40,Exclamatory sentences often start with,Who,Why,How / What,When,C
41,Identify the type: The flowers are beautiful.,Declarative,Interrogative,Imperative,Exclamatory,A
42,Which sentence shows anger?,Sit down.,He is angry.,How dare you!,Where are you?,C
43,Imperative sentences usually have the subject,he,she,they,you (understood),D
44,Which sentence is a polite request?,Close the door.,Shut up.,Could you pass the salt?,How nice!,C
45,Identify the type: Do not touch the wire.,Declarative,Interrogative,Imperative,Exclamatory,C
46,Which punctuation ends most declarative sentences?,?,!,.,",",C
47,Identify the type: What is your problem?,Declarative,Interrogative,Imperative,Exclamatory,B
48,Which sentence expresses excitement?,He won the prize.,Sit here.,What a win!,Are you ready?,C
49,Imperative sentences are used to,tell facts,ask questions,give orders,show feelings,C
50,Types of sentences help us,understand meaning,spell better,write faster,count words,A
,,,,,,
,,,,,,
,,,,,,
Lesson 9 - Modal Verbs,,,,,,
No,Question,A,B,C,D,Answer
1,Modal verbs are used to show,action only,tense only,"ability, permission, possibility",nouns,C
2,Which of the following is a modal verb?,play,can,played,playing,B
3,Identify the modal verb: She can swim.,she,can,swim,none,B
