,English (V1/V2/V3),Tamil (Infinitive/Past/Perfect Participle),Hindi (Infinitive/Past/Perfect Participle)
17,Build / Built / Built,கட்டு (Kaṭṭu) / கட்டினேன் (Kaṭṭinēn) / கட்டியுள்ளேன் (Kaṭṭiyuḷḷēn),बनाना (Banānā) / बनाया (Banāyā) / बना चुका (Banā Chukā)
18,Draw / Drew / Drawn,வரை (Varai) / வரைந்தேன் (Varaindhēn) / வரைந்திருக்கிறேன் (Varaindhirukkirēn),खींचना (Khīnchnā) / खींचा (Khīnchā) / खींच चुका (Khīnch Chukā)
19,Fly / Flew / Flown,பற (Paṟa) / பறந்தேன் (Paṟandhēn) / பறந்திருக்கிறேன் (Paṟandhirukkirēn),उड़ना (Uṛnā) / उड़ा (Uṛā) / उड़ चुका (Uṛ Chukā)
20,Sing / Sang / Sung,பாடு (Pāḍu) / பாடினேன் (Pāḍinēn) / பாடியிருக்கிறேன் (Pāḍiyirukkirēn),गाना (Gānā) / गाया (Gāyā) / गा चुका (Gā Chukā)
21,Begin / Began / Begun,தொடங்கு (Toḍaṅgu) / தொடங்கினேன் (Toḍaṅginēn) / தொடங்கியுள்ளேன் (Toḍaṅgiyuḷḷēn),शुरू करना (Shurū Karnā) / शुरू किया (Shurū Kiyā) / शुरू कर चुका (Shurū Kar Chukā)
22,Buy / Bought / Bought,வாங்கு (Vāṅgu) / வாங்கினேன் (Vāṅginēn) / வாங்கியுள்ளேன் (Vāṅgiyuḷḷēn),खरीदना (Kharīdnā) / खरीदा (Kharīdā) / खरीद चुका (Kharīd Chukā)
23,Bring / Brought / Brought,கொண்டுவா (Koṇḍuvā) / கொண்டுவந்தேன் (Koṇḍuvandhēn) / கொண்டுவந்திருக்கிறேன் (Koṇḍuvandhirukkirēn),लाना (Lānā) / लाया (Lāyā) / ला चुका (Lā Chukā)
24,Pay / Paid / Paid,செலுத்து (Seluttu) / செலுத்தினேன் (Seluttinēn) / செலுத்தியுள்ளேன் (Seluttiyuḷḷēn),भुगतान करना (Bhugtān Karnā) / भुगतान किया (Bhugtān Kiyā) / भुगतान कर चुका (Bhugtān Kar Chukā)
25,Hear / Heard / Heard,கேள் (Kēḷ) / கேட்டேன் (Kēṭṭēn) / கேட்டிருக்கிறேன் (Kēṭṭirukkirēn),सुनना (Sunnā) / सुना (Sunā) / सुन चुका (Sun Chukā)
26,Spend / Spent / Spent,செலவழி (Selavaḻi) / செலவழித்தேன் (Selavaḻittēn) / செலவழித்திருக்கிறேன் (Selavaḻittirukkirēn),खर्च करना (Kharch Karnā) / खर्च किया (Kharch Kiyā) / खर्च कर चुका (Kharch Kar Chukā)
27,Hold / Held / Held,பிடி (Piḍi) / பிடித்தேன் (Piḍittēn) / பிடித்திருக்கிறேன் (Piḍittirukkirēn),पकड़ना (Pakaṛnā) / पकड़ा (Pakaṛā) / पकड़ चुका (Pakaṛ Chukā)
28,Cut / Cut / Cut,வெட்டு (Veṭṭu) / வெட்டினேன் (Veṭṭinēn) / வெட்டியுள்ளேன் (Veṭṭiyuḷḷēn),काटना (Kāṭnā) / काटा (Kāṭā) / काट चुका (Kāṭ Chukā)
29,Hit / Hit / Hit,அடி (Aḍi) / அடித்தேன் (Aḍittēn) / அடித்திருக்கிறேன் (Aḍittirukkirēn),मारना (Mārnā) / मारा (Mārā) / मार चुका (Mār Chukā)
30,Put / Put / Put,வை (Vai) / வைத்தேன் (Vaittēn) / வைத்திருக்கிறேன் (Vaittirukkirēn),रखना (Rakhnā) / रखा (Rakhā) / रख चुका (Rakh Chukā)
31,Keep / Kept / Kept,வைத்துக்கொள் (Vaittukkoḷ) / வைத்துக்கொண்டேன் (Vaittukkoṇḍēn) / வைத்துக்கொண்டிருக்கிறேன் (Vaittukkoṇḍirukkirēn),रखना (Rakhnā) / रखा (Rakhā) / रख चुका (Rakh Chukā)
32,Leave / Left / Left,விடு (Viḍu) / விட்டேன் (Viṭṭēn) / விட்டிருக்கிறேன் (Viṭṭirukkirēn),छोड़ना (Choṛnā) / छोड़ा (Choṛā) / छोड़ चुका (Choṛ Chukā)
33,Meet / Met / Met,சந்தி (Sandhi) / சந்தித்தேன் (Sandhittēn) / சந்தித்திருக்கிறேன் (Sandhittirukkirēn),मिलना (Milnā) / मिला (Milā) / मिल चुका (Mil Chukā)
34,Send / Sent / Sent,அனுப்பு (Anuppu) / அனுப்பினேன் (Anuppinēn) / அனுப்பியுள்ளேன் (Anuppiyuḷḷēn),भेजना (Bhejnā) / भेजा (Bhejā) / भेज चुका (Bhej Chukā)
35,Teach / Taught / Taught,கற்றுக்கொடு (Kaṟṟukkoḍu) / கற்றுக்கொடுத்தேன் (Kaṟṟukkoḍuttēn) / கற்றுக்கொடுத்திருக்கிறேன் (Kaṟṟukkoḍuttirukkirēn),सिखाना (Sikhānā) / सिखाया (Sikhāyā) / सिखा चुका (Sikhā Chukā)
36,Win / Won / Won,வெற்றி பெறு (Veṟṟi Peṟu) / வெற்றி பெற்றேன் (Veṟṟi Peṟṟēn) / வெற்றி பெற்றிருக்கிறேன் (Veṟṟi Peṟṟirukkirēn),जीतना (Jītnā) / जीता (Jītā) / जीत चुका (Jīt Chukā)
37,Stand / Stood / Stood,நில் (Nil) / நின்றேன் (Ninṟēn) / நின்றிருக்கிறேன் (Ninṟirukkirēn),खड़ा होना (Khaṛā Honā) / खड़ा हुआ (Khaṛā Huā) / खड़ा हो चुका (Khaṛā Ho Chukā)
38,Sit / Sat / Sat,உட்கார் (Uṭkār) / உட்கார்ந்தேன் (Uṭkārndhēn) / உட்கார்ந்திருக்கிறேன் (Uṭkārndhirukkirēn),बैठना (Baiṭhnā) / बैठा (Baiṭhā) / बैठ चुका (Baiṭh Chukā)
39,Rise / Rose / Risen,எழும்பு (Eḻumbu) / எழும்பினேன் (Eḻumbinēn) / எழும்பியுள்ளேன் (Eḻumbiyuḷḷēn),उठना (Uṭhnā) / उठा (Uṭhā) / उठ चुका (Uṭh Chukā)
40,Fall / Fell / Fallen,விழு (Viḻu) / விழுந்தேன் (Viḻundhēn) / விழுந்திருக்கிறேன் (Viḻundhirukkirēn),गिरना (Gīrnā) / गिरा (Gīrā) / गिर चुका (Gīr Chukā)
41,Drive / Drove / Driven,ஓட்டு (Ōṭṭu) / ஓட்டினேன் (Ōṭṭinēn) / ஓட்டியுள்ளேன் (Ōṭṭiyuḷḷēn),चलाना (Chalānā) / चलाया (Chalāyā) / चला चुका (Chalā Chukā)
42,Forget / Forgot / Forgotten,மற (Maṟa) / மறந்தேன் (Maṟandhēn) / மறந்திருக்கிறேன் (Maṟandhirukkirēn),भूलना (Bhūlnā) / भूला (Bhūlā) / भूल चुका (Bhūl Chukā)
43,Shine / Shone / Shone,பிரகாசி (Pirakāsi) / பிரகாசித்தேன் (Pirakāsittēn) / பிரகாசித்திருக்கிறேன் (Pirakāsittirukkirēn),चमकना (Chamaknā) / चमका (Chamakā) / चमक चुका (Chamak Chukā)
44,Tear / Tore / Torn,கிழி (Kiḻi) / கிழித்தேன் (Kiḻittēn) / கிழித்திருக்கிறேன் (Kiḻittirukkirēn),फाड़ना (Phāṛnā) / फाड़ा (Phāṛā) / फाड़ चुका (Phāṛ Chukā)
45,Throw / Threw / Thrown,எறி (Eṟi) / எறிந்தேன் (Eṟindhēn) / எறிந்திருக்கிறேன் (Eṟindhirukkirēn),फेंकना (Phenknā) / फेंका (Phenkā) / फेंक चुका (Phenk Chukā)
46,Wear / Wore / Worn,அணி (Aṇi) / அணிந்தேன் (Aṇindhēn) / அணிந்திருக்கிறேன் (Aṇindhirukkirēn),पहनना (Pahannā) / पहना (Pahnā) / पहन चुका (Pahan Chukā)
47,Swim / Swam / Swum,நீந்து (Nīndhu) / நீந்தினேன் (Nīndhinēn) / நீந்தியுள்ளேன் (Nīndhiyuḷḷēn),तैरना (Tairnā) / तैरा (Tairā) / तैर चुका (Tair Chukā)
48,Ring / Rang / Rung,அடி (Aḍi - as in bell) / அடித்தேன் (Aḍittēn) / அடித்திருக்கிறேன் (Aḍittirukkirēn),बजाना (Bajānā) / बजाया (Bajāyā) / बजा चुका (Bajā Chukā)
49,Bind / Bound / Bound,கட்டு (Kaṭṭu) / கட்டினேன் (Kaṭṭinēn) / கட்டியுள்ளேன் (Kaṭṭiyuḷḷēn),बांधना (Bāndhnā) / बाँधा (Bāndhā) / बांध चुका (Bāndh Chukā)
50,Creep / Crept / Crept,ஊர் (Ūr) / ஊர்ந்தேன் (Ūrndhēn) / ஊர்ந்திருக்கிறேன் (Ūrndhirukkirēn),रेंगना (Rengnā) / रेंगा (Rengā) / रेंग चुका (Reng Chukā)
51,Deal / Dealt / Dealt,விவஹாரம் செய் (Vivahāram Sey) / விவஹாரம் செய்தேன் (Vivahāram Seydhēn) / விவஹாரம் செய்திருக்கிறேன் (Vivahāram Seydhirukkirēn),व्यवहार करना (Vyavahār Karnā) / व्यवहार किया (Vyavahār Kiyā) / व्यवहार कर चुका (Vyavahār Kar Chukā)
52,Feed / Fed / Fed,உணவளி (Uṇavaḷi) / உணவளித்தேன் (Uṇavaḷittēn) / உணவளித்திருக்கிறேன் (Uṇavaḷittirukkirēn),खिलाना (Khilānā) / खिलाया (Khilāyā) / खिला चुका (Khilā Chukā)
53,Fight / Fought / Fought,போராடு (Pōrāḍu) / போராடினேன் (Pōrāḍinēn) / போராடியுள்ளேன் (Pōrāḍiyuḷḷēn),लड़ना (Laṛnā) / लड़ा (Laṛā) / लड़ चुका (Laṛ Chukā)
54,Gamble / Gambled / Gambled,சூதாடு (Sūdhāḍu) / சூதாடினேன் (Sūdhāḍinēn) / சூதாடியுள்ளேன் (Sūdhāḍiyuḷḷēn),जुआ खेलना (Juā Khelnā) / जुआ खेला (Juā Khelā) / जुआ खेल चुका (Juā Khel Chukā)
55,Grind / Ground / Ground,அரை (Arai) / அரைத்தேன் (Araittēn) / அரைத்திருக்கிறேன் (Araittirukkirēn),पीसना (Pīsnā) / पीसा (Pīsā) / पीस चुका (Pīs Chukā)
56,Hang / Hung / Hung,தொங்கு (Toṅgu) / தொங்கினேன் (Toṅginēn) / தொங்கியுள்ளேன் (Toṅgiyuḷḷēn),टांगना (Tāṅgnā) / टांगा (Tāṅgā) / टांग चुका (Tāṅg Chukā)
57,Hurt / Hurt / Hurt,புண்படுத்து (Puṇpaḍuttu) / புண்படுத்தினேன் (Puṇpaḍuttinēn) / புண்படுத்தியுள்ளேன் (Puṇpaḍuttiyuḷḷēn),चोट पहुँचाना (Choṭ Pahuñchānā) / चोट पहुँचाया (Choṭ Pahuñchāyā) / चोट पहुँचा चुका (Choṭ Pahuñchā Chukā)
58,Kneel / Knelt / Knelt,முழங்காலிடு (Muḻaṅgāliḍu) / முழங்காலிட்டேன் (Muḻaṅgāliṭṭēn) / முழங்காலிட்டிருக்கிறேன் (Muḻaṅgāliṭṭirukkirēn),घुटने टेकना (Ghuṭne Ṭeknā) / घुटने टेका (Ghuṭne Ṭekā) / घुटने टेक चुका (Ghuṭne Ṭek Chukā)
59,Lie / Lay / Lain,படுத்துக்கொள் (Paḍuttukkoḷ) / படுத்துக்கொண்டேன் (Paḍuttukkoṇḍēn) / படுத்துக்கொண்டிருக்கிறேன் (Paḍuttukkoṇḍirukkirēn),लेटना (Leṭnā) / लेटा (Leṭā) / लेट चुका (Leṭ Chukā)
60,Lose / Lost / Lost,இழ (Iḻa) / இழந்தேன் (Iḻandhēn) / இழந்திருக்கிறேன் (Iḻandhirukkirēn),खोना (Khonā) / खोया (Khoyā) / खो चुका (Kho Chukā)
61,Make / Made / Made,உருவாக்கு (Uruvaakku) / உருவாக்கினேன் (Uruvaakkinēn) / உருவாக்கியுள்ளேன் (Uruvaakkiyuḷḷēn),बनाना (Banānā) / बनाया (Banāyā) / बना चुका (Banā Chukā)
62,Mistake / Mistook / Mistaken,தவறாகக்கொள் (Tavaṟaakkol) / தவறாகக்கொண்டேன் (Tavaṟaakkoṇḍēn) / தவறாகக்கொண்டிருக்கிறேன் (Tavaṟaakkoṇḍirukkirēn),गलती करना (Galtī Karnā) / गलती की (Galtī Kī) / गलती कर चुका (Galtī Kar Chukā)
63,Overcome / Overcame / Overcome,வெல் (Vel) / வென்றேன் (Venṟēn) / வென்றிருக்கிறேன் (Venṟirukkirēn),जीतना (Jītnā) / जीता (Jītā) / जीत चुका (Jīt Chukā)
64,Prove / Proved / Proven,நிரூபி (Nirūpi) / நிரூபித்தேன் (Nirūpittēn) / நிரூபித்திருக்கிறேன் (Nirūpittirukkirēn),साबित करना (Sābit Karnā) / साबित किया (Sābit Kiyā) / साबित कर चुका (Sābit Kar Chukā)
65,Ride / Rode / Ridden,சவாரி செய் (Savāri Sey) / சவாரி செய்தேன் (Savāri Seydhēn) / சவாரி செய்திருக்கிறேன் (Savāri Seydhirukkirēn),सवारी करना (Savārī Karnā) / सवारी की (Savārī Kī) / सवारी कर चुका (Savārī Kar Chukā)
66,Seek / Sought / Sought,தேடு (Tēḍu) / தேடினேன் (Tēḍinēn) / தேடியுள்ளேன் (Tēḍiyuḷḷēn),खोजना (Khojnā) / खोजा (Khojā) / खोज चुका (Khoj Chukā)
67,Sell / Sold / Sold,விற்று (Viṟṟu) / விற்றேன் (Viṟṟēn) / விற்றிருக்கிறேன் (Viṟṟirukkirēn),बेचना (Bechnā) / बेचा (Bechā) / बेच चुका (Bech Chukā)
68,Shoot / Shot / Shot,சுடு (Suḍu) / சுட்டேன் (Suṭṭēn) / சுட்டிருக்கிறேன் (Suṭṭirukkirēn),गोली मारना (Golī Māranā) / गोली मारी (Golī Mārī) / गोली मार चुका (Golī Mār Chukā)
69,Shut / Shut / Shut,மூடு (Mūḍu) / மூடினேன் (Mūḍinēn) / மூடியுள்ளேன் (Mūḍiyuḷḷēn),बंद करना (Band Karnā) / बंद किया (Band Kiyā) / बंद कर चुका (Band Kar Chukā)
70,Smell / Smelled / Smelled,நுகர் (Nukar) / நுகர்ந்தேன் (Nukarndhēn) / நுகர்ந்திருக்கிறேன் (Nukarndhirukkirēn),सूँघना (Sūn̐ghnā) / सूँघा (Sūn̐ghā) / सूँघ चुका (Sūn̐gh Chukā)
71,Sow / Sowed / Sown,விதை (Vithai) / விதைத்தேன் (Vithaittēn) / விதைத்திருக்கிறேன் (Vithaittirukkirēn),बोना (Bonā) / बोया (Boyā) / बो चुका (Bo Chukā)
72,Stick / Stuck / Stuck,ஒட்டு (Oṭṭu) / ஒட்டினேன் (Oṭṭinēn) / ஒட்டியுள்ளேன் (Oṭṭiyuḷḷēn),चिपकाना (Chipkānā) / चिपकाया (Chipkāyā) / चिपका चुका (Chipkā Chukā)
73,Strike / Struck / Struck,தாக்கு (Tākku) / தாக்கினேன் (Tākkinēn) / தாக்கியுள்ளேன் (Tākkiyuḷḷēn),टकराना (Ṭakrānā) / टकराया (Ṭakrāyā) / टकरा चुका (Ṭakrā Chukā)
74,Sweep / Swept / Swept,கூட்டு (Kūṭṭu) / கூட்டினேன் (Kūṭṭinēn) / கூட்டியுள்ளேன் (Kūṭṭiyuḷḷēn),झाड़ू लगाना (Jhāṛū Lagānā) / झाड़ू लगाया (Jhāṛū Lagāyā) / झाड़ू लगा चुका (Jhāṛū Lagā Chukā)
75,Undo / Undid / Undone,அவிழ்த்துவிடு (Aḻviltuviḍu) / அவிழ்த்துவிட்டேன் (Aḻviltuviṭṭēn) / அவிழ்த்துவிட்டிருக்கிறேன் (Aḻviltuviṭṭirukkirēn),खोलना (Kholnā) / खोला (Kholā) / खोल चुका (Khol Chukā)
76,Upset / Upset / Upset,மனம் வருந்து (Maṉam Varundhu) / மனம் வருந்தினேன் (Maṉam Varundhinēn) / மனம் வருந்தியுள்ளேன் (Maṉam Varundhiyuḷḷēn),परेशान करना (Pareshān Karnā) / परेशान किया (Pareshān Kiyā) / परेशान कर चुका (Pareshān Kar Chukā)
77,Weep / Wept / Wept,அழு (Aḻu) / அழுதேன் (Aḻudēn) / அழுதிருக்கிறேன் (Aḻudhirukkirēn),रोना (Ronā) / रोया (Royā) / रो चुका (Ro Chukā)
78,Whip / Whipped / Whipped,சாட்டை அடி (Sāṭṭai Aḍi) / சாட்டை அடித்தேன் (Sāṭṭai Aḍittēn) / சாட்டை அடித்திருக்கிறேன் (Sāṭṭai Aḍittirukkirēn),कोड़े मारना (Koṛe Māranā) / कोड़े मारे (Koṛe Māre) / कोड़े मार चुका (Koṛe Mār Chukā)
79,Wind / Wound / Wound,சுற்று (Suṟṟu) / சுற்றினேன் (Suṟṟinēn) / சுற்றியுள்ளேன் (Suṟṟiyuḷḷēn),लपेटना (Lapeṭnā) / लपेटा (Lapeṭā) / लपेट चुका (Lapeṭ Chukā)
80,Withdraw / Withdrew / Withdrawn,திரும்பப் பெறு (Tirumbap Peṟu) / திரும்பப் பெற்றேன் (Tirumbap Peṟṟēn) / திரும்பப் பெற்றிருக்கிறேன் (Tirumbap Peṟṟirukkirēn),वापस लेना (Vāpas Lenā) / वापस लिया (Vāpas Liyā) / वापस ले चुका (Vāpas Le Chukā)
81,Write / Wrote / Written,எழுது (Eḻudu) / எழுதினேன் (Eḻudinēn) / எழுதியுள்ளேன் (Eḻutiyuḷḷēn),लिखना (Likhna) / लिखा (Likhā) / लिख चुका (Likh Chukā)
82,Be / Was/Were / Been,இரு (Iru) / இருந்தேன் (Irundhēn) / இருந்திருக்கிறேன் (Irundhirukkirēn),होना (Honā) / था/थे/थी (Thā/The/Thī) / हो चुका (Ho Chukā)
83,Become / Became / Become,ஆகு (Āgu) / ஆனேன் (Ānēn) / ஆயிருக்கிறேன் (Āyirukkirēn),बनना (Bannā) / बना (Banā) / बन चुका (Ban Chukā)
84,Beat / Beat / Beaten,அடி (Aḍi) / அடித்தேன் (Aḍittēn) / அடித்திருக்கிறேன் (Aḍittirukkirēn),पीटना (Pīṭnā) / पीटा (Pīṭā) / पीट चुका (Pīṭ Chukā)
85,Cost / Cost / Cost,விலையிடு (Vilayyiḍu) / விலையிட்டேன் (Vilayyiṭṭēn) / விலையிட்டிருக்கிறேன் (Vilayyiṭṭirukkirēn),कीमत होना (Kīmat Honā) / कीमत हुई (Kīmat Huī) / कीमत हो चुकी (Kīmat Ho Chukī)
86,Do / Did / Done,செய் (Sey) / செய்தேன் (Seydhēn) / செய்திருக்கிறேன் (Seydhirukkirēn),करना (Karnā) / किया (Kiyā) / कर चुका (Kar Chukā)
87,Draw / Drew / Drawn,வரை (Varai) / வரைந்தேன் (Varaindhēn) / வரைந்திருக்கிறேன் (Varaindhirukkirēn),खींचना (Khīnchnā) / खींचा (Khīnchā) / खींच चुका (Khīnch Chukā)
88,Feel / Felt / Felt,உணர் (Uṇar) / உணர்ந்தேன் (Uṇarndhēn) / உணர்ந்திருக்கிறேன் (Uṇarndhirukkirēn),महसूस करना (Mahsūs Karnā) / महसूस किया (Mahsūs Kiyā) / महसूस कर चुका (Mahsūs Kar Chukā)
89,Get / Got / Gotten,பெறு (Peṟu) / பெற்றேன் (Peṟṟēn) / பெற்றிருக்கிறேன் (Peṟṟirukkirēn),पाना (Pānā) / पाया (Pāyā) / पा चुका (Pā Chukā)
90,Grow / Grew / Grown,வளர் (Vaḷar) / வளர்ந்தேன் (Vaḷarndhēn) / வளர்ந்திருக்கிறேன் (Vaḷarndhirukkirēn),बढ़ना (Baṛhnā) / बढ़ा (Baṛhā) / बढ़ चुका (Baṛh Chukā)
91,Hide / Hid / Hidden,மறை (Maṟai) / மறைத்தேன் (Maṟaittēn) / மறைத்திருக்கிறேன் (Maṟaittirukkirēn),छिपना (Chhipnā) / छिपा (Chhipā) / छिप चुका (Chhip Chukā)
92,Lie / Lied / Lied,பொய் சொல் (Poy Sol) / பொய் சொன்னேன் (Poy Sonnēn) / பொய் சொல்லியிருக்கிறேன் (Poy Solliyirukkirēn),झूठ बोलना (Jhūṭh Bolnā) / झूठ बोला (Jhūṭh Bolā) / झूठ बोल चुका (Jhūṭh Bol Chukā)
93,Mean / Meant / Meant,பொருள் கொள் (Poruḷ Koḷ) / பொருள் கொண்டேன் (Poruḷ Koṇḍēn) / பொருள் கொண்டிருக்கிறேன் (Poruḷ Koṇḍirukkirēn),मतलब होना (Matlab Honā) / मतलब हुआ (Matlab Huā) / मतलब हो चुका (Matlab Ho Chukā)
94,Prove / Proved / Proved,நிரூபி (Nirūpi) / நிரூபித்தேன் (Nirūpittēn) / நிரூபித்திருக்கிறேன் (Nirūpittirukkirēn),सिद्ध करना (Siddh Karnā) / सिद्ध किया (Siddh Kiyā) / सिद्ध कर चुका (Siddh Kar Chukā)
95,Show / Showed / Shown,காட்டு (Kāṭṭu) / காட்டினேன் (Kāṭṭinēn) / காட்டியுள்ளேன் (Kāṭṭiyuḷḷēn),दिखाना (Dikhānā) / दिखाया (Dikhāyā) / दिखा चुका (Dikhā Chukā)
96,Shut / Shut / Shut,மூடு (Mūḍu) / மூடினேன் (Mūḍinēn) / மூடியுள்ளேன் (Mūḍiyuḷḷēn),बंद करना (Band Karnā) / बंद किया (Band Kiyā) / बंद कर चुका (Band Kar Chukā)
97,Swell / Swelled / Swollen,வீங்கு (Vīṅgu) / வீங்கினேன் (Vīṅginēn) / வீங்கியுள்ளேன் (Vīṅgiyuḷḷēn),सूजना (Sūjnā) / सूजा (Sūjā) / सूज चुका (Sūj Chukā)
98,Wake / Woke / Woken,விழி (Viḻi) / விழித்தேன் (Viḻittēn) / விழித்திருக்கிறேன் (Viḻittirukkirēn),जागना (Jāgnā) / जागा (Jāgā) / जाग चुका (Jāg Chukā)
99,Wish / Wished / Wished,வாழ்த்து (Vāḻttu) / வாழ்த்தினேன் (Vāḻttinēn) / வாழ்த்தியுள்ளேன் (Vāḻttiyuḷḷēn),चाहना (Chāhnā) / चाहा (Chāhā) / चाह चुका (Chāh Chukā)
100,Worry / Worried / Worried,கவலைப்படு (Kavalaippaḍu) / கவலைப்பட்டேன் (Kavalaippaṭṭēn) / கவலைப்பட்டிருக்கிறேன் (Kavalaippaṭṭirukkirēn),चिंता करना (Chintā Karnā) / चिंता की (Chintā Kī) / चिंता कर चुका (Chintā Kar Chukā)
101,Accept / Accepted / Accepted,ஏற்றுக்கொள் (Ēṟṟukkoḷ) / ஏற்றுக்கொண்டேன் (Ēṟṟukkoṇḍēn) / ஏற்றுக்கொண்டிருக்கிறேன் (Ēṟṟukkoṇḍirukkirēn),स्वीकार करना (Svīkār Karnā) / स्वीकार किया (Svīkār Kiyā) / स्वीकार कर चुका (Svīkār Kar Chukā)
102,Achieve / Achieved / Achieved,அடை (Aḍai) / அடைந்தேன் (Aḍaindhēn) / அடைந்திருக்கிறேன் (Aḍaindhirukkirēn),हासिल करना (Hāsil Karnā) / हासिल किया (Hāsil Kiyā) / हासिल कर चुका (Hāsil Kar Chukā)
103,Add / Added / Added,சேர் (Sēr) / சேர்த்தேன் (Sērttēn) / சேர்த்திருக்கிறேன் (Sērttirukkirēn),जोड़ना (Joṛnā) / जोड़ा (Joṛā) / जोड़ चुका (Joṛ Chukā)
104,Advise / Advised / Advised,ஆலோசனை சொல் (Ālōsanai Sol) / ஆலோசனை சொன்னேன் (Ālōsanai Sonnēn) / ஆலோசனை சொல்லியிருக்கிறேன் (Ālōsanai Solliyirukkirēn),सलाह देना (Salāh Denā) / सलाह दी (Salāh Dī) / सलाह दे चुका (Salāh De Chukā)
105,Allow / Allowed / Allowed,அனுமதி (Anumathi) / அனுமதித்தேன் (Anumathittēn) / அனுமதித்திருக்கிறேன் (Anumathittirukkirēn),इजाज़त देना (Ijāzat Denā) / इजाज़त दी (Ijāzat Dī) / इजाज़त दे चुका (Ijāzat De Chukā)
106,Answer / Answered / Answered,பதிலளி (Padhilali) / பதிலளித்தேன் (Padhilalittēn) / பதிலளித்திருக்கிறேன் (Padhilalittirukkirēn),जवाब देना (Javāb Denā) / जवाब दिया (Javāb Diyā) / जवाब दे चुका (Javāb De Chukā)
