id,title,passage,q1,a1,q2,a2,level,Tamil Translation (Passage),Hindi Translation (Passage)
R018,Volcanoes,"Magma is liquid rock under Earth. When it erupts, it is called lava. It forms mountains.",What is liquid rock?,Magma (under) / Lava (above).,What does it form?,Mountains.,Beginner (A1),எரிமலையிலிருந்து வெளியேறும் குழம்பு லாவா எனப்படும்.,ज्वालामुखी से निकलने वाला तरल लावा कहलाता है।
R019,The Silk Road,The Silk Road was a trade network connecting East and West for spices and ideas.,What was the Silk Road?,A trade network.,What was traded?,"Spices, silk, and ideas.",Beginner (A1),சில்க் ரோடு என்பது ஒரு பண்டைய வணிகப் பாதை.,सिल्क रोड एक प्राचीन व्यापार मार्ग था।
R020,Ocean Plastic,Plastic pollution harms sea turtles. They mistake plastic bags for jellyfish (food).,What is the harm?,It hurts sea life.,Why do turtles eat it?,They mistake it for food.,Beginner (A1),பிளாஸ்டிக் கடல் ஆமைகளை பாதிக்கிறது.,प्लास्टिक समुद्री कछुओं को नुकसान पहुँचाता है।
R021,The Brain,"The brain has billions of neurons. It controls breathing, memory, and emotions.",What are brain cells?,Neurons.,What does it control?,Breathing and memory.,Beginner (A1),மூளையில் பில்லியன் கணக்கான நியூரான்கள் உள்ளன.,मस्तिष्क में अरबों न्यूरॉन्स होते हैं।
R022,Urbanization,People move from villages to cities for jobs. This is called urbanization.,Why do people move?,For jobs.,What is the term?,Urbanization.,Beginner (A1),மக்கள் வேலைக்காக நகரங்களுக்குச் செல்வது நகரமயமாக்கல்.,लोगों का शहरों की ओर जाना शहरीकरण है।
R023,The Olympic Games,The Olympics promote peace and unity by bringing athletes from every nation together.,What is the goal?,Peace and unity.,Who participates?,Athletes from every nation.,Beginner (A1),ஒலிம்பிக் போட்டிகள் அமைதியை வளர்க்கின்றன.,ओलंपिक खेल शांति को बढ़ावा देते हैं।
R024,Solar Energy,Solar panels turn sunlight into electricity. It is a renewable and clean source.,What is the source?,Sunlight.,Why is it good?,It is clean and renewable.,Beginner (A1),சூரிய மின் தகடுகள் மின்சாரத்தை உருவாக்குகின்றன.,सौर पैनल बिजली पैदा करते हैं।
R025,The Water Cycle,"Water evaporates, forms clouds, and falls as rain. This cycle repeats forever.",What is evaporation?,Water turning into gas/clouds.,Is the cycle limited?,"No, it repeats forever.",Beginner (A1),நீர் சுழற்சி என்பது ஒரு தொடர்ச்சியான நிகழ்வு.,जल चक्र एक निरंतर चलने वाली प्रक्रिया है।
R026,The Clever Octopus,An octopus has three hearts. They can squeeze through tiny gaps due to no bones.,How many hearts?,Three.,Why can they squeeze?,They have no bones.,Beginner (A1),ஆக்டோபஸிற்கு மூன்று இதயங்கள் உள்ளன.,ऑक्टोपस के तीन दिल होते हैं।
R027,Artificial Intelligence,AI machines are programmed to think like humans. They can recognize complex patterns.,What is AI?,Human-like thinking machines.,What can they do?,Recognize patterns.,Beginner (A1),AI மனிதனைப் போல சிந்திக்கும் திறன் கொண்டது.,एआई में मनुष्य की तरह सोचने की क्षमता होती है।
R028,Global Warming,The Earth is heating up due to CO2. This melts ice caps and raises sea levels.,What is the cause?,CO2/Greenhouse gases.,What is the effect?,Rising sea levels.,Beginner (A1),புவி வெப்பமடைதலால் கடல் மட்டம் உயர்கிறது.,ग्लोबल वार्मिंग से समुद्र का स्तर बढ़ रहा है।
R029,The Renaissance,"This was a period of ""rebirth"" in Europe. It shifted focus toward logic and art.",What does it mean?,Rebirth.,What was the focus?,Logic and art.,Beginner (A1),மறுமலர்ச்சிக் காலம் கலைக்கு முக்கியத்துவம் அளித்தது.,पुनर्जागरण काल ने कला को महत्व दिया।
R030,Magnetism,"Magnets have North and South poles. Opposite poles attract, while same poles repel.",What are the poles?,North and South.,What do same poles do?,They repel each other.,Beginner (A1),காந்தத்தின் ஒத்த துருவங்கள் விலகிச் செல்லும்.,चुंबक के समान ध्रुव एक-दूसरे को दूर धकेलते हैं।
R031,Banyan Resilience,The Banyan tree has aerial roots for support. It symbolizes eternal life in cultures.,What supports it?,Aerial prop roots.,What is it a symbol of?,Eternal life.,Beginner (A1),ஆலமரம் அதன் விழுதுகளால் தாங்கப்படுகிறது.,बरगद का पेड़ अपनी जड़ों से सहारा लेता है।
R032,Industrial Revolution,"This era shifted production from hands to machines, causing massive urban growth.",What was the shift?,From hands to machines.,What was a result?,Urban development/pollution.,Beginner (A1),தொழில் புரட்சி இயந்திர உற்பத்தியைத் தொடங்கியது.,औद्योगिक क्रांति ने मशीन उत्पादन शुरू किया।
R033,Quantum Computing,Qubits allow quantum computers to calculate at speeds impossible for bits.,What is a qubit?,A quantum bit.,Why is it faster?,It processes data differently.,Beginner (A1),குவாண்டம் கணினிகள் குபிட்டுகளைப் பயன்படுத்துகின்றன.,क्वांटम कंप्यूटर क्यूबिट्स का उपयोग करते हैं।
R034,The Magna Carta,"Signed in 1215, it established that even the King is not above the law.",When was it signed?,1215,What did it establish?,Law is supreme for everyone.,Beginner (A1),மன்னரும் சட்டத்திற்கு உட்பட்டவர் என இது கூறியது.,इसने कहा कि राजा भी कानून के अधीन है।
R035,Black Holes,Gravity in a black hole is so strong that even light cannot escape its pull.,"Why is it ""black""?",Because light cannot escape.,What is the cause?,Intense gravity.,Beginner (A1),கருந்துளையிலிருந்து ஒளி கூட தப்ப முடியாது.,ब्लैक होल से प्रकाश भी नहीं बच सकता।
R036,Microeconomics,It studies how individual firms allocate scarce resources under supply and demand.,What does it study?,Individual/Firm decisions.,What is the core?,Supply and demand.,Beginner (A1),இது தனிநபர் பொருளாதார முடிவுகளைப் படிக்கிறது.,यह व्यक्तिगत आर्थिक निर्णयों का अध्ययन करता है।
R037,Dark Matter,Invisible matter that makes up most of the universe. It is detected via gravity.,Is it visible?,"No, it is invisible.",How is it found?,Through gravitational effects.,Beginner (A1),இருண்ட பொருள் கண்ணுக்குத் தெரியாதது.,डार्क मैटर अदृश्य है।
R038,Genetic Engineering,Scientists modify DNA to create pest-resistant crops or cure human diseases.,What is modified?,DNA.,Name one benefit.,Curing diseases/better crops.,Beginner (A1),இது டிஎன்ஏ-வை மாற்றியமைக்கும் தொழில்நுட்பம்.,यह डीएनए को संशोधित करने की तकनीक है।
R039,Theory of Relativity,"Einstein's theory links space and time, describing gravity as a curve.",Who developed it?,Albert Einstein.,How is gravity seen?,As a curve in space-time.,Beginner (A1),ஐன்ஸ்டீன் இடத்தையும் நேரத்தையும் இணைத்தார்.,आइंस्टीन ने स्थान और समय को जोड़ा।
R040,Cryptography,It is the practice of encrypting data to ensure secure digital communication.,What is the goal?,Secure communication.,What is the process?,Encrypting data.,Beginner (A1),தகவல்களைப் பாதுகாப்பதே கிரிப்டோகிராபி.,सूचना को सुरक्षित रखना ही क्रिप्टोग्राफी है।
R041,The Loyal Dog,"Dogs are known as man's best friend. They are loyal animals that can be trained to help people. Some dogs work with the police, while others help people who cannot see.",Why are dogs called best friends?,Because they are loyal.,Name one way dogs help people.,Working with police or helping the blind.,Beginner (A1),நாய்கள் மனிதனின் சிறந்த நண்பனாகக் கருதப்படுகின்றன. அவை விசுவாசமான விலங்குகள்.,कुत्तों को इंसान का सबसे अच्छा दोस्त माना जाता है। वे वफादार जानवर हैं।
R042,Rainforest Layers,"A rainforest has four layers: emergent, canopy, understory, and forest floor. Most animals live in the canopy layer because it has the most food and sunlight.",How many layers does a rainforest have?,Four.,Which layer has the most animals?,The canopy layer.,Beginner (A1),மழைக்காடுகள் நான்கு அடுக்குகளைக் கொண்டுள்ளன. பெரும்பாலான விலங்குகள் 'கேனோபி' அடுக்கில் வாழ்கின்றன.,वर्षावन की चार परतें होती हैं। अधिकांश जानवर 'कैनोपी' परत में रहते हैं।
R043,The Fast Cheetah,"The cheetah is the fastest land animal. It can run as fast as a car on a highway. However, it can only run this fast for a short distance before getting tired.",What is the fastest land animal?,The cheetah.,Can it run fast for a long time?,"No, only for a short distance.",Beginner (A1),சிறுத்தை நிலத்தில் மிக வேகமாக ஓடும் விலங்கு. இது ஒரு நெடுஞ்சாலையில் செல்லும் காரைப் போல வேகமாக ஓடக்கூடியது.,चीता सबसे तेज़ ज़मीनी जानवर है। यह राजमार्ग पर कार जितनी तेज़ दौड़ सकता है।
R044,Making Honey,Bees collect nectar from flowers to make honey. They store the honey in wax cells called honeycombs. Honey is the only food made by insects that humans eat.,What do bees collect to make honey?,Nectar.,Where do they store the honey?,In honeycombs.,Beginner (A1),தேனீக்கள் தேன் தயாரிக்க மலர்களிலிருந்து தேனைச் சேகரிக்கின்றன. இவை தேன்கூடுகளில் சேமிக்கப்படுகின்றன.,मधुमक्खियाँ शहद बनाने के लिए फूलों से अमृत इकट्ठा करती हैं। वे इसे छत्ते में जमा करती हैं।
R045,The Brave Knight,"In the Middle Ages, knights were soldiers who rode horses. They wore heavy metal armor to protect themselves in battle. They followed a code of honor called chivalry.",What did knights wear for protection?,Heavy metal armor.,What was their code of honor called?,Chivalry.,Beginner (A1),"இடைக்காலத்தில், மாவீரர்கள் (Knights) போரில் தங்களைப் பாதுகாத்துக் கொள்ள உலோகக் கவசங்களை அணிந்தனர்.","मध्य युग में, शूरवीर (Knights) सुरक्षा के लिए धातु के कवच पहनते थे।"
R046,The Invention of Paper,"Paper was invented in China nearly 2,000 years ago. Before paper, people wrote on silk, clay, or stone. The invention made it much easier to share stories and laws.",Where was paper invented?,China.,What did people use before paper?,"Silk, clay, or stone.",Beginner (A1),"சுமார் 2,000 ஆண்டுகளுக்கு முன்பு சீனாவில் காகிதம் கண்டுபிடிக்கப்பட்டது.","कागज़ का आविष्कार लगभग 2,000 साल पहले चीन में हुआ था।"
R047,The Earth's Crust,"The Earth's surface is made of tectonic plates. These plates move very slowly. When they rub against each other, they can cause earthquakes or form mountains.",What is the Earth's surface made of?,Tectonic plates.,What happens when plates rub together?,Earthquakes or mountain formation.,Beginner (A1),பூமியின் மேற்பரப்பு டெக்டோனிக் தட்டுகளால் ஆனது. இவை மெதுவாக நகர்கின்றன.,पृथ्वी की सतह टेक्टोनिक प्लेटों से बनी है। ये बहुत धीमी गति से चलती हैं।
R048,Desert Survival,Camels can live in the desert because they store fat in their humps. This fat provides energy when food is scarce. They also have thick eyelashes to keep sand out.,What is stored in a camel's hump?,Fat.,Why do they have thick eyelashes?,To keep sand out of their eyes.,Beginner (A1),ஒட்டகங்கள் தங்கள் திமில்களில் கொழுப்பைச் சேமித்து வைப்பதால் பாலைவனத்தில் உயிர்வாழ முடிகிறது.,"ऊँट अपने कूबड़ में वसा जमा करते हैं, जिससे वे रेगिस्तान में जीवित रह पाते हैं।"
R049,The Statue of Liberty,"This famous statue was a gift from France to the United States. It stands for freedom. It is made of copper, which turned green over time due to the air.",Which country gave the statue as a gift?,France.,Why did the statue turn green?,Because the copper reacted with the air.,Beginner (A1),இந்தச் சிலை பிரான்சிடமிருந்து அமெரிக்காவிற்கு வழங்கப்பட்ட பரிசாகும். இது செம்பினால் ஆனது.,यह मूर्ति फ्रांस की ओर से अमेरिका को उपहार थी। यह तांबे से बनी है।
R050,The Solar System,"Our solar system has eight planets that orbit the Sun. Jupiter is the largest planet, while Mercury is the closest to the Sun. Each planet has a unique atmosphere.",How many planets are in our solar system?,Eight.,Which planet is closest to the Sun?,Mercury.,Beginner (A1),நமது சூரிய மண்டலத்தில் சூரியனைச் சுற்றி வரும் எட்டு கோள்கள் உள்ளன. வியாழன் மிகப்பெரிய கோள்.,हमारे सौर मंडल में आठ ग्रह हैं। बृहस्पति सबसे बड़ा है और बुध सूर्य के सबसे करीब है।
R051,Vaccines and Health,Vaccines work by training the immune system to recognize and fight viruses. They contain weakened versions of a germ. This has helped wipe out many deadly diseases.,How do vaccines work?,By training the immune system to fight viruses.,What do they contain?,Weakened versions of a germ.,Beginner (A1),தடுப்பூசிகள் வைரஸ்களை எதிர்த்துப் போராட நோய் எதிர்ப்பு மண்டலத்திற்குப் பயிற்சியளிக்கின்றன.,टीके प्रतिरक्षा प्रणाली को वायरस से लड़ने के लिए प्रशिक्षित करते हैं।
R052,The Titanic,"The Titanic was a giant ship that hit an iceberg in 1912. It was thought to be unsinkable, but it sank on its first voyage. This led to better sea safety laws.",What did the ship hit?,An iceberg.,What was a positive result of this tragedy?,Better sea safety laws were created.,Beginner (A1),டைட்டானிக் 1912-இல் பனிப்பாறையில் மோதி மூழ்கிய ஒரு பிரம்மாண்டமான கப்பலாகும்.,टाइटैनिक 1912 में एक हिमशैल से टकराकर डूब गया था।
R053,Microbiology,"Microbiology is the study of tiny organisms like bacteria and fungi. These microbes are too small to see with eyes, but they play a big role in health and nature.",What is microbiology?,The study of tiny organisms like bacteria.,Can you see microbes with your eyes?,"No, they are too small.",Beginner (A1),நுண்ணுயிரியல் என்பது பாக்டீரியா போன்ற மிகச்சிறிய உயிரினங்களைப் பற்றிய படிப்பாகும்.,सूक्ष्मजीव विज्ञान बैक्टीरिया और कवक जैसे छोटे जीवों का अध्ययन है।
R054,Renewable Resources,Wind and solar energy are renewable because they never run out. Using these helps reduce pollution. It is a key way to fight climate change in the future.,Why is wind energy renewable?,Because it never runs out.,How does using it help the planet?,It reduces pollution and fights climate change.,Beginner (A1),"காற்று மற்றும் சூரிய ஆற்றல் மீண்டும் புதுப்பிக்கத்தக்கவை, ஏனெனில் அவை முடிவடையாது.",पवन और सौर ऊर्जा नवीकरणीय हैं क्योंकि वे कभी खत्म नहीं होतीं।
R055,The Roman Empire,"Rome was once the center of a huge empire. They built roads and bridges that still exist today. Their language, Latin, influenced many modern languages.",What did the Romans build?,Roads and bridges.,How did they influence modern languages?,"Through their language, Latin.",Beginner (A1),ரோம் ஒரு காலத்தில் ஒரு பெரிய பேரரசின் மையமாக இருந்தது. அவர்களின் லத்தீன் மொழி பல மொழிகளைப் பாதித்தது.,रोम कभी एक विशाल साम्राज्य का केंद्र था। लैटिन भाषा ने कई आधुनिक भाषाओं को प्रभावित किया।
R056,The Law of Gravity,Isaac Newton formulated the law of universal gravitation. It explains why objects fall to the ground and why planets orbit stars. Mass and distance affect gravity.,Who formulated the law of gravity?,Isaac Newton.,What two factors affect the strength of gravity?,Mass and distance.,Beginner (A1),ஐசக் நியூட்டன் புவிஈர்ப்பு விதியைக் கண்டறிந்தார். இது பொருட்கள் ஏன் கீழே விழுகின்றன என்பதை விளக்குகிறது.,आइजैक न्यूटन ने गुरुत्वाकर्षण का नियम दिया। यह समझाता है कि वस्तुएं नीचे क्यों गिरती हैं।
R057,Ethical Philosophy,Ethics is a branch of philosophy that examines what is right and wrong. It explores human values and how we should treat others in a fair society.,What does ethics examine?,Concepts of right and wrong.,What does it explore?,Human values and fair treatment.,Beginner (A1),"அறநெறி (Ethics) என்பது எது சரி, எது தவறு என்பதை ஆராயும் தத்துவத்தின் ஒரு கிளையாகும்.",नीतिशास्त्र दर्शन की वह शाखा है जो सही और गलत की अवधारणाओं की जांच करती है।
R058,Macroeconomics,"Macroeconomics studies the economy as a whole. It looks at national income, unemployment rates, and inflation to understand how countries grow or fail.",What is the focus of macroeconomics?,The economy as a whole.,Name two things it looks at.,Unemployment rates and inflation.,Beginner (A1),மேக்ரோ எகனாமிக்ஸ் என்பது ஒரு நாட்டின் ஒட்டுமொத்தப் பொருளாதாரத்தைப் பற்றிய படிப்பாகும்.,समष्टि अर्थशास्त्र (Macroeconomics) समग्र अर्थव्यवस्था का अध्ययन करता है।
R059,The Hubble Telescope,"Launched in 1990, the Hubble Space Telescope orbits high above Earth. It takes clear pictures of distant galaxies, helping us learn how the universe began.",When was Hubble launched?,1990,How does it help scientists?,By taking clear pictures of distant galaxies.,Beginner (A1),"1990-இல் ஏவப்பட்ட ஹப்பிள் தொலைநோக்கி, தொலைதூர விண்மீன் திரள்களைப் படம் பிடிக்கிறது.",1990 में लॉन्च हुआ हबल टेलीस्कोप दूर की आकाशगंगाओं की तस्वीरें लेता है।
R060,The Global Economy,Modern trade means that a product sold in one country might have parts from five others. This interconnectivity creates growth but also makes nations dependent.,What does modern trade mean?,Products have parts from many different countries.,What is a result of interconnectivity?,Economic growth and national dependency.,Beginner (A1),நவீன வர்த்தகம் என்பது நாடுகளுக்கு இடையிலான பொருளாதாரத் தொடர்புகளைக் குறிக்கிறது.,आधुनिक व्यापार का अर्थ है कि देश आर्थिक रूप से एक-दूसरे से जुड़े हुए हैं।
R061,The Moon's Face,The Moon does not have its own light. It looks bright because it reflects the Sun's light. It has many craters caused by space rocks hitting it.,Does the Moon have its own light?,"No, it reflects the Sun's light.",What causes the craters?,Space rocks hitting the Moon.,Beginner (A1),நிலாவிற்குச் சொந்தமாக ஒளி கிடையாது. அது சூரிய ஒளியைப் பிரதிபலிக்கிறது.,चंद्रमा का अपना प्रकाश नहीं होता। यह सूर्य के प्रकाश को परावर्तित करता है।
R062,Plant Food,Plants are amazing because they make their own food using sunlight. This is called photosynthesis. They also need water and good soil to grow strong.,What is it called when plants make food?,Photosynthesis.,What two other things do plants need?,Water and good soil.,Beginner (A1),தாவரங்கள் சூரிய ஒளியைப் பயன்படுத்தித் தங்கள் உணவைத் தாங்களே தயாரிக்கின்றன.,पौधे सूर्य के प्रकाश का उपयोग करके अपना भोजन स्वयं बनाते हैं।
R063,My Pet Cat,Cats are popular pets. They like to sleep for many hours during the day. They use their long whiskers to feel things around them in the dark.,When do cats like to sleep?,During the day.,What do they use to feel things?,Their whiskers.,Beginner (A1),பூனைகள் பகல் நேரத்தில் பல மணிநேரம் உறங்க விரும்பும்.,बिल्लियाँ दिन के समय कई घंटों तक सोना पसंद करती हैं।
R064,The Big Elephant,Elephants are the largest animals on land. They use their long trunks to drink water and pick up food. They live in groups called herds.,Where do elephants live?,On land.,What is a group of elephants called?,A herd.,Beginner (A1),யானைகள் நிலத்தில் வாழும் மிகப்பெரிய விலங்குகள். அவை கூட்டமாக வாழ்கின்றன.,हाथी ज़मीन पर रहने वाले सबसे बड़े जानवर हैं। वे झुंड में रहते हैं।
R065,Colorful Rainbows,A rainbow appears when it is sunny and raining at the same time. The sunlight shines through the water drops and breaks into seven beautiful colors.,When does a rainbow appear?,When it is sunny and raining.,How many colors are in a rainbow?,Seven.,Beginner (A1),வெயிலும் மழையும் ஒரே நேரத்தில் வரும்போது வானவில் தோன்றுகிறது.,इंद्रधनुष तब दिखाई देता है जब धूप और बारिश एक साथ होती है।
R066,The Library,"A library is a quiet place where people go to read books. You can borrow books and take them home, but you must return them on time.",Is a library a loud place?,"No, it is a quiet place.",What can you do with library books?,Borrow them and take them home.,Beginner (A1),நூலகம் என்பது மக்கள் புத்தகம் வாசிக்கச் செல்லும் ஒரு அமைதியான இடம்.,पुस्तकालय एक शांत जगह है जहाँ लोग किताबें पढ़ने जाते हैं।
R067,The Busy Baker,"Bakers wake up very early in the morning to bake fresh bread. They use flour, water, and yeast to make the dough rise before putting it in the oven.",When do bakers wake up?,Very early in the morning.,What three things are used to make bread?,"Flour, water, and yeast.",Beginner (A1),ரொட்டி தயாரிப்பவர்கள் அதிகாலையிலேயே எழுந்து புதிய ரொட்டிகளைச் செய்கிறார்கள்.,बेकर्स ताज़ा ब्रेड बनाने के लिए सुबह बहुत जल्दी उठते हैं।
R068,Spring Season,"In spring, the weather gets warmer and flowers begin to bloom. Many birds build nests in the trees to lay their eggs during this time.",What happens to the weather in spring?,It gets warmer.,Why do birds build nests in spring?,To lay their eggs.,Beginner (A1),வசந்த காலத்தில் வானிலை வெப்பமடைகிறது மற்றும் பூக்கள் மலர்கின்றன.,वसंत ऋतु में मौसम गर्म हो जाता है और फूल खिलने लगते हैं।
R069,The Small Seed,"A seed needs water, air, and warmth to grow. First, it grows roots into the dirt, and then a green sprout comes out of the ground.",What three things does a seed need?,"Water, air, and warmth.","What grows first, roots or a sprout?",Roots.,Beginner (A1),"ஒரு விதை வளர்வதற்கு நீர், காற்று மற்றும் வெப்பம் தேவை.","एक बीज को बढ़ने के लिए पानी, हवा और गर्माहट की जरूरत होती है।"
R070,Healthy Breakfast,"Breakfast is the most important meal of the day. It gives you energy to study and play. Eggs, milk, and fruit are healthy choices.",Which meal is the most important?,Breakfast.,Why is breakfast good for you?,It gives you energy.,Beginner (A1),காலை உணவு அன்றைய தினத்தின் மிக முக்கியமான உணவாகும்.,नाश्ता दिन का सबसे महत्वपूर्ण भोजन है। यह ऊर्जा देता है।
R071,The Brave Pilot,Pilots fly airplanes to take people across the world. They stay in the cockpit and use many buttons and screens to steer the plane safely.,What is the pilot's seat area called?,The cockpit.,Why do pilots fly airplanes?,To take people across the world.,Beginner (A1),விமானிகள் மக்களை உலகம் முழுவதும் அழைத்துச் செல்ல விமானங்களை ஓட்டுகிறார்கள்.,पायलट लोगों को दुनिया भर में ले जाने के लिए हवाई जहाज उड़ाते हैं।
R072,The Friendly Dolphin,Dolphins are mammals that live in the ocean. They are very smart and communicate with each other using clicks and whistles. They love to jump out of the water.,Are dolphins fish or mammals?,Mammals.,How do dolphins talk to each other?,Using clicks and whistles.,Beginner (A1),டால்பின்கள் கடலில் வாழும் பாலூட்டிகள். அவை புத்திசாலியானவை.,डॉल्फ़िन स्तनधारी हैं जो समुद्र में रहते हैं। वे बहुत होशियार होते हैं।
R073,How Clouds Form,"When the sun heats up water in lakes, it turns into gas. This is called water vapor. The vapor rises and cools down to form clouds in the sky.",What is water called when it turns into gas?,Water vapor.,What happens when water vapor cools down?,It forms clouds.,Beginner (A1),"சூரியன் ஏரிகளில் உள்ள நீரை வெப்பப்படுத்தும்போது, அது மேகங்களாக மாறுகிறது.","जब सूरज झीलों के पानी को गर्म करता है, तो वह बादलों में बदल जाता है।"
R074,The Roman Roads,"The ancient Romans were famous for building strong roads. They used layers of stone and sand. Some of these roads are still used today, thousands of years later.",What were the Romans famous for?,Building strong roads.,What materials did they use?,Layers of stone and sand.,Beginner (A1),பண்டைய ரோமானியர்கள் வலுவான சாலைகளை அமைப்பதில் பிரபலமானவர்கள்.,प्राचीन रोमन मजबूत सड़कें बनाने के लिए प्रसिद्ध थे।
