Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
22,Day 5,Mellifluous,Adjective,Advanced,இனிமையான குரல் கொண்ட,मधुरभाषी (Madhurbhaashi),The singer had a mellifluous voice.,அந்தப் பாடகருக்கு இனிமையான குரல் இருந்தது.,गायक की आवाज़ मधुरभाषी थी।,"Sweet, Dulcet, Smooth",இனிமையான ஒலி
23,Day 5,Meticulously,Adverb,Advanced,நுணுக்கமாக,सावधानी से (Saavdhani Se),She planned the event meticulously.,அவள் நிகழ்வை நுணுக்கமாக திட்டமிட்டாள்.,उसने कार्यक्रम की योजना सावधानी से बनाई।,"Carefully, Precisely, Thoroughly",நுணுக்கமாக
24,Day 5,Misanthrope,Noun,Advanced,மனித வெறுப்பாளர்,मानवद्वेषी (Maanavdveshi),He became a lonely misanthrope.,அவர் ஒரு தனிமையான மனித வெறுப்பாளராக ஆனார்.,वह एक अकेला मानवद्वेषी बन गया।,"Cynic, Hater of people",மனித வெறுப்பாளர்
25,Day 6,Moratorium,Noun,Advanced,தடைக்காலம்,रोक (Rok),They placed a moratorium on new construction.,அவர்கள் புதிய கட்டுமானத்திற்கு ஒரு தடைக்காலம் விதித்தனர்.,उन्होंने नए निर्माण पर रोक लगा दी।,"Ban, Suspension, Delay",தற்காலிக தடை
26,Day 6,Obsequious,Adjective,Advanced,அதிகப்படியான பணிவுள்ள,चाटुकार (Chaatookar),The staff were excessively obsequious.,ஊழியர்கள் அதிகப்படியான பணிவுள்ளவர்களாக இருந்தனர்.,कर्मचारी अत्यधिक चाटुकार थे।,"Servile, Fawning, Groveling",பணிவான (மிதமிஞ்சிய)
27,Day 6,Perfunctory,Adjective,Advanced,மேலோட்டமான,लापरवाही भरा (Laaparvaahi Bhara),The cleaner did a perfunctory job.,துப்புரவு பணியாளர் ஒரு மேலோட்டமான வேலையைச் செய்தார்.,सफाईकर्मी ने लापरवाही भरा काम किया।,"Cursory, Careless, Brief",கடமைக்காக
28,Day 6,Pristine,Adjective,Advanced,பழமையான,प्राचीन [Praacheen],The untouched forest was pristine.,தொடப்படாத காடு பழமையானதாக இருந்தது.,अछूता जंगल प्राचीन था।,"Unspoiled, Pure, Immaculate",களங்கமற்ற
29,Day 6,Pugnacious,Adjective,Advanced,சண்டை பிடிக்கும்,झगड़ालू (Jhagaraloo),The politician was known for his pugnacious style.,அந்த அரசியல்வாதி தனது சண்டை பிடிக்கும் பாணிக்கு பெயர் பெற்றவர்.,वह राजनेता अपनी झगड़ालू शैली के लिए जाने जाते थे।,"Aggressive, Belligerent, Hostile",சண்டையிடும் குணம்
30,Day 7,Recalcitrant,Adjective,Advanced,பிடிவாதமான,हठी (Hathi),The boy was recalcitrant and refused to obey.,"அந்தச் சிறுவன் பிடிவாதமாக இருந்தான், கீழ்ப்படிய மறுத்தான்.",वह लड़का हठी था और आज्ञा मानने से इनकार कर दिया।,"Uncooperative, Stubborn, Defiant",பிடிவாதமான
31,Day 7,Recuperate,Verb,Advanced,மீண்டு வா,स्वास्थ्य लाभ करना (Svaasthya Laabh Karna),He needs time to recuperate.,அவர் மீண்டு வர நேரம் தேவை.,उन्हें स्वास्थ्य लाभ करने के लिए समय चाहिए।,"Recover, Heal, Mend",தேறுதல் (உடல்நலம்)
32,Day 7,Relegate,Verb,Advanced,தாழ்த்து,पदावनत करना [Padaavanat Karna],She was relegated to a minor role.,அவள் ஒரு சிறிய பதவிக்கு தாழ்த்தப்பட்டாள்.,उसे एक छोटी भूमिका में पदावनत कर दिया गया।,"Demote, Downgrade, Exile",பதவி குறை
33,Day 7,Resilience,Noun,Advanced,மீள்திறன்,लचीलापन (Lacheelapan),Her resilience helped her recover.,அவளது மீள்திறன் மீட்க உதவியது.,उनकी लचीलापन ने उन्हें ठीक होने में मदद की।,"Flexibility, Toughness, Elasticity",மீள்திறன்
34,Day 7,Sanctimonious,Adjective,Advanced,பக்தியை வெளிப்படுத்தும்,पाखंडी (Paakhandi),His sanctimonious attitude annoyed everyone.,அவரது பக்தியை வெளிப்படுத்தும் அணுகுமுறை அனைவரையும் எரிச்சலூட்டியது.,उनके पाखंडी रवैये ने सभी को परेशान किया।,"Hypocritical, Self-righteous",போலியான பக்தியுள்ள
35,Day 8,Scrutinize,Verb,Advanced,நுணுக்கமாக ஆராய்,जांचना (Jaanchana),The boss will scrutinize the report.,முதலாளி அறிக்கையை நுணுக்கமாக ஆராய்வார்.,मालिक रिपोर्ट को जांचेंगे।,"Examine, Inspect, Analyze",கூர்ந்து கவனி
36,Day 8,Stentorian,Adjective,Advanced,உரத்த (குரல்),ज़ोरदार (Zordaar),The speaker had a stentorian voice.,பேச்சாளருக்கு உரத்த குரல் இருந்தது.,वक्ता की आवाज़ ज़ोरदार थी।,"Loud, Powerful, Booming",உரத்த குரல்
37,Day 8,Tantamount,Adjective,Advanced,சமமான,बराबर (Baraabar),His silence was tantamount to an admission.,அவரது மௌனம் ஒப்புதலுக்குச் சமமானதாக இருந்தது.,उनकी चुप्पी एक स्वीकृति के बराबर थी।,"Equivalent, Equal, Same",சமமான
38,Day 8,Trepidation,Noun,Advanced,திகில் / அச்சம்,घबराहट (Ghabraahat),She faced the interview with trepidation.,அவர் திகிலுடன் நேர்காணலை எதிர்கொண்டார்.,उसने घबराहट के साथ साक्षात्कार का सामना किया।,"Fear, Anxiety, Alarm",நடுக்கம் / கலக்கம்
39,Day 8,Ubiquitous,Adjective,Advanced,எல்லா இடங்களிலும் உள்ள,सर्वव्यापी (Sarvavyaapi),Smartphones are now ubiquitous.,ஸ்மார்ட்போன்கள் இப்போது எல்லா இடங்களிலும் உள்ளன.,स्मार्टफोन अब सर्वव्यापी हैं।,"Everywhere, Pervasive, Omnipresent",எங்கும் நிறைந்த
40,Day 9,Vituperate,Verb,Advanced,திட்டு,फटकारना (Phatkaarna),He used to vituperate his opponents.,அவர் தனது எதிரிகளைத் திட்டுவார்.,वह अपने विरोधियों को फटकारता था।,"Scold, Revile, Berate",வசைபாடுதல்
41,Day 9,Xenophobia,Noun,Advanced,வெளிநாட்டினர் மீதான பயம்,विदेशियों से घृणा (Videshiyon Se Ghrina),The rise of xenophobia is worrying.,வெளிநாட்டினர் மீதான பயத்தின் எழுச்சி கவலை அளிக்கிறது.,विदेशियों से घृणा का बढ़ना चिंताजनक है।,"Prejudice, Intolerance",அயல்நாட்டவர் மீதான பயம்
42,Day 9,Absolve,Verb,Advanced,குற்றத்திலிருந்து விடு,दोषमुक्त करना (Doshmukth Karna),The court will absolve him of all charges.,நீதிமன்றம் அவரை அனைத்து குற்றங்களிலிருந்தும் விடுவிக்கும்.,अदालत उसे सभी आरोपों से दोषमुक्त करेगी।,"Exonerate, Vindicate, Forgive",விடுதலை செய்
43,Day 9,Ascetic,Adjective,Advanced,துறவறம் சார்ந்த,तपस्वी (Tapasvi),He leads an ascetic life of contemplation.,அவர் தியானத்தின் துறவற வாழ்க்கையை நடத்துகிறார்.,वह चिंतन का तपस्वी जीवन जीता है।,"Austere, Self-denying, Spartan",சந்நியாசி
44,Day 9,Assuage,Verb,Advanced,அமைதிப்படுத்து,शांत करना (Shaanth Karna),The doctor tried to assuage the patient's fears.,மருத்துவர் நோயாளியின் பயங்களை அமைதிப்படுத்த முயன்றார்.,डॉक्टर ने मरीज के डर को शांत करने की कोशिश की।,"Alleviate, Mitigate, Relieve",தணி
45,Day 10,Bombastic,Adjective,Advanced,ஆடம்பரமான,आडंबरपूर्ण (Aadambarpoorn),His speech was too bombastic and lacked substance.,"அவரது பேச்சு மிகவும் ஆடம்பரமானதாக இருந்தது, அதில் பொருள் இல்லை.",उनका भाषण बहुत आडंबरपूर्ण था और उसमें सार की कमी थी।,"Pompous, Grandiloquent, Inflated",வீண் பேச்சு
46,Day 10,Celerity,Noun,Advanced,விரைவு,शीघ्रता (Shighratha),The celerity of the response surprised everyone.,பதிலின் விரைவு அனைவரையும் ஆச்சரியப்படுத்தியது.,प्रतिक्रिया की शीघ्रता ने सभी को चकित कर दिया।,"Swiftness, Haste, Rapidity",வேகம்
47,Day 10,Conflagration,Noun,Advanced,பெரும் தீ விபத்து,भीषण आग (Bheeshan Aag),The fire quickly turned into a conflagration.,தீ விரைவாக ஒரு பெரும் தீ விபத்தாக மாறியது.,आग जल्दी ही एक भीषण आग में बदल गई।,"Blaze, Firestorm, Inferno",தீக்காயம்
48,Day 10,Didactic,Adjective,Advanced,அறிவுறுத்தும்,शिक्षाप्रद (Shikshaprad),"The novel was heavily didactic, with a clear moral.","இந்த நாவல் ஒரு தெளிவான தார்மீகத்துடன், மிகவும் அறிவுறுத்தும் விதமாக இருந்தது.","उपन्यास एक स्पष्ट नैतिकता के साथ, बहुत शिक्षाप्रद था।","Instructive, Moralizing, Edifying",போதனை செய்யும்
49,Day 10,Ephemeral,Adjective,Advanced,நிலையற்ற,क्षणभंगुर (Kshanbhangur),The beauty of the sunset is ephemeral.,சூரிய அஸ்தமனத்தின் அழகு நிலையற்றது.,सूर्यास्त की सुंदरता क्षणभंगुर है।,"Transitory, Fleeting, Short-lived",அற்பாயுள்
50,Day 11,Fastidious,Adjective,Advanced,நுணுக்கம் மிக்க,नकचढ़ा (Nakchadhā),He is fastidious about his appearance.,அவர் தனது தோற்றத்தைப் பற்றி நுணுக்கம் மிக்கவர்.,वह अपनी उपस्थिति के बारे में नकचढ़ा है।,"Meticulous, Scrupulous, Punctilious",கண்டிப்பான
51,Day 11,Inure,Verb,Advanced,பழக்கப்படுத்து,अभ्यस्त करना (Abhyasth Karna),He was inured to the cold weather.,அவர் குளிர் காலநிலைக்கு பழக்கப்படுத்தப்பட்டார்.,वह ठंडे मौसम का अभ्यस्त था।,"Harden, Acclimatize, Desensitize",பழகிவிடு
52,Day 11,Invective,Noun,Advanced,வசவு,गाली गलौज (Gaali Galauj),His speech was filled with bitter invective.,அவரது பேச்சு கடுமையான வசவுகளால் நிரம்பியிருந்தது.,उनका भाषण कड़वी गाली गलौज से भरा था।,"Abuse, Vilification, Denunciation",தூற்றல்
53,Day 11,Languid,Adjective,Advanced,சோர்ந்த,आलसी (Aalasi),A languid afternoon was spent reading.,ஒரு சோர்ந்த மதியம் வாசிப்பதில் கழிந்தது.,एक आलसी दोपहर पढ़ने में बीता।,"Listless, Lethargic, Sluggish",மந்தமான
54,Day 11,Munificent,Adjective,Advanced,தாராளமான,उदार (Udaar),The munificent donation helped the hospital.,தாராளமான நன்கொடை மருத்துவமனைக்கு உதவியது.,उदार दान ने अस्पताल की मदद की।,"Generous, Bountiful, Lavish",பெருங்கொடை
55,Day 12,Neophyte,Noun,Advanced,புதியவர்,नौसिखिया (Nausikhiya),He is a neophyte in the world of politics.,அவர் அரசியலில் ஒரு புதியவர்.,वह राजनीति की दुनिया में एक नौसिखिया है।,"Beginner, Novice, Tyro",புதுமுக
56,Day 12,Ostentatious,Adjective,Advanced,பகட்டான,दिखावटी (Dikhaavati),They lived in an ostentatious mansion.,அவர்கள் ஒரு பகட்டான மாளிகையில் வசித்து வந்தனர்.,वे एक दिखावटी हवेली में रहते थे।,"Flamboyant, Pretentious, Gaudy",தம்பட்டம்
57,Day 12,Paltry,Adjective,Advanced,அற்பமான,तुच्छ (Tuchchh),He was paid a paltry sum for his work.,அவரது வேலைக்கு அவருக்கு அற்பமான தொகை வழங்கப்பட்டது.,उन्हें उनके काम के लिए एक तुच्छ राशि का भुगतान किया गया।,"Meager, Insignificant, Worthless",சில்லறை
58,Day 12,Polemic,Noun,Advanced,விவாதப் போர்,विवादात्मक (Vivaadaatmak),The article was a fierce polemic against the government.,அந்தக் கட்டுரை அரசாங்கத்திற்கு எதிரான ஒரு கடுமையான விவாதப் போராக இருந்தது.,लेख सरकार के खिलाफ एक उग्र विवादात्मक था।,"Controversy, Argument, Attack",தர்க்கம்
59,Day 12,Prosaic,Adjective,Advanced,சலிப்பூட்டும்,नीरस (Neeras),The speaker's delivery was utterly prosaic.,பேச்சாளரின் பேச்சு முற்றிலும் சலிப்பூட்டுவதாக இருந்தது.,वक्ता का वितरण पूरी तरह से नीरस था।,"Dull, Ordinary, Tedious",சுவையற்ற
60,Day 13,Pundit,Noun,Advanced,நிபுணர்,विशेषज्ञ (Visheshagya),She is a respected political pundit.,அவர் ஒரு மரியாதைக்குரிய அரசியல் நிபுணர்.,वह एक सम्मानित राजनीतिक विशेषज्ञ हैं।,"Expert, Authority, Scholar",பண்டிதர்
61,Day 13,Querulous,Adjective,Advanced,முறையிடும்,झगड़ालू (Jhagaraloo),The customer was querulous about the delay.,வாடிக்கையாளர் தாமதம் குறித்து முறையிட்டார்.,ग्राहक देरी के बारे में झगड़ालू था।,"Complaining, Petulant, Grumbling",குறை கூறுகின்ற
62,Day 13,Quotidian,Adjective,Advanced,அன்றாட,रोज़मर्रा का (Rozmarra Kaa),His quotidian routine rarely varied.,அவரது அன்றாட வழக்கம் அரிதாகவே வேறுபட்டது.,उनका रोज़मर्रा का रूटीन शायद ही कभी बदला।,"Daily, Commonplace, Routine",தினசரி
63,Day 13,Rancor,Noun,Advanced,கடும் வெறுப்பு,द्वेष (Dvesh),He spoke without any rancor towards his rival.,அவர் தனது போட்டியாளரிடம் எந்தக் கடும் வெறுப்பும் இல்லாமல் பேசினார்.,उन्होंने अपने प्रतिद्वंद्वी के प्रति बिना किसी द्वेष के बात की।,"Bitterness, Animosity, Hatred",விரோதம்
64,Day 13,Raze,Verb,Advanced,தரைமட்டமாக்கு,ध्वस्त करना (Dhwast Karna),The old building was razed to the ground.,பழைய கட்டிடம் தரைமட்டமாக்கப்பட்டது.,पुरानी इमारत को ध्वस्त कर दिया गया था।,"Demolish, Level, Flatten",இடித்துத் தள்ளு
65,Day 14,Repudiate,Verb,Advanced,நிராகரி,अस्वीकार करना (Asweekaar Karna),He was quick to repudiate the accusation.,அவர் அந்த குற்றச்சாட்டை விரைவாக நிராகரித்தார்.,उन्होंने आरोप को अस्वीकार करने में तेजी दिखाई।,"Reject, Disavow, Deny",மறு
66,Day 14,Rescind,Verb,Advanced,ரத்து செய்,रद्द करना (Radd Karna),The company decided to rescind the offer.,நிறுவனம் சலுகையை ரத்து செய்ய முடிவு செய்தது.,कंपनी ने प्रस्ताव को रद्द करने का फैसला किया।,"Revoke, Annul, Cancel",திரும்பப் பெறு
67,Day 14,Salient,Adjective,Advanced,முக்கிய,मुख्य (Mukhya),The salient points of the argument were clear.,வாதத்தின் முக்கிய அம்சங்கள் தெளிவாக இருந்தன.,तर्क के मुख्य बिंदु स्पष्ट थे।,"Prominent, Important, Noticeable",பிரதான
68,Day 14,Satiate,Verb,Advanced,பூர்த்தி செய்,तृप्त करना (Tript Karna),A good meal will satiate your hunger.,ஒரு நல்ல உணவு உங்கள் பசியைப் பூர்த்தி செய்யும்.,एक अच्छा भोजन आपकी भूख को तृप्त करेगा।,"Satisfy, Gorge, Quench",நிறைவு செய்
69,Day 14,Serendipity,Noun,Advanced,எதிர்பாராத அதிர்ஷ்டம்,संयोग (Sanyog),Finding the perfect apartment was pure serendipity.,சரியான குடியிருப்பைக் கண்டுபிடிப்பது முற்றிலும் எதிர்பாராத அதிர்ஷ்டம்.,सही अपार्टमेंट खोजना शुद्ध संयोग था।,"Chance, Luck, Fortuity",தற்செயலான நிகழ்வு
70,Day 15,Soporific,Adjective,Advanced,தூக்கத்தை வரவழைக்கும்,नींद लाने वाला (Neend Laane Waala),The lecture had a soporific effect on the students.,விரிவுரை மாணவர்களுக்கு தூக்கத்தை வரவழைக்கும் விளைவை ஏற்படுத்தியது.,व्याख्यान का छात्रों पर नींद लाने वाला प्रभाव पड़ा।,"Sleep-inducing, Calming, Drowsy",தூக்கம் தரும்
71,Day 15,Supplant,Verb,Advanced,இடத்தைப் பிடி,हटाना (Hataana),Automation will supplant manual labor.,தானியங்கு முறை மனித உழைப்பின் இடத்தைப் பிடிக்கும்.,स्वचालन से शारीरिक श्रम को हटाना होगा।,"Replace, Supersede, Usurp",நீக்கிவிடு
72,Day 15,Tacit,Adjective,Advanced,சொல்லப்படாத,मौन (Maun),Their tacit agreement was understood by all.,அவர்களின் சொல்லப்படாத ஒப்பந்தம் அனைவருக்கும் புரிந்தது.,उनका मौन समझौता सभी को समझ में आ गया।,"Implicit, Unspoken, Understood",ஊமை
73,Day 15,Temerity,Noun,Advanced,துணிச்சல்,दुस्साहस (Dussaahas),He had the temerity to challenge the boss.,அவர் முதலாளிக்கு சவால் விடும் துணிச்சலைக் கொண்டிருந்தார்.,उसमें बॉस को चुनौती देने का दुस्साहस था।,"Audacity, Boldness, Recklessness",தைரியம்
74,Day 15,Tepid,Adjective,Advanced,லேசான சூடு,गुनगुना (Gunaguna),She gave a tepid response to the proposal.,அவர் அந்த முன்மொழிவுக்கு ஒரு லேசான சூடான பதிலை அளித்தார்.,उसने प्रस्ताव पर गुनगुना प्रतिक्रिया दी।,"Lukewarm, Mild, Halfhearted",குளிர்ந்த
75,Day 16,Travesty,Noun,Advanced,கேலிச்சித்திரம்,मज़ाक (Mazaak),The trial was a travesty of justice.,அந்த விசாரணை நீதியின் கேலிச்சித்திரமாக இருந்தது.,यह मुकदमा न्याय का मज़ाक था।,"Farce, Mockery, Perversion",பரிகாசம்
76,Day 16,Turbid,Adjective,Advanced,கலங்கிய,गंदला (Gandalaa),The river water was turbid after the storm.,புயலுக்குப் பிறகு ஆற்று நீர் கலங்கியது.,तूफान के बाद नदी का पानी गंदला था।,"Cloudy, Muddy, Opaque",அசுத்தமான
77,Day 16,Vacillate,Verb,Advanced,அசை,डगमगाना (Dagamagaana),He tends to vacillate between two choices.,அவர் இரண்டு தேர்வுகளுக்கு இடையில் அசைகிறார்.,वह दो विकल्पों के बीच डगमगाने लगता है।,"Waver, Hesitate, Indecisive",ஊசலாடு
78,Day 16,Verdant,Adjective,Advanced,பசுமையான,हरा भरा (Haraa Bharaa),The hills were covered in verdant foliage.,மலைகள் பசுமையான இலைகளால் மூடப்பட்டிருந்தன.,पहाड़ियाँ हरा भरा पत्तों से ढकी हुई थीं।,"Green, Lush, Leafy",செழிப்பான
79,Day 16,Vilify,Verb,Advanced,அவதூறு செய்,बदनाम करना (Badnaam Karna),The press tried to vilify the celebrity.,பத்திரிகைகள் அந்த பிரபலத்தை அவதூறு செய்ய முயன்றன.,प्रेस ने सेलिब्रिटी को बदनाम करने की कोशिश की।,"Slander, Defame, Denigrate",பழியிடு
80,Day 17,Vitiate,Verb,Advanced,கெடுத்துவிடு,भ्रष्ट करना (Bhrasht Karna),A single mistake can vitiate the entire process.,ஒரு சிறிய தவறு முழு செயல்முறையையும் கெடுத்துவிடும்.,एक गलती पूरी प्रक्रिया को भ्रष्ट कर सकती है।,"Impair, Spoil, Corrupt",மதிப்பிழக்கச் செய்
81,Day 17,Winsome,Adjective,Advanced,கவரக்கூடிய,मनमोहक (Manamohak),Her winsome smile charmed the audience.,அவரது கவரக்கூடிய புன்னகை பார்வையாளர்களை கவர்ந்தது.,उनकी मनमोहक मुस्कान ने दर्शकों को मोहित किया।,"Charming, Engaging, Appealing",கவர்ச்சி
82,Day 17,Zenith,Noun,Advanced,உச்சம்,शिखर (Shikhar),He reached the zenith of his career.,அவர் தனது தொழில் வாழ்க்கையின் உச்சத்தை அடைந்தார்.,उन्होंने अपने करियर के शिखर पर पहुँच गए।,"Apex, Peak, Acme",மேல்நிலை
83,Day 17,Abnegate,Verb,Advanced,மறு,अस्वीकार करना (Asweekaar Karna),He chose to abnegate his luxurious lifestyle.,அவர் தனது ஆடம்பரமான வாழ்க்கை முறையை மறுக்க முடிவு செய்தார்.,उन्होंने अपनी शानदार जीवनशैली को अस्वीकार करने का फैसला किया।,"Renounce, Reject, Abstain",கைவிடு
84,Day 17,Clandestine,Adjective,Advanced,இரகசியமான,गुप्त (Gupth),The group held clandestine meetings.,அந்த குழு இரகசியமான கூட்டங்களை நடத்தியது.,समूह ने गुप्त बैठकें आयोजित कीं।,"Secret, Covert, Surreptitious",மறைவான
85,Day 18,Convivial,Adjective,Advanced,கலகலப்பான,मिलनसार (Milansaar),The atmosphere was convivial and welcoming.,வளிமண்டலம் கலகலப்பானதாகவும் வரவேற்கத்தக்கதாகவும் இருந்தது.,माहौल मिलनसार और स्वागत करने वाला था।,"Friendly, Sociable, Jovial",இன்பமான
86,Day 18,Debacle,Noun,Advanced,படுதோல்வி,पराजय (Paraajay),The economic plan was a complete debacle.,பொருளாதாரத் திட்டம் ஒரு முழுமையான படுதோல்வி.,आर्थिक योजना एक पूर्ण पराजय थी।,"Disaster, Failure, Catastrophe",சறுக்கல்
87,Day 18,Delineate,Verb,Advanced,விவரி,चित्रित करना (Chitrith Karna),The boundaries of the new territory were delineated.,புதிய பிரதேசத்தின் எல்லைகள் விவரிக்கப்பட்டன.,नए क्षेत्र की सीमाओं को चित्रित किया गया था।,"Define, Describe, Portray",சுட்டிக்காட்டு
