English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Accrue / Accrued / Accrued,Day 3,Advanced,வந்து சேர் / சேர்ந்தது / சேர்ந்துள்ளது,वृद्धि होना / हुई / हो चुका,1. Interest accrues. // 2. It accrued. // 3. It has accrued.,1. வந்தடை (சேரு). // 2. அது சேர்ந்தது. // 3. அது சேர்ந்துள்ளது.,1. जुड़ना (ब्याज)। // 2. यह जुड़ा। // 3. ब्याज जुड़ चुका है।
Acquiesce / Acquiesced / Acquiesced,Day 3,Advanced,மௌனமாக ஒத்துக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,चुपचाप स्वीकार करना / किया / चुका,1. Acquiesce to demands. // 2. He acquiesced. // 3. We have acquiesced.,1. சம்மதி (அமைதியாக). // 2. அவர் சம்மதித்தார். // 3. நாங்கள் சம்மதித்தோம்.,1. चुपचाप स्वीकार करना। // 2. वह मान गया। // 3. हमने मान लिया है।
Acquit / Acquitted / Acquitted,Day 3,Advanced,விடுவி (குற்றச்சாட்டிலிருந்து) / வித்தேன் / வித்துள்ளேன்,बरी करना / किया / कर चुका,1. Acquit the innocent. // 2. Court acquitted. // 3. He is acquitted.,1. விடுதலை செய். // 2. நீதிபதி விடுவித்தார். // 3. அவர் விடுவிக்கப்பட்டார்.,1. बरी करना। // 2. कोर्ट ने बरी किया। // 3. वह बरी हो गया है।
Adjudicate / Adjudicated / Adjudicated,Day 3,Advanced,தீர்ப்பளி / அளித்தேன் / அளித்துள்ளேன்,निर्णय सुनाना / सुनाया / सुना चुका,1. Adjudicate cases. // 2. He adjudicated. // 3. It was adjudicated.,1. தீர்ப்பளி. // 2. அவர் தீர்ப்பளித்தார். // 3. அது தீர்க்கப்பட்டது.,1. निर्णय करना। // 2. उसने फैसला सुनाया। // 3. फैसला सुनाया गया।
Adjure / Adjured / Adjured,Day 3,Advanced,ஆணைப்படியுறுத்து / உறுத்தினேன் / உறுத்தியுள்ளேன்,शपथ दिलाना / दिलाई / दिला चुका,1. Adjure him to speak. // 2. He adjured me. // 3. I am adjured.,1. ஆணையிடு (ஆணையாகக் கேள்). // 2. அவர் கேட்டார். // 3. நான் பணிக்கப்பட்டேன்.,1. शपथ दिलाना/विनती। // 2. उसने कसम दी। // 3. मुझे आदेश दिया गया।
Admonish / Admonished / Admonished,Day 4,Advanced,கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,धिक्कारना / धिक्कारा / धिक्कार चुका,1. Admonish the staff. // 2. He admonished. // 3. I was admonished.,1. கண்டி / எச்சரி. // 2. அவர் கண்டித்தார். // 3. நான் கண்டிக்கப்பட்டேன்.,1. डाँटना/चेतावनी देना। // 2. उसने डाँटा। // 3. मुझे चेतावनी दी गई।
Adulterate / Adulterated / Adulterated,Day 4,Advanced,கலப்படம் செய் / செய்தேன் / செய்துள்ளேன்,मिलावट करना / की / कर चुका,1. Adulterate the oil. // 2. He adulterated. // 3. Milk is adulterated.,1. கலப்படம் செய். // 2. அவர் கலப்படம் செய்தார். // 3. பால் கலப்படமானது.,1. मिलावट करना। // 2. उसने मिलावट की। // 3. इसमें मिलावट की गई है।
Adumbrate / Adumbrated / Adumbrated,Day 4,Advanced,நிழலாகக் காட்டு / காட்டினேன் / காட்டியுள்ளேன்,रूपरेखा प्रस्तुत करना / की / चुका,1. Adumbrate the plan. // 2. He adumbrated. // 3. It is adumbrated.,1. மேலோட்டமாக விளக்கு. // 2. அவர் விளக்கினார். // 3. அது விளக்கப்பட்டது.,1. रूपरेखा बताना। // 2. उसने सारांश दिया। // 3. रूपरेखा बताई गई।
Advocate / Advocated / Advocated,Day 4,Advanced,ஆதரித்துப் பேசு / பேசினேன் / பேசியுள்ளேன்,वकालत करना / की / कर चुका,1. Advocate for poor. // 2. He advocated. // 3. Peace is advocated.,1. பரிந்து பேசு. // 2. அவர் ஆதரித்தார். // 3. அமைதி வலியுறுத்தப்பட்டது.,1. समर्थन करना। // 2. उसने वकालत की। // 3. इसका समर्थन किया गया।
Affiliate / Affiliated / Affiliated,Day 4,Advanced,இணை / இணைத்தேன் / இணைத்துள்ளேன்,संबद्ध करना / किया / कर चुका,1. Affiliate the group. // 2. They affiliated. // 3. It is affiliated.,1. இணை (உறுப்பினர் ஆக்கு). // 2. அவர்கள் இணைந்தனர். // 3. அது இணைக்கப்பட்டது.,1. संबद्ध करना। // 2. वे जुड़ गए। // 3. यह संबद्ध है।
Afflict / Afflicted / Afflicted,Day 5,Advanced,துன்புறுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,सताना / सताया / सता चुका,1. Afflict the weak. // 2. It afflicted him. // 3. We are afflicted.,1. வேதனைப்படுத்து. // 2. அது வருத்தியது. // 3. நாங்கள் பாதிக்கப்பட்டோம்.,1. पीड़ा देना। // 2. इसने उसे सताया। // 3. हम पीड़ित हैं।
Aggrandize / Aggrandized / Aggrandized,Day 5,Advanced,உயர்த்து / உயர்த்தினேன் / உயர்த்தியுள்ளேன்,शक्ति बढ़ाना / बढ़ाई / बढ़ा चुका,1. Aggrandize status. // 2. He aggrandized. // 3. It is aggrandized.,1. உயர்த்து (புகழ்). // 2. அவர் உயர்த்தினார். // 3. அது உயர்த்தப்பட்டது.,1. बढ़ाना (शक्ति/पद)। // 2. उसने शक्ति बढ़ाई। // 3. इसे बढ़ाया गया है।
Aggravate / Aggravated / Aggravated,Day 5,Advanced,நிலைமையை மோசமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,गंभीर बनाना / बनाया / बना चुका,1. Aggravate the situation. // 2. It aggravated. // 3. I am aggravated.,1. நிலைமையை மோசமாக்கு. // 2. அது மோசமானது. // 3. நான் எரிச்சலடைந்தேன்.,1. और बिगाड़ना। // 2. यह बिगड़ गया। // 3. स्थिति बिगड़ चुकी है।
Agitate / Agitated / Agitated,Day 5,Advanced,கிளர்ச்சி செய் / செய்தேன் / செய்துள்ளேன்,उत्तेजित करना / किया / कर चुका,1. Agitate for rights. // 2. They agitated. // 3. Water is agitated.,1. கிளர்ச்சி செய் (கலக்கு). // 2. அவர்கள் போராடினர். // 3. நீர் கலக்கப்பட்டது.,1. आंदोलन करना/हिलाना। // 2. उन्होंने विरोध किया। // 3. पानी हिलाया गया।
Alienate / Alienated / Alienated,Day 5,Advanced,அந்நியப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,अलग करना / किया / कर चुका,1. Alienate family. // 2. He alienated them. // 3. I am alienated.,1. அந்நியப்படுத்து (பிரி). // 2. அவர் பிரித்தார். // 3. நான் பிரிக்கப்பட்டேன்.,1. अलग करना। // 2. उसने अलग कर दिया। // 3. वह अलग हो गया है।
Allege / Alleged / Alleged,Day 6,Advanced,குற்றஞ்சாட்டு / சாட்டினேன் / சாட்டியுள்ளேன்,आरोप लगाना / लगाया / लगा चुका,1. Allege fraud. // 2. He alleged it. // 3. It is alleged.,1. சான்று இல்லாமல் கூறு. // 2. அவர் சொன்னார். // 3. அது சொல்லப்பட்டது.,1. आरोप लगाना। // 2. उसने आरोप लगाया। // 3. आरोप लगाया गया है।
Alleviate / Alleviated / Alleviated,Day 6,Advanced,தணி / தணித்தேன் / தணித்துள்ளேன்,कम करना (दुःख) / किया / चुका,1. Alleviate stress. // 2. It alleviated. // 3. Pain is alleviated.,1. தணி / குறை. // 2. அது தணிந்தது. // 3. வலி குறைந்தது.,1. कम करना/राहत देना। // 2. इसने राहत दी। // 3. तनाव कम हो गया है।
Allocate / Allocated / Allocated,Day 6,Advanced,ஒதுக்கு / ஒதுக்கினேன் / ஒதுக்கியுள்ளேன்,आवंटित करना / किया / कर चुका,1. Allocate resources. // 2. They allocated. // 3. Funds are allocated.,1. ஒதுக்கீடு செய். // 2. அவர்கள் ஒதுக்கினர். // 3. நிதி ஒதுக்கப்பட்டது.,1. आवंटित करना। // 2. उन्होंने बांटा। // 3. पैसे आवंटित किए गए।
Allude / Alluded / Alluded,Day 6,Advanced,ஜாடையாகக் குறிப்பிடு / இட்டேன் / இட்டுள்ளேன்,संकेत देना / दिया / दे चुका,1. Allude to history. // 2. He alluded to it. // 3. I have alluded.,1. குறிப்பாகச் சொல். // 2. அவர் குறிப்பிட்டார். // 3. நான் குறிப்பிட்டுள்ளேன்.,1. संकेत करना। // 2. उसने इशारा किया। // 3. संकेत दिया गया है।
Amalgamate / Amalgamated / Amalgamated,Day 6,Advanced,ஒன்றிணை / இணைத்தேன் / இணைந்துள்ளேன்,मिलाना / मिलाया / मिला चुका,1. Amalgamate banks. // 2. They amalgamated. // 3. It is amalgamated.,1. ஒன்றிணை (கல). // 2. அவை இணைந்தன. // 3. அது இணைக்கப்பட்டது.,1. मिलाना/एक करना। // 2. उन्होंने मिला दिया। // 3. इसे मिला दिया गया है।
Ameliorate / Ameliorated / Ameliorated,Day 7,Advanced,சீர்திருத்து / திருத்தினேன் / திருத்தியுள்ளேன்,सुधारना / सुधारा / सुधार चुका,1. Ameliorate conditions. // 2. It ameliorated. // 3. Life is ameliorated.,1. திருத்து / மேப்படுத்து. // 2. அது மேம்பட்டது. // 3. நிலைமை சீராகியுள்ளது.,1. सुधारना। // 2. सुधार हुआ। // 3. स्थिति सुधर चुकी है।
Amend / Amended / Amended,Day 7,Advanced,திருத்தம் செய் / செய்தேன் / செய்துள்ளேன்,संशोधन करना / किया / कर चुका,1. Amend rules. // 2. He amended. // 3. It is amended.,1. திருத்தம் செய். // 2. அவர் மாற்றினார். // 3. அது மாற்றப்பட்டது.,1. संशोधन करना। // 2. उसने बदलाव किया। // 3. इसे बदला गया है।
Amplify / Amplified / Amplified,Day 7,Advanced,விரிவுபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विस्तार करना / किया / कर चुका,1. Amplify signal. // 2. He amplified. // 3. It is amplified.,1. பெருக்கு (ஒலி/சக்தி). // 2. அவர் கூட்டினார். // 3. அது கூட்டப்பட்டது.,1. बढ़ाना/विस्तार। // 2. उसने आवाज बढ़ाई। // 3. इसे बढ़ाया गया है।
Annihilate / Annihilated / Annihilated,Day 7,Advanced,நிர்மூலமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,विनाश करना / किया / कर चुका,1. Annihilate bugs. // 2. They annihilated. // 3. It is annihilated.,1. முற்றிலுமாக அழி. // 2. அவர்கள் அழித்தனர். // 3. அது ஒழிக்கப்பட்டது.,1. पूरी तरह नष्ट करना। // 2. उन्होंने विनाश किया। // 3. इसे मिटा दिया गया है।
Annotate / Annotated / Annotated,Day 7,Advanced,குறிப்புரை எழுது / எழுதினேன் / எழுதியுள்ளேன்,व्याख्या करना / की / कर चुका,1. Annotate the text. // 2. He annotated. // 3. It is annotated.,1. விளக்கக் குறிப்பு எழுது. // 2. அவர் எழுதினார். // 3. அது குறிக்கப்பட்டது.,1. टिप्पणी लिखना। // 2. उसने टिप्पणी की। // 3. टिप्पणी लिखी गई है।
Anticipate / Anticipated / Anticipated,Day 8,Advanced,முன்கூட்டியே எதிர்நோக்கு / நோக்கினேன் / நோக்கியுள்ளேன்,पूर्वानुमान लगाना / लगाया / चुका,1. Anticipate success. // 2. I anticipated. // 3. It was anticipated.,1. எதிர்பார். // 2. நான் எதிர்பார்த்தேன். // 3. அது எதிர்பார்க்கப்பட்டது.,1. उम्मीद करना। // 2. मैंने आशा की। // 3. यह अपेक्षित था।
Appease / Appeased / Appeased,Day 8,Advanced,அமைதிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,शांत करना / किया / कर चुका,1. Appease critics. // 2. He appeased them. // 3. Hunger is appeased.,1. அமைதிப்படுத்து. // 2. அவர் சாந்தப்படுத்தினார். // 3. பசி ஆறியது.,1. शांत करना/संतुष्ट करना। // 2. उसने मनाया। // 3. उन्हें शांत किया गया।
Appertain / Appertained / Appertained,Day 8,Advanced,சார்ந்திரு / சார்ந்திருந்தது / சார்ந்துயிருக்கிறது,संबंधित होना / था / हो चुका,1. Rights appertain. // 2. It appertained. // 3. It has appertained.,1. உரியதாக இரு. // 2. அது உரியதாக இருந்தது. // 3. அது சார்ந்துள்ளது.,1. संबंधित होना। // 2. यह संबंधित था। // 3. यह संबंधित रहा है।
Appraise / Appraised / Appraised,Day 8,Advanced,மதிப்பீடு செய் / செய்தேன் / செய்துள்ளேன்,मूल्यांकन करना / किया / कर चुका,1. Appraise the house. // 2. He appraised. // 3. It is appraised.,1. மதிப்பிடு. // 2. அவர் மதிப்பிட்டார். // 3. அது மதிப்பிடப்பட்டது.,1. मूल्यांकन करना। // 2. उसने मूल्य आँका। // 3. मूल्य आँका गया है।
Apprehend / Apprehended / Apprehended,Day 8,Advanced,கைது செய் / செய்தேன் / செய்துள்ளேன்,गिरफ़्तार करना / किया / कर चुका,1. Apprehend him. // 2. They apprehended. // 3. Fear apprehended me.,1. கைது செய் / பயப்படு. // 2. அவர்கள் பிடித்தனர். // 3. பயம் என்னைப் பிடித்தது.,1. पकड़ना/हिरासत। // 2. उन्होंने पकड़ा। // 3. मुझे डर लगा।
Appropriate / Appropriated / Appropriated,Day 9,Advanced,கையகப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विनियोजित करना / किया / चुका,1. Appropriate funds. // 2. He appropriated. // 3. It is appropriated.,1. கையகப்படுத்து. // 2. அவர் எடுத்துக்கொண்டார். // 3. அது எடுக்கப்பட்டது.,1. हथियाना/कब्जा करना। // 2. उसने कब्जा किया। // 3. इसे हथिया लिया गया।
Arbitrate / Arbitrated / Arbitrated,Day 9,Advanced,நடுவராகத் தீர்ப்பளி / அளித்தேன் / அளித்துள்ளேன்,मध्यस्थता करना / की / कर चुका,1. Arbitrate the feud. // 2. He arbitrated. // 3. It was arbitrated.,1. நடுவராகத் தீர்த்து வை. // 2. அவர் தீர்த்தார். // 3. அது தீர்க்கப்பட்டது.,1. पंच बनना/निपटारा। // 2. उसने फैसला कराया। // 3. इसका निपटारा हुआ।
Arraign / Arraigned / Arraigned,Day 9,Advanced,குற்றஞ்சாட்டி நீதிமன்றத்தில் நிறுத்து / நிறுத்தினேன்,दोषारोपण करना / किया / चुका,1. Arraign the killer. // 2. They arraigned. // 3. He was arraigned.,1. குற்றஞ்சாட்டு (நீதிமன்றம்). // 2. அவர்கள் நிறுத்தினர். // 3. அவர் நிறுத்தப்பட்டார்.,1. अदालत में पेश करना। // 2. उन्होंने पेश किया। // 3. उसे पेश किया गया।
Articulate / Articulated / Articulated,Day 9,Advanced,தெளிவுபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,स्पष्ट बोलना / बोला / बोल चुका,1. Articulate words. // 2. He articulated. // 3. It is articulated.,1. தெளிவாக வெளிப்படுத்து. // 2. அவர் பேசினார். // 3. அது தெளிவாகச் சொல்லப்பட்டது.,1. स्पष्ट बोलना। // 2. उसने व्यक्त किया। // 3. इसे स्पष्ट किया गया।
Ascribe / Ascribed / Ascribed,Day 9,Advanced,ஏற்றிச் சொல் / சொன்னேன் / சொல்லியுள்ளேன்,श्रेय देना / दिया / दे चुका,1. Ascribe the quote. // 2. He ascribed it. // 3. It is ascribed.,1. காரணமாகக் கூறு. // 2. அவர் காரணமாக்கினார். // 3. அது காரணம் கூறப்பட்டது.,1. श्रेय देना/कारण बताना। // 2. उसने श्रेय दिया। // 3. इसे श्रेय दिया गया है।
Asperse / Aspersed / Aspersed,Day 10,Advanced,பழிதூற்று / தூற்றினேன் / தூற்றியுள்ளேன்,कलंकित करना / किया / कर चुका,1. Asperse character. // 2. He aspersed me. // 3. I am aspersed.,1. பழி தூற்று. // 2. அவர் பழித்தார். // 3. நான் பழிக்கப்பட்டேன்.,1. कलंक लगाना। // 2. उसने बदनाम किया। // 3. मुझे बदनाम किया गया।
Aspirate / Aspirated / Aspirated,Day 10,Advanced,பெருமூச்சுடன் ஒலி / ஒலித்தேன் / ஒலித்துள்ளேன்,प्राणवायु के साथ बोलना / बोला,1. Aspirate the sound. // 2. He aspirated. // 3. It is aspirated.,1. பெருமூச்சோடு சொல். // 2. அவர் உச்சரித்தார். // 3. அது உச்சரிக்கப்பட்டது.,1. सांस छोड़ते हुए बोलना। // 2. उसने उच्चारण किया। // 3. यह उच्चारित है।
Assail / Assailed / Assailed,Day 10,Advanced,கடுமையாகத் தாக்கு / தாக்கினேன் / தாக்கியுள்ளேன்,हमला करना / किया / कर चुका,1. Assail the enemy. // 2. They assailed. // 3. I was assailed.,1. கடுமையாகத் தாக்கு. // 2. அவர்கள் தாக்கினர். // 3. நான் தாக்கப்பட்டேன்.,1. हमला करना। // 2. उन्होंने आक्रमण किया। // 3. मुझ पर हमला हुआ।
Assent / Assented / Assented,Day 10,Advanced,சம்மதி / சம்மதித்தேன் / சம்மதித்துள்ளேன்,सहमति देना / दी / दे चुका,1. Assent to plan. // 2. He assented. // 3. We have assented.,1. சம்மதம் தெரிவி. // 2. அவர் சம்மதித்தார். // 3. நாங்கள் சம்மதித்தோம்.,1. सहमति देना। // 2. वह सहमत हुआ। // 3. हमने सहमति दी है।
Assert / Asserted / Asserted,Day 10,Advanced,உறுதிபடக் கூறு / கூறினேன் / கூறியுள்ளேன்,दावा करना / किया / कर चुका,1. Assert truth. // 2. He asserted. // 3. I have asserted.,1. உறுதியாகக் கூறு. // 2. அவர் வலியுறுத்தினார். // 3. நான் வலியுறுத்தினேன்.,1. जोर देकर कहना। // 2. उसने दावा किया। // 3. मैंने दावा किया है।
Assimilate / Assimilated / Assimilated,Day 11,Advanced,உட்கிரகி / கிரகித்தேன் / கிரகித்துள்ளேன்,आत्मसात करना / किया / कर चुका,1. Assimilate food. // 2. He assimilated. // 3. It is assimilated.,1. ஜீரணி / உள்வாங்கு. // 2. அவர் உள்வாங்கினார். // 3. அது ஜீரணிக்கப்பட்டது.,1. अपनाना/पचाना। // 2. उसने अपनाया। // 3. इसे पचा लिया गया है।
Assuage / Assuaged / Assuaged,Day 11,Advanced,தணி / தணித்தேன் / தணித்துள்ளேன்,शांत करना / किया / कर चुका,1. Assuage the grief. // 2. It assuaged. // 3. Pain is assuaged.,1. ஆற்று / தணி. // 2. அது தணிந்தது. // 3. வலி தணிந்தது.,1. शांत करना/कम करना। // 2. पीड़ा कम हुई। // 3. पीड़ा कम हो गई है।
Atone / Atoned / Atoned,Day 11,Advanced,பரிகாரம் செய் / செய்தேன் / செய்துள்ளேன்,प्रायश्चित करना / किया / कर चुका,1. Atone for crime. // 2. He atoned. // 3. I have atoned.,1. பரிகாரம் செய். // 2. அவர் பரிகாரம் செய்தார். // 3. நான் வருந்தினேன்.,1. प्रायश्चित करना। // 2. उसने प्रायश्चित किया। // 3. मैंने प्रायश्चित किया है।
Attenuate / Attenuated / Attenuated,Day 11,Advanced,மெலிதாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,कम करना / किया / कर चुका,1. Attenuate the force. // 2. It attenuated. // 3. Effect is attenuated.,1. மெல்லியதாக்கு (குறை). // 2. அது குறைந்தது. // 3. விளைவு குறைக்கப்பட்டது.,1. कमजोर करना/पतला। // 2. यह कम हुआ। // 3. प्रभाव कम हो गया है।
Attest / Attested / Attested,Day 11,Advanced,சான்றளி / அளித்தேன் / அளித்துள்ளேன்,प्रमाणित करना / किया / कर चुका,1. Attest signatures. // 2. He attested. // 3. It is attested.,1. சாட்சியளி / அத்தாட்சி. // 2. அவர் சான்றளித்தார். // 3. அது சான்றளிக்கப்பட்டது.,1. प्रमाणित करना। // 2. उसने हस्ताक्षर किए। // 3. यह प्रमाणित है।
Augment / Augmented / Augmented,Day 12,Advanced,பெருக்கு / பெருக்கினேன் / பெருக்கியுள்ளேன்,बढ़ाना / बढ़ाया / बढ़ा चुका,1. Augment the salary. // 2. He augmented. // 3. It is augmented.,1. அதிகப்படுத்து. // 2. அவர் கூட்டினார். // 3. அது கூட்டப்பட்டது.,1. बढ़ाना। // 2. उसने बढ़ाया। // 3. इसे बढ़ा दिया गया है।
Auspicate / Auspicated / Auspicated,Day 12,Advanced,மங்கலமாகத் தொடங்கு / தொடங்கினேன் / தொடங்கியுள்ளேன்,शुभ शुरुआत करना / की / चुका,1. Auspicate the event. // 2. He auspicated. // 3. It was auspicated.,1. சுபமாகத் தொடங்கு. // 2. அவர் தொடங்கினார். // 3. அது தொடங்கப்பட்டது.,1. शुभ शुरुआत करना। // 2. उसने उद्घाटन किया। // 3. उद्घाटन किया गया।
Authenticate / Authenticated / Authenticated,Day 12,Advanced,உண்மையானது என நிரூபி / நிரூபித்தேன் / நிரூபித்துள்ளேன்,प्रमाणित करना / किया / कर चुका,1. Authenticate ID. // 2. He authenticated. // 3. It is authenticated.,1. உண்மை என நிறுவு. // 2. அவர் சரிபார்த்தார். // 3. அது சரிபார்க்கப்பட்டது.,1. प्रमाणित करना। // 2. उसने पुष्टि की। // 3. इसकी पुष्टि की गई है।
Authorize / Authorized / Authorized,Day 12,Advanced,அங்கீகரி / அங்கீகரித்தேன் / அங்கீகரித்துள்ளேன்,अधिकृत करना / किया / कर चुका,1. Authorize pay. // 2. He authorized. // 3. I am authorized.,1. அதிகாரமளி. // 2. அவர் அனுமதித்தார். // 3. நான் அனுமதிக்கப்பட்டேன்.,1. अधिकार देना। // 2. उसने अनुमति दी। // 3. मुझे अधिकार दिया गया।
Avenge / Avenged / Avenged,Day 12,Advanced,பழிவாங்கு / வாங்கினேன் / வாங்கியுள்ளேன்,बदला लेना / लिया / ले चुका,1. Avenge the insult. // 2. He avenged. // 3. Death is avenged.,1. பழிவாங்கு. // 2. அவர் பழிதீர்த்தார். // 3. பழிவாங்கப்பட்டது.,1. बदला लेना। // 2. उसने बदला लिया। // 3. बदला लिया गया है।
Aver / Averred / Averred,Day 13,Advanced,உறுதிபடக் கூறு / கூறினேன் / கூறியுள்ளேன்,दृढ़ता से कहना / कहा / कह चुका,1. Aver the fact. // 2. He averred. // 3. It was averred.,1. உறுதியாகச் சொல். // 2. அவர் உறுதிபடக் கூறினார். // 3. அது கூறப்பட்டது.,1. दृढ़ता से कहना। // 2. उसने दावा किया। // 3. दावा किया गया था।
Avert / Averted / Averted,Day 13,Advanced,தவிர் / தவிர்த்தேன் / தவிர்த்துள்ளேன்,टालना / टाला / टाल चुका,1. Avert a crisis. // 2. He averted it. // 3. It was averted.,1. தவிர் (திருப்பு). // 2. அவர் தடுத்தார். // 3. அது தவிர்க்கப்பட்டது.,1. टालना। // 2. उसने संकट टाला। // 3. संकट टल गया।
Avow / Avowed / Avowed,Day 13,Advanced,பகிரங்கமாக ஒப்புக்கொள் / கொண்டேன் / கொண்டுள்ளேன்,खुले तौर पर स्वीकार करना / किया,1. Avow the belief. // 2. He avowed. // 3. It is avowed.,1. பகிரங்கமாக ஒப்புக்கொள். // 2. அவர் ஒப்புக்கொண்டார். // 3. அது ஒப்புக்கொள்ளப்பட்டது.,1. खुलेआम स्वीकार करना। // 2. उसने स्वीकार किया। // 3. इसे स्वीकार किया गया है।
Baffle / Baffled / Baffled,Day 13,Advanced,திகைக்கவை / வைத்தேன் / வைத்துள்ளேன்,चकित कर देना / किया / कर चुका,1. Baffle the police. // 2. It baffled him. // 3. I am baffled.,1. திகைக்க வை. // 2. அது அவரைத் திகைக்க வைத்தது. // 3. நான் குழம்பினேன்.,1. चकरा देना। // 2. इसने उसे उलझाया। // 3. मैं उलझन में हूँ।
