English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples,Tamil Examples,Hindi Examples
Dance / Danced / Danced,Day 6,Beginner,நடனம் ஆடு / ஆடினேன் / ஆடியுள்ளேன்,नाचना / नाचा / नाच चुका,1. I dance at parties. // 2. She danced gracefully. // 3. They have danced for hours.,1. நான் விருந்துகளில் நடனமாடுகிறேன். // 2. அவள் அழகாக நடனமாடினாள். // 3. அவர்கள் பல மணிநேரம் நடனமாடினர்.,1. मैं पार्टियों में नाचता हूँ। // 2. उसने शालीनता से नृत्य किया। // 3. वे घंटों नाच चुके हैं।
Die / Died / Died,Day 6,Beginner,இற / இறந்தேன் / இறந்திருக்கிறேன்,मरना / मरा / मर चुका,1. Flowers die without water. // 2. The king died in war. // 3. Many plants have died.,1. தண்ணீர் இல்லாமல் பூக்கள் இறக்கின்றன. // 2. மன்னர் போரில் இறந்தார். // 3. பல செடிகள் இறந்துவிட்டன.,1. पानी के बिना फूल मर जाते हैं। // 2. राजा युद्ध में मारा गया। // 3. कई पौधे मर चुके हैं।
Explain / Explained / Explained,Day 6,Beginner,விளக்கு / விளக்கினேன் / விளக்கியுள்ளேன்,समझाना / समझाया / समझा चुका,1. I explain the lesson. // 2. He explained the plan. // 3. I have explained everything.,1. நான் பாடத்தை விளக்குகிறேன். // 2. அவர் திட்டத்தை விளக்கினார். // 3. நான் எல்லாவற்றையும் விளக்கியுள்ளேன்.,1. मैं पाठ समझाता हूँ। // 2. उसने योजना समझाई। // 3. मैं सब कुछ समझा चुका हूँ।
Give / Gave / Given,Day 7,Beginner,கொடு / கொடுத்தேன் / கொடுத்திருக்கிறேன்,देना / दिया / दे चुका,1. I give a pen. // 2. He gave me a gift. // 3. I have given the money.,1. நான் ஒரு பேனா கொடுக்கிறேன். // 2. அவர் எனக்கு ஒரு பரிசு கொடுத்தார். // 3. நான் பணம் கொடுத்துள்ளேன்.,1. मैं एक पेन देता हूँ। // 2. उसने मुझे एक उपहार दिया। // 3. मैं पैसे दे चुका हूँ।
Run / Ran / Run,Day 7,Beginner,ஓடு / ஓடினேன் / ஓடியிருக்கிறேன்,दौड़ना / दौड़ा / दौड़ चुका,1. I run every morning. // 2. I ran to the bus stop. // 3. I have run a marathon.,1. நான் தினமும் காலையில் ஓடுகிறேன். // 2. நான் பேருந்து நிலையத்திற்கு ஓடினேன். // 3. நான் ஒரு மாரத்தான் ஓடியிருக்கிறேன்.,1. मैं हर सुबह दौड़ता हूँ। // 2. मैं बस स्टॉप तक दौड़ा। // 3. मैं मैराथन दौड़ चुका हूँ।
Know / Knew / Known,Day 7,Beginner,தெரிந்துகொள் / தெரிந்தேன் / தெரிந்திருக்கிறேன்,जानना / जाना / जान चुका,1. I know the truth. // 2. I knew the answer. // 3. I have known him for years.,1. எனக்கு உண்மை தெரியும். // 2. எனக்கு விடை தெரிந்தது. // 3. அவரை எனக்கு பல வருடங்களாகத் தெரியும்.,1. मुझे सच पता है। // 2. मुझे जवाब पता था। // 3. मैं उसे सालों से जानता हूँ।
Find / Found / Found,Day 7,Beginner,கண்டுபிடி / கண்டுபிடித்தேன் / கண்டுபிடித்திருக்கிறேன்,ढूँढना / ढूँढा / ढूँढ चुका,1. I find my keys. // 2. I found a gold coin. // 3. I have found a solution.,1. நான் என் சாவிகளைக் கண்டெடுக்கிறேன். // 2. நான் ஒரு தங்க நாணயத்தைக் கண்டேன். // 3. நான் ஒரு தீர்வைக் கண்டுபிடித்துள்ளேன்.,1. मैं अपनी चाबियाँ ढूंढता हूँ। // 2. मुझे एक सोने का सिक्का मिला। // 3. मुझे समाधान मिल गया है।
Leave / Left / Left,Day 7,Beginner,விடு / விட்டேன் / விட்டிருக்கிறேன்,छोड़ना / छोड़ा / छोड़ चुका,1. I leave for work at 9. // 2. He left the office early. // 3. They have left already.,1. நான் 9 மணிக்கு வேலைக்குக் கிளம்புகிறேன். // 2. அவர் அலுவலகத்திலிருந்து சீக்கிரம் கிளம்பினார். // 3. அவர்கள் ஏற்கனவே கிளம்பிவிட்டார்கள்.,1. मैं 9 बजे काम के लिए निकलता हूँ। // 2. वह ऑफिस से जल्दी निकल गया। // 3. वे पहले ही निकल चुके हैं।
Teach / Taught / Taught,Day 8,Beginner,கற்றுக்கொடு / கற்றுக்கொடுத்தேன் / கற்றுக்கொடுத்திருக்கிறேன்,सिखाना / सिखाया / सिखा चुका,1. I teach English. // 2. She taught me math. // 3. I have taught many students.,1. நான் ஆங்கிலம் கற்பிக்கிறேன். // 2. அவள் எனக்குக் கணிதம் கற்பித்தாள். // 3. நான் பல மாணவர்களுக்குக் கற்பித்துள்ளேன்.,1. मैं अंग्रेजी पढ़ाता हूँ। // 2. उसने मुझे गणित पढ़ाया। // 3. मैं कई छात्रों को पढ़ा चुका हूँ।
Write / Wrote / Written,Day 8,Beginner,எழுது / எழுதினேன் / எழுதியுள்ளேன்,लिखना / लिखा / लिख चुका,1. I write a blog. // 2. He wrote a poem. // 3. I have written a letter.,1. நான் ஒரு வலைப்பதிவு எழுதுகிறேன். // 2. அவர் ஒரு கவிதை எழுதினார். // 3. நான் ஒரு கடிதம் எழுதியுள்ளேன்.,1. मैं एक ब्लॉग लिखता हूँ। // 2. उसने एक कविता लिखी। // 3. मैं एक पत्र लिख चुका हूँ।
Sit / Sat / Sat,Day 8,Beginner,உட்கார் / உட்கார்ந்தேன் / உட்கார்ந்திருக்கிறேன்,बैठना / बैठा / बैठ चुका,1. I sit here daily. // 2. She sat on the bench. // 3. I have sat in this chair before.,1. நான் தினமும் இங்கே அமர்கிறேன். // 2. அவள் பெஞ்சில் அமர்ந்தாள். // 3. நான் இதற்கு முன் இந்த நாற்காலியில் அமர்ந்திருக்கிறேன்.,1. मैं यहाँ रोज़ बैठता हूँ। // 2. वह बेंच पर बैठी। // 3. मैं पहले इस कुर्सी पर बैठ चुका हूँ।
Drive / Drove / Driven,Day 8,Beginner,ஓட்டு / ஓட்டினேன் / ஓட்டியுள்ளேன்,चलाना / चलाया / चला चुका,1. I drive a car. // 2. He drove to the city. // 3. I have driven a truck.,1. நான் கார் ஓட்டுகிறேன். // 2. அவர் நகரத்திற்கு கார் ஓட்டிச் சென்றார். // 3. நான் லாரி ஓட்டியிருக்கிறேன்.,1. मैं कार चलाता हूँ। // 2. वह शहर तक गाड़ी चलाकर गया। // 3. मैं ट्रक चला चुका हूँ।
Begin / Began / Begun,Day 8,Beginner,தொடங்கு / தொடங்கினேன் / தொடங்கியுள்ளேன்,शुरू करना / शुरू किया / शुरू कर चुका,1. Classes begin at 8. // 2. The show began late. // 3. The rain has begun.,1. வகுப்புகள் 8 மணிக்குத் தொடங்குகின்றன. // 2. நிகழ்ச்சி தாமதமாகத் தொடங்கியது. // 3. மழை பெய்யத் தொடங்கியுள்ளது.,1. कक्षाएं 8 बजे शुरू होती हैं। // 2. शो देर से शुरू हुआ। // 3. बारिश शुरू हो चुकी है।
Bring / Brought / Brought,Day 9,Beginner,கொண்டுவா / கொண்டுவந்தேன் / கொண்டுவந்திருக்கிறேன்,लाना / लाया / ला चुका,1. I bring my lunch. // 2. He brought a gift. // 3. I have brought the documents.,1. நான் மதிய உணவைக் கொண்டு வருகிறேன். // 2. அவர் ஒரு பரிசு கொண்டு வந்தார். // 3. நான் ஆவணங்களைக் கொண்டு வந்துள்ளேன்.,1. मैं अपना लंच लाता हूँ। // 2. वह एक उपहार लाया। // 3. मैं दस्तावेज़ ला चुका हूँ।
Sing / Sang / Sung,Day 9,Beginner,பாடு / பாடினேன் / பாடியிருக்கிறேன்,गाना / गाया / गा चुका,1. I sing in the choir. // 2. She sang a song. // 3. We have sung together before.,1. நான் பாடகர் குழுவில் பாடுகிறேன். // 2. அவள் ஒரு பாடல் பாடினாள். // 3. நாங்கள் இதற்கு முன் சேர்ந்து பாடியிருக்கிறோம்.,1. मैं गाना गाता हूँ। // 2. उसने एक गाना गाया। // 3. हम पहले साथ गा चुके हैं।
Sleep / Slept / Slept,Day 9,Beginner,தூங்கு / தூங்கினேன் / தூங்கியுள்ளேன்,सोना / सोया / सो चुका,1. I sleep at 10 PM. // 2. I slept very well. // 3. The baby has slept for hours.,1. நான் இரவு 10 மணிக்குத் தூங்குகிறேன். // 2. நான் நன்றாகத் தூங்கினேன். // 3. குழந்தை பல மணிநேரம் தூங்கியுள்ளது.,1. मैं रात 10 बजे सोता हूँ। // 2. मैं बहुत अच्छी तरह सोया। // 3. बच्चा घंटों सो चुका है।
Take / Took / Taken,Day 9,Beginner,எடு / எடுத்தேன் / எடுத்திருக்கிறேன்,लेना / लिया / ले चुका,1. I take a taxi. // 2. He took my umbrella. // 3. I have taken the medicine.,1. நான் ஒரு டாக்ஸி எடுக்கிறேன். // 2. அவர் என் குடையை எடுத்துக்கொண்டார். // 3. நான் மருந்து எடுத்துக்கொண்டேன்.,1. मैं टैक्सी लेता हूँ। // 2. उसने मेरा छाता ले लिया। // 3. मैं दवा ले चुका हूँ।
Win / Won / Won,Day 9,Beginner,வெல் / வென்றேன் / வென்றிருக்கிறேன்,जीतना / जीता / जीत चुका,1. I win often. // 2. They won the trophy. // 3. He has won the race.,1. நான் அடிக்கடி வெற்றி பெறுகிறேன். // 2. அவர்கள் கோப்பையை வென்றார்கள். // 3. அவர் பந்தயத்தில் வென்றுள்ளார்.,1. मैं अक्सर जीतता हूँ। // 2. उन्होंने ट्रॉफी जीती। // 3. वह दौड़ जीत चुका है।
Catch / Caught / Caught,Day 10,Beginner,பிடி / பிடித்தேன் / பிடித்திருக்கிறேன்,पकड़ना / पकड़ा / पकड़ चुका,1. I catch the ball. // 2. He caught a cold. // 3. The police have caught the thief.,1. நான் பந்தைப் பிடிக்கிறேன். // 2. அவருக்கு ஜலதோஷம் பிடித்தது. // 3. போலீசார் திருடனைப் பிடித்துள்ளனர்.,1. मैं गेंद पकड़ता हूँ। // 2. उसे जुकाम हो गया। // 3. पुलिस चोर को पकड़ चुकी है।
Fly / Flew / Flown,Day 10,Beginner,பற / பறந்தேன் / பறந்திருக்கிறேன்,उड़ना / उड़ा / उड़ चुका,1. Birds fly high. // 2. An airplane flew over. // 3. I have flown many times.,1. பறவைகள் உயரமாகப் பறக்கின்றன. // 2. ஒரு விமானம் மேலே பறந்தது. // 3. நான் பலமுறை விமானத்தில் பறந்துள்ளேன்.,1. पक्षी ऊँचा उड़ते हैं। // 2. एक हवाई जहाज ऊपर से उड़ा। // 3. मैं कई बार उड़ान भर चुका हूँ।
Forget / Forgot / Forgotten,Day 10,Beginner,மற / மறந்தேன் / மறந்திருக்கிறேன்,भूलना / भूला / भूल चुका,1. I forget names easily. // 2. I forgot my wallet. // 3. I have forgotten the password.,1. நான் பெயர்களை எளிதில் மறக்கிறேன். // 2. நான் என் பணப்பையை மறந்தேன். // 3. நான் கடவுச்சொல்லை மறந்துவிட்டேன்.,1. मैं नाम आसानी से भूल जाता हूँ। // 2. मैं अपना बटुआ भूल गया। // 3. मैं पासवर्ड भूल चुका हूँ।
Think / Thought / Thought,Day 10,Beginner,நினை / நினைத்தேன் / நினைத்திருக்கிறேன்,सोचना / सोचा / सोच चुका,1. I think about the future. // 2. I thought it was true. // 3. I have thought about your offer.,1. நான் எதிர்காலத்தைப் பற்றி யோசிக்கிறேன். // 2. அது உண்மை என்று நினைத்தேன். // 3. உங்கள் சலுகையைப் பற்றி நான் யோசித்துள்ளேன்.,1. मैं भविष्य के बारे में सोचता हूँ। // 2. मुझे लगा कि यह सच था। // 3. मैंने आपके प्रस्ताव के बारे में सोचा है।
Draw / Drew / Drawn,Day 10,Beginner,வரை / வரைந்தேன் / வரைந்திருக்கிறேன்,खींचना / खींचा / खींच चुका,1. I draw a picture. // 2. She drew a map. // 3. He has drawn a beautiful sketch.,1. நான் ஒரு படம் வரைகிறேன். // 2. அவள் ஒரு வரைபடம் வரைந்தாள். // 3. அவர் ஒரு அழகான ஓவியத்தை வரைந்துள்ளார்.,1. मैं एक चित्र बनाता हूँ। // 2. उसने एक नक्शा बनाया। // 3. उसने एक सुंदर चित्र बनाया है।
Ask / Asked / Asked,Day 11,Beginner,கேள் / கேட்டேன் / கேட்டிருக்கிறேன்,पूछना / पूछा / पूछ चुका,1. I ask a question. // 2. He asked for help. // 3. I have asked him already.,1. நான் ஒரு கேள்வி கேட்கிறேன். // 2. அவர் உதவி கேட்டார். // 3. நான் ஏற்கனவே அவரிடம் கேட்டுவிட்டேன்.,1. मैं एक सवाल पूछता हूँ। // 2. उसने मदद मांगी। // 3. मैं उससे पहले ही पूछ चुका हूँ।
Call / Called / Called,Day 11,Beginner,அழை / அழைத்தேன் / அழைத்திருக்கிறேன்,बुलाना / बुलाया / बुला चुका,1. I call my mother. // 2. He called me yesterday. // 3. I have called the doctor.,1. நான் என் தாயை அழைக்கிறேன். // 2. அவர் நேற்று என்னை அழைத்தார். // 3. நான் மருத்துவரை அழைத்துள்ளேன்.,1. मैं अपनी माँ को फोन करता हूँ। // 2. उसने कल मुझे फोन किया था। // 3. मैं डॉक्टर को फोन कर चुका हूँ।
Change / Changed / Changed,Day 11,Beginner,மாற்று / மாற்றினேன் / மாற்றியுள்ளேன்,बदलना / बदला / बदल चुका,1. I change my clothes. // 2. He changed his mind. // 3. The weather has changed.,1. நான் என் ஆடைகளை மாற்றுகிறேன். // 2. அவர் தன் மனதை மாற்றிக் கொண்டார். // 3. வானிலை மாறியுள்ளது.,1. मैं अपने कपड़े बदलता हूँ। // 2. उसने अपना मन बदल लिया। // 3. मौसम बदल गया है।
