Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
11,Day 3,Harbinger,Noun,Intermediate,முன்னோடி,अग्रदूत (Agradoot),The robin is a harbinger of spring.,ராபின் வசந்த காலத்தின் முன்னோடி.,रॉबिन वसंत का अग्रदूत है।,"Herald, Indicator, Signal",முன்னோடி / அறிகுறி
12,Day 3,Hegemony,Noun,Intermediate,தலைமை,प्रभुत्व (Prabhutva),The nation seeks regional hegemony.,அந்த நாடு பிராந்திய தலைமையை தேடுகிறது.,राष्ट्र क्षेत्रीय प्रभुत्व चाहता है।,"Leadership, Dominance, Control",ஆதிக்கம்
13,Day 3,Heuristic,Adjective,Intermediate,சுயமாகக் கண்டறியும்,अनुमानी (Anumaani),We used a heuristic approach to solve it.,அதைத் தீர்க்க நாங்கள் ஒரு சுயமாகக் கண்டறியும் அணுகுமுறையைப் பயன்படுத்தினோம்.,हमने इसे हल करने के लिए एक अनुमानी दृष्टिकोण का इस्तेमाल किया।,"Practical, Hands-on, Empirical",அனுபவம் சார்ந்த
14,Day 3,Hiatus,Noun,Intermediate,இடைவேளை,अंतराल (Antaraal),The band took a two-year hiatus.,இசைக்குழு இரண்டு வருட இடைவெளி எடுத்துக் கொண்டது.,बैंड ने दो साल का अंतराल लिया।,"Pause, Break, Gap",இடைவேளை / இடைவெளி
15,Day 3,Hubris,Noun,Intermediate,ஆணவம்,घमंड (Ghamand),His downfall was caused by his hubris.,அவரது வீழ்ச்சி அவரது ஆணவத்தால் ஏற்பட்டது.,उनकी हार उनके घमंड के कारण हुई।,"Arrogance, Pride, Conceit",அகங்காரம்
16,Day 4,Humble,Adjective,Intermediate,பணிவான,विनम्र (Vinamra),"Despite his success, he remained humble.","அவரது வெற்றி இருந்தபோதிலும், அவர் பணிவாக இருந்தார்.","अपनी सफलता के बावजूद, वह विनम्र रहे।","Modest, Lowly, Meek",அடக்கமான
17,Day 4,Imbibe,Verb,Intermediate,உறிஞ்சு / உள்வாங்கு,सोखना (Sokhna),He tried to imbibe the new knowledge.,அவர் புதிய அறிவை உள்வாங்க முயன்றார்.,उन्होंने नए ज्ञान को सोखने की कोशिश की।,"Drink, Consume, Absorb",உட்கொள்ளுதல்
18,Day 4,Imminent,Adjective,Intermediate,உடனடியான,आसन्न (Aasann),The storm is imminent.,புயல் உடனடியாக வரவிருக்கிறது.,तूफान आसन्न है।,"Impending, Approaching, Looming",நெருங்கி வருகிற
19,Day 4,Impassive,Adjective,Intermediate,உணர்ச்சியற்ற,भावहीन (Bhaavheen),He remained impassive despite the news.,செய்தி இருந்தபோதிலும் அவர் உணர்ச்சியற்றவராக இருந்தார்.,खबर के बावजूद वह भावहीन रहे।,"Expressionless, Calm",உணர்ச்சியற்ற
20,Day 4,Impetuous,Adjective,Intermediate,அவசரமான,जल्दबाज (Jaldbaz),He regretted his impetuous decision.,அவர் தனது அவசரமான முடிவுக்கு வருந்தினார்.,उन्हें अपने जल्दबाज फैसले पर पछतावा हुआ।,"Impulsive, Rash, Hasty",அவசரமான / முன்கோபமுள்ள
21,Day 5,Inchoate,Adjective,Intermediate,முழுமையற்ற,अपूर्ण (Apurna),The plan was still inchoate.,திட்டம் இன்னும் முழுமையற்றதாக இருந்தது.,योजना अभी भी अपूर्ण थी।,"Developing, Beginning, Nascent",ஆரம்ப நிலையில் உள்ள
22,Day 5,Inherent,Adjective,Intermediate,உள்ளார்ந்த,अंतर्निहित [Antarnihit],The desire for knowledge is inherent in humans.,அறிவுக்கான ஆசை மனிதர்களிடம் உள்ளார்ந்தது.,ज्ञान की इच्छा मनुष्यों में अंतर्निहित है।,"Intrinsic, Innate, Essential",இயற்கை
23,Day 5,Innovate,Verb,Intermediate,புதுமைப்படுத்து,नवाचार करना (Navaachaar Karna),Companies must innovate to survive.,நிறுவனங்கள் வாழ புதுமைப்படுத்த வேண்டும்.,कंपनियों को जीवित रहने के लिए नवाचार करना चाहिए।,"Invent, Create, Modernize",புதுமைப்படுத்து
24,Day 5,Insipid,Adjective,Intermediate,சுவையற்ற,बेस्वाद [Besvaad],The soup was bland and insipid.,சூப் மந்தமாகவும் சுவையற்றதாகவும் இருந்தது.,सूप बेस्वाद और फीका था।,"Bland, Dull, Tasteless",சப்பில்லாத
25,Day 5,Intrepid,Adjective,Intermediate,அஞ்சாத,निडर (Nidar),The intrepid explorers reached the pole.,அஞ்சாத ஆராய்ச்சியாளர்கள் துருவத்தை அடைந்தனர்.,निडर खोजकर्ता ध्रुव पर पहुँचे।,"Fearless, Brave, Courageous",அஞ்சாத / துணிச்சலான
26,Day 6,Invective,Noun,Intermediate,வசவு,गाली-गलौज (Gaali-Galauj),He shouted invective at the referee.,அவர் நடுவரைப் பார்த்து வசவு கூச்சலிட்டார்.,उन्होंने रेफरी पर गाली-गलौज चिल्लाया।,"Abuse, Insults, Vitriol",வசைச்சொல்
27,Day 6,Jettison,Verb,Intermediate,தூக்கி எறி,त्यागना (Tyaagna),They had to jettison the heavy load.,அவர்கள் கனமான சுமையை தூக்கி எறிய வேண்டியிருந்தது.,उन्हें भारी भार त्यागना पड़ा।,"Discard, Abandon, Eject",கைவிடுதல்
28,Day 6,Jingoism,Noun,Intermediate,தீவிர நாட்டுப்பற்று,अंधराष्ट्रीयता (Andhrashtriyata),His speech was full of aggressive jingoism.,அவரது பேச்சு தீவிர நாட்டுப்பற்றால் நிறைந்தது.,उनका भाषण आक्रामक अंधराष्ट्रीयता से भरा था।,"Nationalism, Patriotism",தீவிர தேசபற்று
29,Day 6,Jocular,Adjective,Intermediate,கேலியான,हँसमुख (Hansmukh),He was in a jocular mood.,அவர் ஒரு கேலியான மனநிலையில் இருந்தார்.,वह हँसमुख मूड में थे।,"Humorous, Funny, Witty",நகைச்சுவையான
30,Day 6,Jocund,Adjective,Intermediate,மகிழ்ச்சியான,हँसमुख (Hansmukh),They spent a jocund evening together.,அவர்கள் ஒன்றாக ஒரு மகிழ்ச்சியான மாலைப் பொழுதைக் கழித்தனர்.,उन्होंने एक साथ एक हँसमुख शाम बिताई।,"Cheerful, Lighthearted, Merry",மகிழ்ச்சியான
31,Day 7,Jubilee,Noun,Intermediate,பொன் விழா,जयंती (Jayanti),The Queen celebrated her Silver Jubilee.,ராணி தனது வெள்ளி பொன் விழாவைக் கொண்டாடினார்.,रानी ने अपनी रजत जयंती मनाई।,"Celebration, Anniversary",பொன்விழா / கொண்டாட்டம்
32,Day 7,Juxtapose,Verb,Intermediate,அருகருகே வை,पास-पास रखना [Paas-Paas Rakhna],The painting juxtaposed old and new styles.,ஓவியம் பழைய மற்றும் புதிய பாணிகளை அருகருகே வைத்தது.,पेंटिंग ने पुरानी और नई शैलियों को पास-पास रखा।,"Contrast, Compare, Place side by side",ஒப்பிடு
33,Day 7,Kindred,Adjective,Intermediate,ஒத்த / தொடர்புடைய,समान (Samaan),They shared a kindred spirit.,அவர்கள் ஒரு ஒத்த உணர்வைப் பகிர்ந்து கொண்டனர்.,उन्होंने एक समान भावना साझा की।,"Related, Similar, Akin",உறவினர்கள் / ஒரே போன்ற
34,Day 7,Kismet,Noun,Intermediate,தலைவிதி,भाग्य (Bhaagya),It must have been kismet that they met.,அவர்கள் சந்தித்தது தலைவிதியாக இருந்திருக்க வேண்டும்.,उनका मिलना भाग्य में रहा होगा।,"Fate, Destiny, Fortune",தலைவிதி
35,Day 7,Knack,Noun,Intermediate,திறமை,हुनर (Hunar),She has a knack for gardening.,அவளுக்குத் தோட்டக்கலையில் ஒரு திறமை உள்ளது.,उसके पास बागवानी का हुनर है।,"Talent, Skill, Ability",சாமர்த்தியம்
36,Day 8,Knell,Noun,Intermediate,முடிவின் அறிகுறி,अंत का संकेत (Ant Ka Sanket),The defeat was the knell of his career.,அந்த தோல்வி அவரது வாழ்க்கையின் முடிவின் அறிகுறியாக இருந்தது.,हार उनके करियर के अंत का संकेत थी।,"Toll, Ring, Chime",சாவு மணி
37,Day 8,Kowtow,Verb,Intermediate,அடிபணி,झुकना (Jhukna),He refused to kowtow to the management.,அவர் நிர்வாகத்திற்கு அடிபணிய மறுத்துவிட்டார்.,उन्होंने प्रबंधन के सामने झुकने से इनकार कर दिया।,"Grovel, Bow, Subservience",அடிபணிதல்
38,Day 8,Kudos,Noun,Intermediate,பாராட்டு,प्रशंसा (Prashansa),Kudos to the team for their hard work.,அவர்களின் கடின உழைப்புக்கு குழுவுக்கு பாராட்டு.,उनकी कड़ी मेहनत के लिए टीम को प्रशंसा।,"Praise, Glory, Honor",புகழ் / பாராட்டு
39,Day 8,Labyrinth,Noun,Intermediate,சிக்கலான பாதை,भूलभुलैया (Bhoolbhulaiya),We got lost in the labyrinth of streets.,நாங்கள் தெருக்களின் சிக்கலான பாதையில் தொலைந்து போனோம்.,हम सड़कों की भूलभुलैया में खो गए।,"Maze, Network, Web",சிக்கலான பாதை
40,Day 8,Laconic,Adjective,Intermediate,சுருக்கமான,संक्षिप्त (Sankshipt),He gave a laconic reply.,அவர் ஒரு சுருக்கமான பதிலை அளித்தார்.,उन्होंने एक संक्षिप्त जवाब दिया।,"Brief, Concise, Terse",சுருக்கமான
41,Day 9,Lament,Verb,Intermediate,வருந்து,शोक करना (Shok Karna),She began to lament the lost opportunity.,இழந்த வாய்ப்பிற்காக அவள் வருந்த ஆரம்பித்தாள்.,वह खोए हुए अवसर पर शोक करना शुरू कर दिया।,"Mourn, Grieve, Bemoan",புலம்புதல் / வருந்துதல்
42,Day 9,Languid,Adjective,Intermediate,மந்தமான,आलसी (Aalasi),A languid afternoon nap was refreshing.,ஒரு மந்தமான மதிய உறக்கம் புத்துணர்ச்சி அளித்தது.,एक आलसी दोपहर की झपकी ताजगी भरी थी।,"Weak, Faint, Sluggish",சோர்வான
43,Day 9,Languish,Verb,Intermediate,நலிவடை,कमजोर पड़ना (Kamzor Padna),The plants will languish without water.,தண்ணீர் இல்லாமல் செடிகள் நலிவடையும்.,पानी के बिना पौधे कमजोर पड़ जाएंगे।,"Weaken, Deteriorate, Decline",நலிவடைதல்
44,Day 9,Lethargic,Adjective,Intermediate,சோம்பலான,सुस्त (Sust),He felt lethargic after the meal.,உணவுக்குப் பிறகு அவர் சோம்பலாக உணர்ந்தார்.,भोजन के बाद उन्होंने सुस्त महसूस किया।,"Sluggish, Lazy, Inactive",மந்தமான
45,Day 9,Lithe,Adjective,Intermediate,வளைந்து கொடுக்கும்,लचीला (Lacheela),The dancer was incredibly lithe.,நடனக் கலைஞர் நம்பமுடியாத அளவிற்கு வளைந்து கொடுக்கும் தன்மையுடையவர்.,नर्तकी अविश्वसनीय रूप से लचीली थी।,"Flexible, Supple, Agile",நெகிழ்வான
46,Day 10,Lurid,Adjective,Intermediate,அதிர்ச்சி தரும்,भयावह (Bhayaavah),The newspaper printed lurid details.,செய்தித்தாள் அதிர்ச்சி தரும் விவரங்களை வெளியிட்டது.,अखबार ने भयावह विवरण प्रकाशित किए।,"Shocking, Sensational, Vivid",திடுக்கிட வைக்கும்
47,Day 10,Maelstrom,Noun,Intermediate,கொந்தளிப்பான நிலை,भंवर (Bhanvar),He was caught in a maelstrom of controversy.,அவர் சர்ச்சையின் கொந்தளிப்பான நிலையில் சிக்கினார்.,वह विवादों के भंवर में फंस गया था।,"Whirlpool, Turmoil, Chaos",பெரும் கொந்தளிப்பு
48,Day 10,Malinger,Verb,Intermediate,நோய்வாய்ப்பட்டதாக பாசாங்கு செய்,बीमारी का बहाना करना (Bimaari Ka Bahaana Karna),The employee tried to malinger.,ஊழியர் நோய்வாய்ப்பட்டதாக பாசாங்கு செய்ய முயன்றார்.,कर्मचारी ने बीमारी का बहाना करने की कोशिश की।,"Shirk, Fake illness",வேலையைத் தவிர்க்க
49,Day 10,Miasma,Noun,Intermediate,துர்நாற்றம் / மோசமான சூழல்,दुर्गंध (Durgandh),The office was filled with a miasma of suspicion.,அலுவலகம் சந்தேகத்தின் மோசமான சூழலால் நிரப்பப்பட்டது.,कार्यालय संदेह की दुर्गंध से भरा हुआ था।,"Cloud, Mist, Odor",நச்சுப்புகை
50,Day 10,Mitigate,Verb,Intermediate,தணி,कम करना (Kam Karna),We need to mitigate the risks.,நாம் ஆபத்துக்களை தணிக்க வேண்டும்.,हमें जोखिमों को कम करने की जरूरत है।,"Alleviate, Reduce, Lessen",தணித்தல்
51,Day 11,Nascent,Adjective,Intermediate,வளரும்,नवजात (Navjaat),The nascent industry shows promise.,இந்த வளரும் தொழில் நம்பிக்கை அளிக்கிறது.,नवजात उद्योग आशाजनक है।,"Emerging, Developing, Budding",உருவாகி வருகிற
52,Day 11,Nefarious,Adjective,Intermediate,தீய,कुटिल (Kutil),They uncovered a ** nefarious** plot.,அவர்கள் ஒரு தீய சதித்திட்டத்தைக் கண்டுபிடித்தனர்.,उन्होंने एक कुटिल साजिश का पर्दाफाश किया।,"Wicked, Evil, Villainous",கொடிய / தீய
53,Day 11,Nihilism,Noun,Intermediate,சூனியவாதம்,शून्यवाद (Shunyavaad),His philosophy bordered on nihilism.,அவரது தத்துவம் சூனியவாதத்தின் விளிம்பில் இருந்தது.,उनका दर्शन शून्यवाद की सीमा पर था।,"Skepticism, Negativism",சூனியவாதம்
54,Day 11,Nostalgia,Noun,Intermediate,கடந்தகால ஏக்கம்,पुरानी यादें (Puraani Yaadein),The song filled me with nostalgia.,அந்தப் பாடல் எனக்குள் கடந்தகால ஏக்கத்தை நிரப்பியது.,उस गाने ने मुझे पुरानी यादों से भर दिया।,"Reminiscence, Longing",கடந்த கால நினைவு
55,Day 11,Novel,Adjective,Intermediate,புதிய,नया (Naya),That's a novel approach.,அது ஒரு புதிய அணுகுமுறை.,वह एक नया दृष्टिकोण है।,"New, Original, Innovative",புதிய
56,Day 12,Noxious,Adjective,Intermediate,நச்சுத்தன்மையுள்ள,हानिकारक (Haanikaarak),Avoid inhaling the noxious fumes.,நச்சுத்தன்மையுள்ள புகையை சுவாசிப்பதைத் தவிர்க்கவும்.,हानिकारक धुएं को सूंघने से बचें।,"Harmful, Toxic, Poisonous",நச்சுத்தன்மையுள்ள
57,Day 12,Nugatory,Adjective,Intermediate,முக்கியமற்ற,महत्वहीन (Mahatvaheen),His advice proved to be nugatory.,அவரது ஆலோசனை முக்கியமற்றதாக நிரூபிக்கப்பட்டது.,उनकी सलाह महत्वहीन साबित हुई।,"Worthless, Useless, Vain",மதிப்பற்ற / பயனற்ற
58,Day 12,Obdurate,Adjective,Intermediate,பிடிவாதமான,जिद्दी (Ziddi),The child remained obdurate.,குழந்தை பிடிவாதமாக இருந்தது.,बच्चा जिद्दी बना रहा।,"Stubborn, Obstinate, Unyielding",பிடிவாதமான
59,Day 12,Obfuscate,Verb,Intermediate,குழப்பு,अस्पष्ट करना (Aspasht Karna),He tried to obfuscate the truth.,அவர் உண்மையை குழப்ப முயன்றார்.,उन्होंने सच्चाई को अस्पष्ट करने की कोशिश की।,"Confuse, Blur, Muddle",குழப்புதல்
60,Day 12,Obscure,Adjective,Intermediate,தெளிவற்ற,अस्पष्ट (Aspasht),His motives remain obscure.,அவரது நோக்கங்கள் தெளிவற்றதாக இருக்கின்றன.,उनके इरादे अस्पष्ट बने हुए हैं।,"Unclear, Hidden, Unknown",மங்கலான
61,Day 13,Obviate,Verb,Intermediate,தவிர்ப்பதற்கு,टालना [Taalna],The new policy obviated the need for long meetings.,புதிய கொள்கை நீண்ட கூட்டங்களின் தேவையை தவிர்ப்பதற்கு உதவியது.,नई नीति ने लंबी बैठकों की आवश्यकता को टाल दिया।,"Preclude, Prevent, Avoid",விலக்குதல்
62,Day 13,Onerous,Adjective,Intermediate,கடினமான / பாரமான,भारी (Bhaari),He took on the onerous task.,அவர் அந்த கடினமான பணியை மேற்கொண்டார்.,उन्होंने भारी काम संभाला।,"Burdensome, Heavy, Hard",கடினமான / சுமையான
63,Day 13,Opulence,Noun,Intermediate,செல்வம்,धन-संपत्ति (Dhan-Sampatti),The palace reflected great opulence.,அரண்மனை பெரும் செல்வத்தைப் பிரதிபலித்தது.,महल ने महान धन-संपत्ति को दर्शाया।,"Wealth, Luxury, Abundance",செல்வச் செழிப்பு
64,Day 13,Ossify,Verb,Intermediate,நிலைப்படுத்து / எலும்பாக மாற்று,कठोर बनाना (Kathor Banaana),Old ideas can ossify thinking.,பழைய யோசனைகள் சிந்தனையை நிலைப்படுத்த முடியும்.,पुराने विचार सोच को कठोर बना सकते हैं।,"Harden, Rigidify, Stiffen",எலும்பாக மாறு / இறுகுதல்
65,Day 13,Overt,Adjective,Intermediate,வெளிப்படையான,खुला (Khula),The threat was overt and clear.,அச்சுறுத்தல் வெளிப்படையானதாகவும் தெளிவாகவும் இருந்தது.,धमकी खुली और स्पष्ट थी।,"Obvious, Clear, Apparent",பகிரங்கமான
66,Day 14,Paltry,Adjective,Intermediate,அற்பமான,तुच्छ [Tuchchh],He was only paid a paltry sum for his work.,அவரது வேலைக்கு அவருக்கு அற்பமான தொகை மட்டுமே வழங்கப்பட்டது.,उनके काम के लिए उन्हें केवल एक तुच्छ राशि का भुगतान किया गया।,"Small, Meager, Insignificant",மிக சிறிய
67,Day 14,Paradox,Noun,Intermediate,முரண்பாடு,विरोधाभास (Virodhabhaas),It's a strange paradox.,இது ஒரு விசித்திரமான முரண்பாடு.,यह एक अजीब विरोधाभास है।,"Contradiction, Inconsistency, Puzzle",முரண்பாடு
68,Day 14,Paragon,Noun,Intermediate,சிறந்த உதாரணம்,आदर्श (Aadarsh),He is a paragon of virtue.,அவர் நற்பண்புக்கு ஒரு சிறந்த உதாரணம்.,वह सद्गुण का आदर्श है।,"Model, Ideal, Pattern",முன்மாதிரி
69,Day 14,Paucity,Noun,Intermediate,பற்றாக்குறை,कमी (Kami),There is a paucity of evidence.,ஆதாரங்களின் பற்றாக்குறை உள்ளது.,सबूतों की कमी है।,"Scarcity, Lack, Dearth",பற்றாக்குறை
70,Day 14,Pauper,Noun,Intermediate,ஏழை,कंगाल (Kangaal),He died a pauper.,அவர் ஒரு ஏழையாக இறந்தார்.,वह एक कंगाल के रूप में मर गए।,"Beggar, Indigent",பராரி / ஏழை
71,Day 15,Pellucid,Adjective,Intermediate,மிகவும் தெளிவான,पारदर्शी (Paardarshi),The water was crystal-clear and pellucid.,தண்ணீர் பளிங்கு போல் மிகவும் தெளிவாக இருந்தது.,पानी क्रिस्टल-साफ़ और पारदर्शी था।,"Clear, Transparent, Lucid",தெளிவான
72,Day 15,Pensive,Adjective,Intermediate,சிந்தனைமிகுந்த,विचारशील [Vichaarasheel],"He looked pensive, staring out the window.",அவர் சன்னலை வெறித்துப் பார்த்தபடி சிந்தனைமிகுந்தவராகத் தெரிந்தார்.,वह खिड़की से बाहर देखते हुए विचारशील लग रहे थे।,"Thoughtful, Reflective, Contemplative",சிந்தனைமிகுந்த
73,Day 15,Pervade,Verb,Intermediate,பரவி இரு,व्याप्त होना (Vyaapt Hona),A sense of calm began to pervade the room.,அமைதி உணர்வு அறையில் பரவி இருக்கத் தொடங்கியது.,कमरे में शांति की भावना व्याप्त होने लगी।,"Spread, Permeate, Fill",பரவுதல்
74,Day 15,Pervasive,Adjective,Intermediate,பரவலான,व्यापक (Vyaapak),Corruption is pervasive.,ஊழல் பரவலாக உள்ளது.,भ्रष्टाचार व्यापक है।,"Widespread, Extensive, General",பரவலான
75,Day 15,Pinnacle,Noun,Intermediate,உச்சம்,शिखर (Shikhar),He reached the pinnacle of his career.,அவர் தனது தொழிலின் உச்சத்தை அடைந்தார்.,उन्होंने अपने करियर के शिखर को छुआ।,"Peak, Summit, Apex",உச்சி / சிகரம்
76,Day 16,Quagmire,Noun,Intermediate,சிக்கலான நிலை,दलदल (Daldal),The project turned into a political quagmire.,இந்தத் திட்டம் ஒரு அரசியல் சிக்கலான நிலையை அடைந்தது.,यह परियोजना एक राजनीतिक दलदल में बदल गई।,"Swamp, Morass, Muddle",இக்கட்டான நிலை
77,Day 16,Quell,Verb,Intermediate,அடக்கு,दबाना (Dabaana),The police tried to quell the riot.,கலவரத்தை அடக்க காவல்துறை முயற்சித்தது.,पुलिस ने दंगे को दबाने की कोशिश की।,"Suppress, Extinguish, Subdue",அடக்குதல்
78,Day 16,Quiescent,Adjective,Intermediate,செயலற்ற,निष्क्रिय (Nishkriya),The volcano remained quiescent.,எரிமலை செயலற்றதாக இருந்தது.,ज्वालामुखी निष्क्रिय रहा।,"Inactive, Quiet, Dormant",அமைதியான / செயலற்ற
79,Day 16,Quip,Noun,Intermediate,நகைச்சுவைப் பேச்சு,मज़ाकिया बात (Mazaakiya Baat),He delivered a witty quip.,அவர் ஒரு புத்திசாலித்தனமான நகைச்சுவைப் பேச்சை வழங்கினார்.,उन्होंने एक मजाकिया मज़ाकिया बात कही।,"Joke, Witty remark, Jest",நையாண்டி
80,Day 16,Quixotic,Adjective,Intermediate,நடைமுறை சாத்தியமற்ற,अव्यावहारिक (Avyavahaarik),His plan was utterly quixotic.,அவரது திட்டம் முற்றிலும் நடைமுறை சாத்தியமற்றது.,उनकी योजना पूरी तरह से अव्यावहारिक थी।,"Idealistic, Unrealistic, Impractical",நடைமுறைக்கு ஒவ்வாத
81,Day 17,Quotidian,Adjective,Intermediate,அன்றாட,रोज़मर्रा का (Rozmarra Ka),Cleaning is a quotidian chore.,சுத்தம் செய்வது ஒரு அன்றாட வேலை.,सफाई एक रोज़मर्रा का काम है।,"Daily, Everyday, Ordinary",அன்றாட
82,Day 17,Rampant,Adjective,Intermediate,கட்டுக்கடங்காத,अनियंत्रित (Aniyantrit),Corruption is rampant in the system.,அமைப்பில் ஊழல் கட்டுக்கடங்காததாக உள்ளது.,सिस्टम में भ्रष्टाचार अनियंत्रित है।,"Uncontrolled, Widespread",கட்டுப்பாடற்ற / பரவலான
83,Day 17,Redundant,Adjective,Intermediate,தேவையற்ற,अनावश्यक (Anaavashyak),That step is completely redundant.,அந்த படி முற்றிலும் தேவையற்றது.,वह कदम पूरी तरह से अनावश्यक है।,"Unnecessary, Extra, Excess",தேவையற்ற
84,Day 17,Rend,Verb,Intermediate,கிழி,फाड़ना (Phaadna),The paper began to rend easily.,காகிதம் எளிதில் கிழிக்க ஆரம்பித்தது.,कागज आसानी से फाड़ना शुरू हो गया।,"Tear, Split, Rip",கிழித்தல்
85,Day 17,Repudiate,Verb,Intermediate,மறுத்து ஒதுக்கு,अस्वीकार करना (Asweekaar Karna),He chose to repudiate the allegations.,அவர் குற்றச்சாட்டுகளை மறுத்து ஒதுக்கத் தேர்ந்தெடுத்தார்.,उन्होंने आरोपों को अस्वीकार करने का फैसला किया।,"Reject, Deny, Disown",நிராகரித்தல்
86,Day 18,Reticent,Adjective,Intermediate,அமைதியான,अल्पभाषी (Alpbhaashi),He was reticent about his past.,அவர் தனது கடந்த காலத்தைப் பற்றி அமைதியாக இருந்தார்.,वह अपने अतीत के बारे में अल्पभाषी थे।,"Reserved, Quiet, Shy",அமைதியான / பேசத் தயங்கும்
87,Day 18,Ruminate,Verb,Intermediate,சிந்தி,सोचना (Sochna),She needs time to ruminate on the offer.,அந்த சலுகையைப் பற்றி சிந்திக்க அவளுக்கு நேரம் தேவை.,उसे प्रस्ताव पर सोचने के लिए समय चाहिए।,"Ponder, Meditate, Muse",ஆழமாக சிந்தி
88,Day 18,Salient,Adjective,Intermediate,முக்கியமான,मुख्य (Mukhya),The salient points of the report were highlighted.,அறிக்கையின் முக்கியமான புள்ளிகள் எடுத்துக்காட்டப்பட்டன.,रिपोर्ट के मुख्य बिंदुओं पर प्रकाश डाला गया।,"Important, Main, Notable",முக்கியமான
89,Day 18,Serene,Adjective,Intermediate,அமைதியான,शांत (Shaant),The lake was calm and serene.,ஏரி அமைதியாகவும் அமைதியானதாகவும் இருந்தது.,झील शांत और सौम्य थी।,"Calm, Peaceful, Tranquil",அமைதியான
90,Day 18,Skeptical,Adjective,Intermediate,சந்தேகமுள்ள,संशयवादी (Sanshayvaadi),I'm skeptical about his claims.,அவரது கூற்றுக்கள் பற்றி எனக்கு சந்தேகமுள்ளது.,मैं उनके दावों के बारे में संशयवादी हूँ।,"Doubtful, Dubious, Cynical",சந்தேகமுள்ள
91,Day 19,Spurious,Adjective,Intermediate,போலியான,नकली (Nakli),The documents were found to be spurious.,ஆவணங்கள் போலியானவை என்று கண்டறியப்பட்டது.,दस्तावेज़ नकली पाए गए।,"Fake, False, Counterfeit",போலியான
