Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 8,beginner.,Can I use your phone?,நான் உங்கள் போனைப் பயன்படுத்தலாமா? (Naan ungal phone-ai payanpaduthalaama?),क्या मैं आपका फ़ोन इस्तेमाल कर सकता हूँ? (Kya mein aapka phone istemal kar sakta hoon?)
Day 8,beginner.,Where is the shop?,கடை எங்கே இருக்கிறது? (Kadai enge irukkiradhu?),दुकान कहाँ है? (Dukan kahan hai?)
Day 8,beginner.,I need a bag.,எனக்கு ஒரு பை தேவை. (Enakku oru pai thevai.),मुझे एक थैला चाहिए। (Mujhe ek thaila chahiye.)
Day 8,beginner.,Is it open?,இது திறந்திருக்கிறதா? (Idhu thirandhirukkiradha?),क्या यह खुला है? (Kya yeh khula hai?)
Day 9,beginner.,Is it closed?,இது மூடப்பட்டிருக்கிறதா? (Idhu moodappattirukkiradha?),क्या यह बंद है? (Kya yeh band hai?)
Day 9,beginner.,Wait for me.,எனக்காகக் காத்திருங்கள். (Enakkaaga kaathirungal.),मेरा इंतज़ार कीजिये। (Mera intezar kijiye.)
Day 9,beginner.,Come soon.,சீக்கிரம் வாருங்கள். (Seekkiram vaarungal.),जल्दी आइये। (Jaldi aaiye.)
Day 9,beginner.,Don't go there.,அங்கே போகாதீர்கள். (Ange pogaadheergal.),वहाँ मत जाइये। (Wahan mat jaiye.)
Day 9,beginner.,Look here.,இங்கே பாருங்கள். (Inge paarungal.),इधर देखिये। (Idhar dekhiye.)
Day 10,beginner.,Sit here.,இங்கே உட்காருங்கள். (Inge utkaarungal.),यहाँ बैठिये। (Yahan baithiye.)
Day 10,beginner.,I want to buy this.,நான் இதை வாங்க விரும்புகிறேன். (Naan idhai vaanga virumbugiren.),मैं इसे खरीदना चाहता हूँ। (Mein ise khareedna chahta hoon.)
Day 10,beginner.,Tell me the way.,எனக்கு வழி சொல்லுங்கள். (Enakku vazhi sollungal.),मुझे रास्ता बताइये। (Mujhe raasta bataiye.)
Day 10,beginner.,Is there a pharmacy?,மருந்துக் கடை இருக்கிறதா? (Marundhu kadai irukkiradha?),क्या यहाँ कोई मेडिकल स्टोर है? (Kya yahan koi medical store hai?)
Day 10,beginner.,I need help.,எனக்கு உதவி தேவை. (Enakku udhavi thevai.),मुझे मदद की ज़रूरत है। (Mujhe madad ki zaroorat hai.)
Day 11,beginner.,Hello / Greetings,வணக்கம் (Vanakkam),नमस्ते (Namaste)
Day 11,beginner.,Good morning,காலை வணக்கம் (Kaalai vanakkam),शुभ प्रभात (Shubh prabhat)
Day 11,beginner.,Good night,இனிய இரவு (Iniya iravu),शुभ रात्रि (Shubh raatri)
Day 11,beginner.,How are you?,எப்படி இருக்கீங்க? (Eppadi irukkenga?),आप कैसे हैं? (Aap kaise hain?)
Day 11,beginner.,I am fine,நான் நல்லா இருக்கேன் (Naan nalla irukken),मैं ठीक हूँ (Mein theek hoon)
Day 12,beginner.,What is your name?,உங்க பெயர் என்ன? (Unga peyar enna?),आपका नाम क्या है? (Aapka naam kya hai?)
Day 12,beginner.,My name is...,என் பெயர்... (En peyar...),मेरा नाम... है (Mera naam... hai)
Day 12,beginner.,Nice to meet you,உங்களை பார்த்ததுல சந்தோஷம் (Ungala paarthadhula sandhosham),आपसे मिलकर खुशी हुई (Aap se milkar khushi hui)
Day 12,beginner.,Thank you,நன்றி (Nandri),शुक्रिया / धन्यवाद (Shukriya / Dhanyawad)
Day 12,beginner.,You're welcome,வரவேற்கிறோம் (Varaverkirom),आपका स्वागत है (Aapka swagat hai)
Day 13,beginner.,Please,தயவு செய்து (Thayavu seidhu),कृपया (Kripaya)
Day 13,beginner.,Excuse me,கொஞ்சம் கேளுங்க (Konjam kelunga),सुनिये (Suniye)
Day 13,beginner.,Sorry,மன்னிக்கவும் (Mannikkavum),माफ़ कीजिये (Maaf kijiye)
Day 13,beginner.,Yes,ஆமா (Aama),हाँ (Haan)
Day 13,beginner.,No,இல்லை (Illai),नहीं (Nahi)
Day 14,beginner.,Maybe,ஒருவேளை (Oruvelai),शायद (Shayad)
Day 14,beginner.,I understand,புரியுது (Puriyudhu),मैं समझ गया (Mein samajh gaya)
Day 14,beginner.,I don't understand,புரியல (Puriyala),मुझे समझ नहीं आया (Mujhe samajh nahi aaya)
Day 14,beginner.,Do you speak English?,உங்களுக்கு இங்கிலீஷ் தெரியுமா? (Ungalukku English theriyuma?),क्या आप अंग्रेज़ी बोलते हैं? (Kya aap angrezi bolte hain?)
Day 14,beginner.,A little bit,கொஞ்சம் (Konjam),थोड़ा सा (Thoda sa)
Day 15,beginner.,Who is it?,யாரு அது? (Yaaru adhu?),कौन है? (Kaun hai?)
Day 15,beginner.,What is this?,இது என்ன? (Idhu enna?),यह क्या है? (Yeh kya hai?)
Day 15,beginner.,Where are you from?,நீங்க எங்கிருந்து வர்றீங்க? (Neenga engirundhu varreenga?),आप कहाँ से हैं? (Aap kahan se hain?)
Day 15,beginner.,I am from India,நான் இந்தியாவிலிருந்து வர்றேன் (Naan India-vil irundhu varren),मैं भारत से हूँ (Mein Bharat se hoon)
Day 15,beginner.,How old are you?,உங்க வயசு என்ன? (Unga vayasu enna?),आपकी उम्र क्या है? (Aapki umar kya hai?)
Day 16,beginner.,I am happy,நான் சந்தோஷமா இருக்கேன் (Naan sandhosham-aa irukken),मैं खुश हूँ (Mein khush hoon)
Day 16,beginner.,See you later,அப்புறம் பார்க்கலாம் (Apparam paarkalam),फिर मिलेंगे (Phir milenge)
Day 16,beginner.,Goodbye,போயிட்டு வரேன் (Poittu varen),अलविदा (Alvida)
Day 16,beginner.,Take care,உடம்பை பார்த்துக்கோங்க (Udamba paathukkonga),अपना ख्याल रखना (Apna khayal rakhna)
Day 16,beginner.,Long time no see,பார்த்து ரொம்ப நாள் ஆச்சு (Paarthu romba naal aachu),बहुत दिनों बाद मिले (Bahut dino baad mile)
Day 17,beginner.,What's up?,என்ன விஷயம்? (Enna vishayam?),क्या चल रहा है? (Kya chal raha hai?)
Day 17,beginner.,Everything is good,எல்லாம் நல்லா இருக்கு (Ellam nalla irukku),सब ठीक है (Sab theek hai)
Day 17,beginner.,Are you busy?,நீங்க பிஸியா இருக்கீங்களா? (Neenga busy-aa irukkeengala?),क्या आप व्यस्त हैं? (Kya aap vyast hain?)
Day 17,beginner.,I am free,நான் ஃப்ரீயா தான் இருக்கேன் (Naan free-aa thaan irukken),मैं खाली हूँ (Mein khaali hoon)
Day 17,beginner.,Help me,எனக்கு உதவி செய்யுங்க (Enakku udhavi seiyunga),मेरी मदद कीजिये (Meri madad kijiye)
Day 18,beginner.,Of course,கண்டிப்பா (Kandippa),बिल्कुल (Bilkul)
Day 18,beginner.,No problem,ஒரு பிரச்சினையும் இல்லை (Oru pirachanaiyum illai),कोई बात नहीं (Koi baat nahi)
Day 18,beginner.,God bless you,கடவுள் உங்களை ஆசீர்வதிக்கட்டும் (Kadavul ungalai aasirvadhikkattum),भगवान आपका भला करे (Bhagwan aapka bhala kare)
Day 18,beginner.,Happy Birthday,பிறந்தநாள் வாழ்த்துக்கள் (Pirandhanaal vaazhthukkal),जन्मदिन की शुभकामनाएं (Janamdin ki shubhkamnaye)
Day 18,beginner.,Good luck,நல்வாழ்த்துக்கள் (Nalvaazhthukkal),शुभकामनाएँ (Shubhkaamnaye)
Day 19,beginner.,I forgot,நான் மறந்துட்டேன் (Naan marandhuten),मैं भूल गया (Mein bhool gaya)
Day 19,beginner.,Don't worry,கவலைப்படாதீங்க (Kavalaipadadheenga),चिंता मत करो (Chinta mat karo)
Day 19,beginner.,I like it,எனக்கு இது பிடிச்சிருக்கு (Enakku idhu pidichirukku),मुझे यह पसंद है (Mujhe yeh pasand hai)
Day 19,beginner.,I don't like it,எனக்கு இது பிடிக்கல (Enakku idhu pidikkala),मुझे यह पसंद नहीं है (Mujhe yeh pasand nahi hai)
Day 19,beginner.,Are you sure?,நிச்சயமா? (Nichayamaa?),क्या आपको यकीन है? (Kya aapko yakeen hai?)
Day 20,beginner.,Sit down,உட்காருங்க (Utkaarungal),बैठ जाइये (Baith jaiye)
Day 20,beginner.,Stand up,எழுந்திருங்க (Ezhundhirunga),खड़े हो जाइये (Khade ho jaiye)
Day 20,beginner.,Listen to me,நான் சொல்றத கேளுங்க (Naan solradha kelunga),मेरी बात सुनिए (Meri baat suniye)
Day 20,beginner.,Speak slowly,மெதுவா பேசுங்க (Medhuvaa pesunga),धीरे बोलिए (Dheere boliye)
Day 20,beginner.,Come in,உள்ள வாங்க (Ulla vaanga),अंदर आइये (Andar aaiye)
Day 21,beginner.,I woke up early.,நான் சீக்கிரம் எழுந்தேன். (Naan seekkiram ezhundhen.),मैं जल्दी उठ गया। (Mein jaldi uth gaya.)
Day 21,beginner.,I am brushing my teeth.,நான் பல் துலக்குகிறேன். (Naan pal thulakkugiren.),मैं ब्रश कर रहा हूँ। (Mein brush kar raha hoon.)
Day 21,beginner.,I am going to bathe.,நான் குளிக்கப் போகிறேன். (Naan kulikka pogiren.),मैं नहाने जा रहा हूँ। (Mein nahane ja raha hoon.)
Day 21,beginner.,I am hungry.,எனக்குப் பசிக்கிறது. (Enakku pasikkiradhu.),मुझे भूख लगी है। (Mujhe bhook lagi hai.)
Day 21,beginner.,What is for breakfast?,காலை உணவு என்ன? (Kaalai unavu enna?),नाश्ते में क्या है? (Nashte mein kya hai?)
Day 22,beginner.,I am eating breakfast.,நான் காலை உணவு சாப்பிடுகிறேன். (Naan kaalai unavu saappidugiren.),मैं नाश्ता कर रहा हूँ। (Mein nashta kar raha hoon.)
Day 22,beginner.,The food is tasty.,உணவு ருசியாக இருக்கிறது. (Unavu rusiyaaga irukkiradhu.),खाना स्वादिष्ट है। (Khana swadisht hai.)
Day 22,beginner.,I want coffee.,எனக்கு காபி வேண்டும். (Enakku coffee vendum.),मुझे कॉफ़ी चाहिए। (Mujhe coffee chahiye.)
Day 22,beginner.,I am getting ready.,நான் தயாராகிக் கொண்டிருக்கிறேன். (Naan thayaraagi kondirukkiren.),मैं तैयार हो रहा हूँ। (Mein taiyar ho raha hoon.)
Day 22,beginner.,Where are my clothes?,என் துணிகள் எங்கே? (En thunigal enge?),मेरे कपड़े कहाँ हैं? (Mere kapde kahan hain?)
Day 23,beginner.,I am going to work.,நான் வேலைக்குச் செல்கிறேன். (Naan velaikku selgiren.),मैं काम पर जा रहा हूँ। (Mein kaam par ja raha hoon.)
Day 23,beginner.,I am going to school.,நான் பள்ளிக்குச் செல்கிறேன். (Naan pallikku selgiren.),मैं स्कूल जा रहा हूँ। (Mein school ja raha hoon.)
Day 23,beginner.,I am late.,எனக்கு நேரமாகிவிட்டது. (Enakku neramaagivittadhu.),मुझे देर हो गई है। (Mujhe der ho gayi hai.)
Day 23,beginner.,Drive carefully.,கவனமாக ஓட்டுங்கள். (Gavanamaga oottungal.),ध्यान से गाड़ी चलाएं। (Dhyan se gaadi chalayein.)
Day 23,beginner.,I am at the office.,நான் அலுவலகத்தில் இருக்கிறேன். (Naan aluvalagathil irukkiren.),मैं ऑफिस में हूँ। (Mein office mein hoon.)
Day 24,beginner.,I have a lot of work.,எனக்கு நிறைய வேலை இருக்கிறது. (Enakku niraiya velai irukkiradhu.),मुझे बहुत काम है। (Mujhe bahut kaam hai.)
Day 24,beginner.,I am tired.,நான் சோர்வாக இருக்கிறேன். (Naan sorvaaga irukkiren.),मैं थक गया हूँ। (Mein thak gaya hoon.)
Day 24,beginner.,Let's have lunch.,மதிய உணவு சாப்பிடலாம். (Madhiya unavu saappidalaam.),चलो दोपहर का खाना खाते हैं। (Chalo dopahar ka khana khate hain.)
Day 24,beginner.,I am thirsty.,எனக்குத் தாகமாக இருக்கிறது. (Enakku thaagamaaga irukkiradhu.),मुझे प्यास लगी है। (Mujhe pyaas lagi hai.)
Day 24,beginner.,It is raining.,மழை பெய்கிறது. (Mazhai peygiradhu.),बारिश हो रही है। (Baarish ho rahi hai.)
Day 25,beginner.,It is very hot today.,இன்று வெயில் அதிகமாக உள்ளது. (Indru veyil adhigamaaga ulladhu.),आज बहुत गर्मी है। (Aaj bahut garmi hai.)
Day 25,beginner.,It is cold.,குளிராக இருக்கிறது. (Kuliraaga irukkiradhu.),ठंड लग रही है। (Thand lag rahi hai.)
Day 25,beginner.,I am watching TV.,நான் டிவி பார்த்துக் கொண்டிருக்கிறேன். (Naan TV paarthu kondirukkiren.),मैं टीवी देख रहा हूँ। (Mein TV dekh raha hoon.)
Day 25,beginner.,I am listening to music.,நான் பாட்டு கேட்கிறேன். (Naan paattu ketkiren.),मैं गाने सुन रहा हूँ। (Mein gaane sun raha hoon.)
Day 25,beginner.,I am reading a book.,நான் புத்தகம் படிக்கிறேன். (Naan puthagam padikkiren.),मैं किताब पढ़ रहा हूँ। (Mein kitab padh raha hoon.)
Day 26,beginner.,Call me later.,அப்புறம் கூப்பிடுங்கள். (Apparam kooppidungal.),मुझे बाद में फ़ोन करना। (Mujhe baad mein phone karna.)
Day 26,beginner.,I am charging my phone.,நான் போன் சார்ஜ் செய்கிறேன். (Naan phone charge seigiren.),मैं फ़ोन चार्ज कर रहा हूँ। (Mein phone charge kar raha hoon.)
Day 26,beginner.,I am cleaning the room.,நான் அறையை சுத்தம் செய்கிறேன். (Naan araiyai sutham seigiren.),मैं कमरा साफ़ कर रहा हूँ। (Mein kamra saaf kar raha hoon.)
Day 26,beginner.,I am washing clothes.,நான் துணி துவைக்கிறேன். (Naan thuni thuvaikkiren.),मैं कपड़े धो रहा हूँ। (Mein kapde dho raha hoon.)
Day 26,beginner.,I am going to the market.,நான் சந்தைக்குப் போகிறேன். (Naan sandhaikku pogiren.),मैं बाज़ार जा रहा हूँ। (Mein bazaar ja raha hoon.)
Day 27,beginner.,Buy some vegetables.,காய்கறிகள் வாங்குங்கள். (Kaaykarigal vaangungal.),कुछ सब्ज़ियाँ खरीद लो। (Kuch sabziyan khareed lo.)
Day 27,beginner.,I am cooking dinner.,நான் இரவு உணவு சமைக்கிறேன். (Naan iravu unavu samaikkiren.),मैं रात का खाना बना रहा हूँ। (Mein raat ka khana bana raha hoon.)
Day 27,beginner.,The food is ready.,சாப்பாடு தயார். (Saappaadu thayaar.),खाना तैयार है। (Khana taiyar hai.)
Day 27,beginner.,Let's eat together.,சேர்ந்து சாப்பிடலாம். (Serndhu saappidalaam.),चलो साथ में खाते हैं। (Chalo saath mein khate hain.)
Day 27,beginner.,Wash your hands.,கைகளை கழுவுங்கள். (Kaigalai kazhuvungal.),अपने हाथ धो लें। (Apne haath dho lein.)
Day 28,beginner.,I am full.,வயிறு நிறைந்துவிட்டது. (Vayiru niraindhuvittadhu.),मेरा पेट भर गया है। (Mera pet bhar gaya hai.)
Day 28,beginner.,I am going for a walk.,நான் நடைப்பயிற்சி செல்கிறேன். (Naan nadaippayirchi selgiren.),मैं टहलने जा रहा हूँ। (Mein tehalne ja raha hoon.)
Day 28,beginner.,I am meeting a friend.,நான் நண்பரைச் சந்திக்கிறேன். (Naan nanbaraich sandhikkiren.),मैं दोस्त से मिल रहा हूँ। (Mein dost se mil raha hoon.)
Day 28,beginner.,What happened?,என்ன ஆச்சு? (Enna aachu?),क्या हुआ? (Kya hua?)
Day 28,beginner.,Tell me the truth.,உண்மையைச் சொல்லுங்கள். (Unmaiyaich sollungal.),सच बताओ। (Sach batao.)
Day 29,beginner.,Don't lie.,பொய் சொல்லாதே. (Poi solladhe.),झूठ मत बोलो। (Jhooth mat bolo.)
Day 29,beginner.,I am bored.,எனக்கு போரடிக்கிறது. (Enakku boradikkiradhu.),मैं बोर हो रहा हूँ। (Mein bore ho raha hoon.)
Day 29,beginner.,I have a headache.,எனக்கு தலைவலிக்குது. (Enakku thalaivalikkudhu.),मेरे सिर में दर्द है। (Mere sir mein dard hai.)
Day 29,beginner.,Take some rest.,ஓய்வு எடுங்கள். (Oivu edungal.),थोड़ा आराम कर लो। (Thoda aaram kar lo.)
Day 29,beginner.,I am sleepy.,எனக்குத் தூக்கம் வருகிறது. (Enakku thookkam varugiradhu.),मुझे नींद आ रही है। (Mujhe neend aa rahi hai.)
Day 30,beginner.,Turn off the fan.,ஃபேனை அணைக்கவும். (Fan-ai anaikkavum.),पंखा बंद कर दो। (Pankha band kar do.)
Day 30,beginner.,Lock the door.,கதவைப் பூட்டுங்கள். (Kadhavai poottungal.),दरवाज़ा बंद कर दो। (Darwaza band kar do.)
Day 30,beginner.,I am going to sleep.,நான் தூங்கப் போகிறேன். (Naan thookka pogiren.),मैं सोने जा रहा हूँ। (Mein sone ja raha hoon.)
Day 30,beginner.,Wake me up at 6 AM.,என்னை 6 மணிக்கு எழுப்புங்கள். (Ennai 6 manikku ezhuppungal.),मुझे 6 बजे जगा देना। (Mujhe 6 baje jaga dena.)
Day 30,beginner.,Sweet dreams.,இனிய கனவுகள். (Iniya kanavugal.),मीठे सपने। (Meethe sapne.)
Day 31,beginner.,How is your family?,உங்க குடும்பம் எப்படி இருக்கு? (Unga kudumbam eppadi irukku?),आपका परिवार कैसा है? (Aapka parivar kaisa hai?)
Day 31,beginner.,Everyone is fine.,எல்லாரும் நல்லா இருக்காங்க. (Ellarum nalla irukkanga.),सब ठीक हैं। (Sab theek hain.)
Day 31,beginner.,Have a nice day!,இந்த நாள் இனிய நாளாக அமையட்டும்! (Indha naal iniya naalaaga amaiyattum!),आपका दिन शुभ हो! (Aapka din shubh ho!)
Day 31,beginner.,I am glad to hear that.,அதை கேட்டு சந்தோஷம். (Adhai kettu sandhosham.),यह सुनकर खुशी हुई। (Yeh sunkar khushi hui.)
Day 31,beginner.,What do you do?,நீங்க என்ன பண்றீங்க? (Neenga enna panreenga?),आप क्या करते हैं? (Aap kya karte hain?)
Day 32,beginner.,I am a student.,நான் ஒரு மாணவன். (Naan oru maanavan.),मैं एक छात्र हूँ। (Mein ek chhatra hoon.)
Day 32,beginner.,Where do you live?,நீங்க எங்கே வசிக்கிறீங்க? (Neenga enge vasikkireenga?),आप कहाँ रहते हैं? (Aap kahan rehte hain?)
Day 32,beginner.,I live here.,நான் இங்கே வசிக்கிறேன். (Naan inge vasikkiren.),मैं यहाँ रहता हूँ। (Mein yahan rehta hoon.)
Day 32,beginner.,How was your day?,இன்னைக்கு நாள் எப்படி இருந்தது? (Innaiku naal eppadi irundhadhu?),आपका दिन कैसा रहा? (Aapka din kaisa raha?)
Day 32,beginner.,It was busy.,பிஸியா இருந்தது. (Busy-aa irundhadhu.),व्यस्त रहा। (Vyast raha.)
Day 33,beginner.,It was great.,சிறப்பா இருந்தது. (Sirappa irundhadhu.),बहुत अच्छा था। (Bahut accha tha.)
Day 33,beginner.,I don't know yet.,எனக்கு இன்னும் தெரியாது. (Enakku innum theriyaadhu.),मुझे अभी नहीं पता। (Mujhe abhi nahi pata.)
Day 33,beginner.,Please speak slowly.,தயவுசெய்து மெதுவா பேசுங்க. (Thayavu seidhu medhuva pesunga.),कृपया धीरे बोलिए। (Kripaya dheere boliye.)
Day 33,beginner.,What did you say?,என்ன சொன்னீங்க? (Enna sonneenga?),आपने क्या कहा? (Aapne kya kaha?)
Day 33,beginner.,I am learning Tamil.,நான் தமிழ் கத்துக்கிறேன். (Naan Tamizh kathukkiren.),मैं तमिल सीख रहा हूँ। (Mein Tamil seekh raha hoon.)
Day 34,beginner.,Is it correct?,இது சரியா? (Idhu sariya?),क्या यह सही है? (Kya yeh sahi hai?)
Day 34,beginner.,You are right.,நீங்க சொல்வது சரி. (Neenga solvadhu sari.),आप सही कह रहे हैं। (Aap sahi keh rahe hain.)
Day 34,beginner.,I don't think so.,நான் அப்படி நினைக்கவில்லை. (Naan appadi ninaikkavillai.),मुझे ऐसा नहीं लगता। (Mujhe aisa nahi lagta.)
Day 34,beginner.,I agree with you.,நான் உங்களை ஒத்துக்கொள்கிறேன். (Naan ungalai othukkollgiren.),मैं आपसे सहमत हूँ। (Mein aap se sahmat hoon.)
Day 34,beginner.,What's the matter?,என்ன விஷயம்? (Enna vishayam?),क्या बात है? (Kya baat hai?)
Day 35,beginner.,It doesn't matter.,அது ஒரு விஷயம் இல்லை. (Adhu oru vishayam illai.),कोई बात नहीं। (Koi baat nahi.)
Day 35,beginner.,Are you ready?,நீங்க தயாரா? (Neenga thayara?),क्या आप तैयार हैं? (Kya aap taiyar hain?)
Day 35,beginner.,Not yet.,இன்னும் இல்லை. (Innum illai.),अभी नहीं। (Abhi nahi.)
Day 35,beginner.,Wait for a while.,கொஞ்ச நேரம் இருங்க. (Konja neram irunga.),थोड़ी देर रुकिए। (Thodi der rukiye.)
Day 35,beginner.,Let's go out.,வெளியே போகலாம். (Veliye pogalaam.),चलो बाहर चलते हैं। (Chalo bahar chalte hain.)
Day 36,beginner.,I am coming.,நான் வர்றேன். (Naan varren.),मैं आ रहा हूँ। (Mein aa raha hoon.)
Day 36,beginner.,Don't be late.,தாமதமா வராதீங்க. (Thamadham-aa varadheenga.),देर मत करना। (Der mat karna.)
Day 36,beginner.,I will try my best.,நான் என்னால் முடிந்த அளவு முயல்வேன். (Naan ennal mudindha alavu muyalven.),मैं अपनी पूरी कोशिश करूँगा। (Mein apni poori koshish karunga.)
Day 36,beginner.,That's enough.,அது போதும். (Adhu podhum.),बस इतना काफी है। (Bas itna kaafi hai.)
Day 36,beginner.,God is great.,இறைவன் பெரியவர். (Iraivan periyavar.),भगवान महान है। (Bhagwan mahan hai.)
Day 37,beginner.,Congratulations!,பாராட்டுக்கள்! (Paarattukkal!),बधाई हो! (Badhai ho!)
Day 37,beginner.,Well done!,நன்று! (Nandru!),बहुत बढ़िया! (Bahut badhiya!)
Day 37,beginner.,Keep it up!,இதையே தொடருங்கள்! (Idhaiye thodarungal!),इसे जारी रखें! (Ise jaari rakhein!)
Day 37,beginner.,Don't give up.,முயற்சியை விடாதீர்கள். (Muyarchiyai vidadheergal.),हार मत मानो। (Haar mat maano.)
Day 37,beginner.,Believe in yourself.,உங்களை நம்புங்கள். (Ungalai nambungal.),खुद पर विश्वास रखो। (Khud par vishwas rakho.)
Day 38,beginner.,You can do it.,உங்களால் முடியும். (Ungalal mudiyum.),आप यह कर सकते हैं। (Aap yeh kar sakte hain.)
