English (V1/V2/V3),Day Number,Difficulty Level,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Exhibit / Exhibited / Exhibited,Day 3,Intermediate,காட்சிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,प्रदर्शित करना / किया / कर चुका,1. Exhibit the talent. // 2. He exhibited his art. // 3. They have exhibited here.,1. திறமையை வெளிப்படுத்து. // 2. அவர் தன் கலையை காட்சிப்படுத்தினார். // 3. அவர்கள் இங்கே காட்சிப்படுத்தியுள்ளனர்.,1. प्रतिभा का प्रदर्शन करें। // 2. उसने अपनी कला का प्रदर्शन किया। // 3. उन्होंने यहाँ प्रदर्शनी लगाई है।
Exist / Existed / Existed,Day 3,Intermediate,இரு / இருந்தது / இருந்திருக்கிறது,अस्तित्व में होना / था / हो चुका,1. Hope exists. // 2. Such things existed. // 3. It has existed for years.,1. நம்பிக்கை இருக்கிறது. // 2. அத்தகைய விஷயங்கள் இருந்தன. // 3. இது பல ஆண்டுகளாக இருந்து வருகிறது.,1. आशा मौजूद है। // 2. ऐसी चीजें मौजूद थीं। // 3. यह सालों से अस्तित्व में है।
Expand / Expanded / Expanded,Day 3,Intermediate,விரிவுபடுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,विस्तार करना / किया / कर चुका,1. Expand the business. // 2. It expanded quickly. // 3. I have expanded the text.,1. தொழிலை விரிவுபடுத்து. // 2. அது வேகமாக விரிவடைந்தது. // 3. நான் உரையை விரிவுபடுத்தியுள்ளேன்.,1. व्यवसाय का विस्तार करें। // 2. यह तेजी से फैला। // 3. मैंने टेक्स्ट का विस्तार किया है।
Expect / Expected / Expected,Day 3,Intermediate,எதிர்பார் / பார்த்தேன் / பார்த்துள்ளேன்,उम्मीद करना / की / कर चुका,1. Expect the best. // 2. He expected a call. // 3. I have expected this.,1. நல்லதை எதிர்பார்க்கவும். // 2. அவர் அழைப்பை எதிர்நோக்கினார். // 3. நான் இதை எதிர்பார்த்தேன்.,1. अच्छे की उम्मीद करें। // 2. उसे फोन आने की उम्मीद थी। // 3. मैंने इसकी उम्मीद की थी।
Expel / Expelled / Expelled,Day 3,Intermediate,வெளியேற்று / ஏற்றினேன் / ஏற்றியுள்ளேன்,बाहर निकालना / निकाला / निकाल चुका,1. Expel the smoke. // 2. They expelled him. // 3. I have been expelled.,1. புகையை வெளியேற்று. // 2. அவர்கள் அவரை வெளியேற்றினர். // 3. நான் வெளியேற்றப்பட்டேன்.,1. धुआं बाहर निकालें। // 2. उन्होंने उसे निकाल दिया। // 3. मुझे निष्कासित कर दिया गया है।
Experience / Experienced / Experienced,Day 4,Intermediate,அனுபவி / அனுபவித்தேன் / அனுபவித்துள்ளேன்,अनुभव करना / किया / कर चुका,1. Experience life. // 2. He experienced pain. // 3. I have experienced joy.,1. வாழ்க்கையை அனுபவி. // 2. அவர் வலியை உணர்ந்தார். // 3. நான் மகிழ்ச்சியை அனுபவித்தேன்.,1. जीवन का अनुभव करें। // 2. उसने दर्द महसूस किया। // 3. मैंने खुशी का अनुभव किया है।
Explain / Explained / Explained,Day 4,Intermediate,விளக்கு / விளக்கினேன் / விளக்கியுள்ளேன்,समझाना / समझाया / समझा चुका,1. Explain the rule. // 2. He explained the map. // 3. I have explained everything.,1. விதியை விளக்கு. // 2. அவர் வரைபடத்தை விளக்கினார். // 3. நான் அனைத்தையும் விளக்கிவிட்டேன்.,1. नियम समझाएं। // 2. उसने नक्शा समझाया। // 3. मैंने सब कुछ समझा दिया है।
Explode / Exploded / Exploded,Day 4,Intermediate,வெடி / வெடித்தது / வெடித்திருக்கிறது,फटना / फटा / फट चुका,1. Bombs explode. // 2. The gas exploded. // 3. It has exploded.,1. குண்டுகள் வெடிக்கும். // 2. எரிவாயு வெடித்தது. // 3. அது வெடித்துவிட்டது.,1. बम फटते हैं। // 2. गैस फट गई। // 3. यह फट चुका है।
Explore / Explored / Explored,Day 4,Intermediate,ஆராய் / ஆராய்ந்தேன் / ஆராய்ந்துள்ளேன்,खोजना / खोजा / खोज चुका,1. Explore the world. // 2. He explored the cave. // 3. I have explored options.,1. உலகைச் சுற்றிப்பார். // 2. அவர் குகையை ஆராய்ந்தார். // 3. நான் வாய்ப்புகளை ஆராய்ந்தேன்.,1. दुनिया की सैर करें। // 2. उसने गुफा की खोज की। // 3. मैंने विकल्पों की तलाश की है।
Export / Exported / Exported,Day 4,Intermediate,ஏற்றுமதி செய் / செய்தேன் / செய்துள்ளேன்,निर्यात करना / किया / कर चुका,1. Export the tea. // 2. They exported grain. // 3. We have exported cars.,1. தேயிலையை ஏற்றுமதி செய். // 2. அவர்கள் தானியங்களை ஏற்றுமதி செய்தனர். // 3. நாங்கள் கார்களை ஏற்றுமதி செய்துள்ளோம்.,1. चाय का निर्यात करें। // 2. उन्होंने अनाज का निर्यात किया। // 3. हमने कारों का निर्यात किया है।
Expose / Exposed / Exposed,Day 5,Intermediate,வெளிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,उजागर करना / किया / कर चुका,1. Expose the lie. // 2. He exposed the truth. // 3. The skin was exposed.,1. பொய்யை வெளிப்படுத்து. // 2. அவர் உண்மையை வெளிச்சம் போட்டுக் காட்டினார். // 3. தோல் வெளியே தெரிந்தது.,1. झूठ का पर्दाफाश करें। // 2. उसने सच उजागर किया। // 3. त्वचा खुली रह गई थी।
Express / Expressed / Expressed,Day 5,Intermediate,வெளிப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,व्यक्त करना / किया / कर चुका,1. Express your love. // 2. He expressed doubt. // 3. I have expressed my view.,1. உன் அன்பை வெளிப்படுத்து. // 2. அவர் சந்தேகத்தைத் தெரிவித்தார். // 3. நான் என் கருத்தை வெளிப்படுத்தினேன்.,1. अपना प्यार व्यक्त करें। // 2. उसने संदेह व्यक्त किया। // 3. मैंने अपना विचार व्यक्त किया है।
Extend / Extended / Extended,Day 5,Intermediate,நீட்டி / நீட்டினேன் / நீட்டியுள்ளேன்,बढ़ाना / बढ़ाया / बढ़ा चुका,1. Extend the deadline. // 2. He extended his hand. // 3. I have extended the trip.,1. காலக்கெடுவை நீட்டிக்கவும். // 2. அவர் கையை நீட்டினார். // 3. நான் பயணத்தை நீட்டித்துள்ளேன்.,1. समय सीमा बढ़ाएं। // 2. उसने अपना हाथ बढ़ाया। // 3. मैंने यात्रा बढ़ा दी है।
Extract / Extracted / Extracted,Day 5,Intermediate,பிரித்தெடு / எடுத்தேன் / எடுத்துள்ளேன்,निकालना / निकाला / निकाल चुका,1. Extract the tooth. // 2. He extracted the oil. // 3. I have extracted the file.,1. பல்லை பிடுங்கு (எடு). // 2. அவர் எண்ணெயைப் பிரித்தெடுத்தார். // 3. நான் கோப்பை எடுத்தேன்.,1. दांत निकालें। // 2. उसने तेल निकाला। // 3. मैंने फाइल निकाल ली है।
Face / Faced / Faced,Day 5,Intermediate,எதிர்நோக்கு / நோக்கினேன் / நோக்கியுள்ளேன்,सामना करना / किया / कर चुका,1. Face the truth. // 2. He faced the music. // 3. I have faced challenges.,1. உண்மையை எதிர்கொள். // 2. அவர் விளைவுகளைச் சந்தித்தார். // 3. நான் சவால்களை எதிர்கொண்டேன்.,1. सच का सामना करें। // 2. उसने मुसीबत का सामना किया। // 3. मैंने चुनौतियों का सामना किया है।
Fade / Faded / Faded,Day 6,Intermediate,மங்கு / மங்கியது / மங்கியுள்ளது,फीका पड़ना / पड़ा / पड़ चुका,1. Colors fade. // 2. The sound faded away. // 3. It has faded.,1. நிறங்கள் மங்கும். // 2. சத்தம் மெல்லத் தேய்ந்தது. // 3. அது மங்கிவிட்டது.,1. रंग फीके पड़ जाते हैं। // 2. आवाज धीमी हो गई। // 3. यह फीका पड़ गया है।
Fail / Failed / Failed,Day 6,Intermediate,தோல்வியடை / அடைந்தேன் / அடைந்துள்ளேன்,विफल होना / हुआ / हो चुका,1. Don't fail me. // 2. He failed the test. // 3. I have failed once.,1. என்னை ஏமாற்றிவிடாதே. // 2. அவர் தேர்வில் தோல்வியடைந்தார். // 3. நான் ஒருமுறை தோல்வியடைந்தேன்.,1. मुझे निराश मत करना। // 2. वह परीक्षा में फेल हो गया। // 3. मैं एक बार असफल रहा हूँ।
Faint / Fainted / Fainted,Day 6,Intermediate,மயக்கமடை / அடைந்தேன் / அடைந்துள்ளேன்,बेहोश होना / हुआ / हो चुका,1. Heat makes me faint. // 2. She fainted today. // 3. He has fainted.,1. வெயில் என்னை மயக்கமடையச் செய்கிறது. // 2. அவள் இன்று மயக்கமடைந்தாள். // 3. அவர் மயங்கிவிட்டார்.,1. गर्मी से मुझे चक्कर आते हैं। // 2. वह आज बेहोश हो गई। // 3. वह बेहोश हो गया है।
Fancy / Fancied / Fancied,Day 6,Intermediate,கற்பனை செய் / செய்தேன் / செய்துள்ளேன்,कल्पना करना / की / कर चुका,1. I fancy a tea. // 2. He fancied her. // 3. I have fancied this car.,1. எனக்கு ஒரு டீ குடிக்க ஆசை. // 2. அவர் அவளை விரும்பினார். // 3. நான் இந்த காரை விரும்பினேன்.,1. मुझे चाय पसंद है। // 2. उसने उसे पसंद किया। // 3. मैंने इस कार को पसंद किया है।
Fasten / Fastened / Fastened,Day 6,Intermediate,இறுக்கிக் கட்டு / கட்டினேன் / கட்டியுள்ளேன்,बाँधना / बाँधा / बाँध चुका,1. Fasten your belt. // 2. He fastened the gate. // 3. I have fastened it.,1. உன் பெல்ட்டை அணிந்துகொள். // 2. அவர் கேட்டைப் பூட்டினார். // 3. நான் அதைப் பொருத்தியுள்ளேன்.,1. अपनी बेल्ट बांध लें। // 2. उसने गेट बंद कर दिया। // 3. मैंने इसे बांध दिया है।
Fear / Feared / Feared,Day 7,Intermediate,பயப்படு / பயந்தேன் / பயந்துள்ளேன்,डरना / डरा / डर चुका,1. Don't fear death. // 2. He feared the dark. // 3. I have feared this.,1. மரணத்திற்குப் பயப்படாதே. // 2. அவர் இருட்டைக் கண்டு பயந்தார். // 3. நான் இதைக் கண்டு பயந்தேன்.,1. मौत से मत डरो। // 2. वह अंधेरे से डरता था। // 3. मैंने इसका डर महसूस किया है।
Fetch / Fetched / Fetched,Day 7,Intermediate,கொண்டு வா / வந்தேன் / வந்துள்ளேன்,जाकर लाना / लाया / ला चुका,1. Fetch some water. // 2. He fetched the ball. // 3. I have fetched the bag.,1. கொஞ்சம் தண்ணீர் கொண்டு வா. // 2. அவர் பந்தைக் கொண்டு வந்தார். // 3. நான் பையைக் கொண்டு வந்தேன்.,1. थोड़ा पानी लाओ। // 2. वह गेंद लेकर आया। // 3. मैं बैग ले आया हूँ।
Fight / Fought / Fought,Day 7,Intermediate,சண்டையிடு / இட்டேன் / இட்டுள்ளேன்,लड़ना / लड़ा / लड़ चुका,1. Fight for justice. // 2. They fought bravely. // 3. I have fought back.,1. நீதிக்காகப் போராடு. // 2. அவர்கள் வீரமாகப் போரிட்டனர். // 3. நான் எதிர்த்துப் போராடினேன்.,1. न्याय के लिए लड़ें। // 2. वे बहादुरी से लड़े। // 3. मैंने पलटवार किया है।
File / Filed / Filed,Day 7,Intermediate,கோப்பிடு / இட்டேன் / இட்டுள்ளேன்,फाइल करना / किया / कर चुका,1. File the report. // 2. He filed a case. // 3. I have filed the papers.,1. அறிக்கையைத் தாக்கல் செய். // 2. அவர் ஒரு வழக்குப் பதிவு செய்தார். // 3. நான் காகிதங்களைத் தாக்கல் செய்தேன்.,1. रिपोर्ट फाइल करें। // 2. उसने मामला दर्ज किया। // 3. मैंने कागजात जमा कर दिए हैं।
Fill / Filled / Filled,Day 7,Intermediate,நிரப்பு / நிரப்பினேன் / நிரப்பியுள்ளேன்,भरना / भरा / भर चुका,1. Fill the glass. // 2. He filled the tank. // 3. I have filled the form.,1. கண்ணாடியை நிரப்பு. // 2. அவர் டேங்க்கை நிரப்பினார். // 3. நான் படிவத்தைப் பூர்த்தி செய்தேன்.,1. गिलास भरें। // 2. उसने टैंक भर दिया। // 3. मैंने फॉर्म भर दिया है।
Film / Filmed / Filmed,Day 8,Intermediate,படம்பிடி / பிடித்தேன் / பிடித்துள்ளேன்,फिल्म बनाना / बनाई / बना चुका,1. Film the event. // 2. He filmed the cat. // 3. They have filmed here.,1. நிகழ்வைப் படம் பிடி. // 2. அவர் பூனையைப் படம் பிடித்தார். // 3. அவர்கள் இங்கே படம் பிடித்துள்ளனர்.,1. घटना को फिल्माएं। // 2. उसने बिल्ली का वीडियो बनाया। // 3. उन्होंने यहाँ फिल्म बनाई है।
Finance / Financed / Financed,Day 8,Intermediate,நிதியுதவி செய் / செய்தேன் / செய்துள்ளேன்,वित्त पोषण करना / किया / कर चुका,1. Finance the project. // 2. He financed the car. // 3. I have financed it.,1. திட்டத்திற்கு நிதி வழங்கு. // 2. அவர் காருக்கு நிதி வழங்கினார். // 3. நான் அதற்கு நிதி அளித்துள்ளேன்.,1. परियोजना को वित्तपोषित करें। // 2. उसने कार के लिए पैसे दिए। // 3. मैंने इसे फाइनेंस किया है।
Find / Found / Found,Day 8,Intermediate,கண்டறி / அறிந்தேன் / அறிந்துள்ளேன்,पाना / पाया / पा चुका,1. Find the key. // 2. He found his dog. // 3. I have found peace.,1. சாவியைக் கண்டுபிடி. // 2. அவர் தன் நாயைக் கண்டுபிடித்தார். // 3. நான் அமைதியைக் கண்டேன்.,1. चाबी ढूंढो। // 2. उसे अपना कुत्ता मिल गया। // 3. मुझे शांति मिल गई है।
Finish / Finished / Finished,Day 8,Intermediate,முடி / முடித்தேன் / முடித்துள்ளேன்,समाप्त करना / किया / कर चुका,1. Finish your food. // 2. He finished the task. // 3. I have finished.,1. உணவை முடி. // 2. அவர் பணியை முடித்தார். // 3. நான் முடித்துவிட்டேன்.,1. अपना खाना खत्म करें। // 2. उसने काम पूरा किया। // 3. मैंने काम खत्म कर लिया है।
Fire / Fired / Fired,Day 8,Intermediate,சுடு / சுட்டேன் / சுட்டுள்ளேன்,आग लगाना (या नौकरी से निकालना) / किया,1. Fire the gun. // 2. He fired the cook. // 3. I have fired it.,1. துப்பாக்கியால் சுடு. // 2. அவர் சமையல்காரரை வேலையிலிருந்து நீக்கினார். // 3. நான் அதைச் சுட்டேன்.,1. बंदूक चलाओ। // 2. उसने रसोइए को निकाल दिया। // 3. मैंने गोली चलाई है।
Fit / Fitted / Fitted,Day 9,Intermediate,பொருத்து / பொருத்தினேன் / பொருத்திலுள்ளேன்,फिट होना / हुआ / हो चुका,1. It fits well. // 2. He fitted the lock. // 3. It has fitted perfectly.,1. இது சரியாகப் பொருந்துகிறது. // 2. அவர் பூட்டைப் பொருத்தினார். // 3. அது கச்சிதமாகப் பொருந்தியது.,1. यह अच्छी तरह फिट बैठता है। // 2. उसने ताला लगाया। // 3. यह बिल्कुल सही बैठा है।
Fix / Fixed / Fixed,Day 9,Intermediate,சரிசெய் / செய்தேன் / செய்துள்ளேன்,ठीक करना / किया / कर चुका,1. Fix the tap. // 2. He fixed the date. // 3. I have fixed the TV.,1. குழாயைச் சரிசெய். // 2. அவர் தேதியை உறுதி செய்தார். // 3. நான் டிவியைச் சரிசெய்தேன்.,1. नल ठीक करें। // 2. उसने तारीख तय की। // 3. मैंने टीवी ठीक कर दिया है।
Flap / Flapped / Flapped,Day 9,Intermediate,படபட / அடித்தது / அடித்துள்ளது,फड़फड़ाना / फड़फड़ाया / चुका,1. Birds flap wings. // 2. It flapped in wind. // 3. It has flapped.,1. பறவைகள் இறக்கைகளை அடிக்கின்றன. // 2. அது காற்றில் அசைந்தது. // 3. அது அசைந்தது.,1. पक्षी पंख फड़फड़ाते हैं। // 2. यह हवा में फड़फड़ाया। // 3. यह फड़फड़ा चुका है।
Flash / Flashed / Flashed,Day 9,Intermediate,மின்னு / மின்னியது / மின்னியுள்ளது,चमकना / चमका / चमक चुका,1. Flash the light. // 2. It flashed bright. // 3. It has flashed.,1. விளக்கை ஒளிரவிடு. // 2. அது பிரகாசமாக மின்னியது. // 3. அது மின்னியது.,1. लाइट चमकाएं। // 2. यह जोर से चमका। // 3. यह चमक चुका है।
Flatten / Flattened / Flattened,Day 9,Intermediate,சமமாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,चपटा करना / किया / कर चुका,1. Flatten the dough. // 2. He flattened it. // 3. I have flattened the box.,1. மாவைத் தட்டையாக்கு. // 2. அவர் அதைத் தட்டையாக்கினார். // 3. நான் பெட்டியை நசுக்கினேன்.,1. आटा चपटा करें। // 2. उसने इसे चपटा कर दिया। // 3. मैंने डिब्बा चपटा कर दिया है।
Flatter / Flattered / Flattered,Day 10,Intermediate,புகழ் / புகழ்ந்தேன் / புகழ்ந்துள்ளேன்,चापलूसी करना / की / कर चुका,1. Don't flatter me. // 2. He flattered her. // 3. You have flattered him.,1. என்னைப் புகழாதே (ஐஸ் வைக்காதே). // 2. அவர் அவளைப் புகழ்ந்தார். // 3. நீ அவரைப் புகழ்ந்தாய்.,1. मेरी चापलूसी मत करो। // 2. उसने उसकी चापलूसी की। // 3. तुमने उसे चने के झाड़ पर चढ़ाया है।
Flee / Fled / Fled,Day 10,Intermediate,தப்பியோடிடு / ஓடினேன் / ஓடியுள்ளேன்,भाग जाना / भाग गया / भाग चुका,1. Flee the scene. // 2. He fled the city. // 3. They have fled.,1. இடத்திலிருந்து தப்பி ஓடு. // 2. அவர் நகரத்தை விட்டு ஓடினார். // 3. அவர்கள் தப்பி ஓடிவிட்டனர்.,1. मौके से भाग जाओ। // 2. वह शहर से भाग गया। // 3. वे भाग चुके हैं।
Float / Floated / Floated,Day 10,Intermediate,மித / மிதந்தேன் / மிதந்துள்ளேன்,तैरना (पानी पर) / तैरा / तैर चुका,1. Logs float. // 2. It floated away. // 3. It has floated.,1. கட்டைகள் மிதக்கும். // 2. அது மிதந்து சென்றது. // 3. அது மிதந்துவிட்டது.,1. लकड़ी तैरती है। // 2. यह तैरकर दूर चला गया। // 3. यह तैर चुका है।
Flood / Flooded / Flooded,Day 10,Intermediate,வெள்ளம் பெருக்கெடு / எடுத்தது / எடுத்துள்ளது,बाढ़ आना / आई / आ चुकी,1. Rivers flood. // 2. Water flooded the room. // 3. It has flooded.,1. ஆறுகள் பொங்கி வழியும் (வெள்ளம்). // 2. தண்ணீர் அறையை நிரப்பியது. // 3. வெள்ளம் வந்துவிட்டது.,1. नतियां उफनती हैं। // 2. कमरे में पानी भर गया। // 3. बाढ़ आ गई है।
Flow / Flowed / Flowed,Day 10,Intermediate,பாய் / பாய்ந்தது / பாய்ந்துள்ளது,बहना / बहा / बह चुका,1. Waters flow. // 2. Blood flowed out. // 3. It has flowed.,1. நீர் பாயும். // 2. ரத்தம் வெளியேறியது. // 3. அது பாய்ந்துவிட்டது.,1. पानी बहता है। // 2. खून बहने लगा। // 3. यह बह चुका है।
Flower / Flowered / Flowered,Day 11,Intermediate,பூ / பூத்தது / பூத்துள்ளது,फूल खिलना / खिला / खिल चुका,1. Plants flower. // 2. It flowered late. // 3. It has flowered.,1. செடிகள் பூக்கும். // 2. அது தாமதமாகப் பூத்தது. // 3. அது பூத்துள்ளது.,1. पौधे फूलते हैं। // 2. इसमें देर से फूल आए। // 3. इसमें फूल आ चुके हैं।
Fly / Flew / Flown,Day 11,Intermediate,பற / பறந்தேன் / பறந்துள்ளேன்,उड़ना / उड़ा / उड़ चुका,1. Birds fly. // 2. He flew to Paris. // 3. I have flown before.,1. பறவைகள் பறக்கும். // 2. அவர் பாரிஸிற்குப் பறந்தார் (விமானத்தில்). // 3. நான் முன்பு பறந்திருக்கிறேன்.,1. पक्षी उड़ते हैं। // 2. वह पेरिस गया। // 3. मैंने पहले उड़ान भरी है।
Focus / Focused / Focused,Day 11,Intermediate,கவனி / கவனித்தேன் / கவனித்துள்ளேன்,ध्यान केंद्रित करना / किया / चुका,1. Focus on study. // 2. He focused the lens. // 3. I have focused today.,1. படிப்பில் கவனம் செலுத்து. // 2. அவர் லென்ஸை ஒருநிலைப்படுத்தினார். // 3. நான் இன்று கவனம் செலுத்தினேன்.,1. पढ़ाई पर ध्यान दें। // 2. उसने लेंस फोकस किया। // 3. मैंने ध्यान केंद्रित किया है।
Fold / Folded / Folded,Day 11,Intermediate,மடி / மடித்தேன் / மடித்துள்ளேன்,मोड़ना / मोड़ा / मोड़ चुका,1. Fold the paper. // 2. He folded the shirt. // 3. I have folded the map.,1. காகிதத்தை மடி. // 2. அவர் சட்டையை மடித்தார். // 3. நான் வரைபடத்தை மடித்தேன்.,1. कागज मोड़ें। // 2. उसने शर्ट की तह लगाई। // 3. मैंने नक्शा मोड़ दिया है।
Follow / Followed / Followed,Day 11,Intermediate,பின்பற்று / பின்பற்றினேன் / பின்பற்றியுள்ளேன்,अनुसरण करना / किया / कर चुका,1. Follow me. // 2. He followed the rules. // 3. I have followed you.,1. என்னைப் பின்பற்று. // 2. அவர் விதைகளைப் பின்பற்றினார். // 3. நான் உன்னைப் பின்தொடர்ந்தேன்.,1. मेरे पीछे आओ। // 2. उसने नियमों का पालन किया। // 3. मैंने तुम्हारा पीछा किया है।
Fool / Fooled / Fooled,Day 12,Intermediate,ஏமாற்று / ஏமாற்றினேன் / ஏமாற்றியுள்ளேன்,मूर्ख बनाना / बनाया / बना चुका,1. Don't fool me. // 2. He fooled them. // 3. I have been fooled.,1. என்னை ஏமாற்றாதே. // 2. அவர் அவர்களை ஏமாற்றினார். // 3. நான் ஏமாற்றப்பட்டேன்.,1. मुझे बेवकूफ मत बनाओ। // 2. उसने उन्हें बेवकूफ बनाया। // 3. मुझे बेवकूफ बनाया गया है।
Force / Forced / Forced,Day 12,Intermediate,கட்டாயப்படுத்து / படுத்தினேன் / படுத்தியுள்ளேன்,मजबूर करना / किया / कर चुका,1. Don't force it. // 2. He forced the door. // 3. I have forced the issue.,1. அதைக் கட்டாயப்படுத்தாதே. // 2. அவர் கதையைப் பலவந்தமாகத் திறந்தார். // 3. நான் அதை வற்புறுத்தினேன்.,1. जबरदस्ती मत करो। // 2. उसने दरवाजा तोड़ा। // 3. मैंने दबाव डाला है।
