Serial Number,Day Number,English Word,Part of Speech,Difficulty,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
19,Day 4,Name,Noun,Beginner,பெயர்,नाम [Naam],My name is Kumar.,என் பெயர் குமார்.,मेरा नाम कुमार है।,"Identity, Title",நாமம்
20,Day 4,Age,Noun,Beginner,வயது,उम्र [Umra],What is your age?,உங்கள் வயது என்ன?,तुम्हारी उम्र क्या है?,"Years, Era",பிராயம்
21,Day 5,Boy,Noun,Beginner,சிறுவன்,लड़का [Ladka],He is a brave boy.,அவன் ஒரு தைரியமான சிறுவன்.,वह एक बहादुर लड़का है।,"Lad, Youth",பையன்
22,Day 5,Girl,Noun,Beginner,சிறுமி,लड़की [Ladki],The girl is singing.,சிறுமி பாடிக்கொண்டிருக்கிறாள்.,लड़की गा रही है।,"Lass, Maiden",பெண்
23,Day 5,Man,Noun,Beginner,மனிதன்,आदमी [Aadmi],The man is working.,அந்த மனிதன் வேலை செய்கிறான்.,आदमी काम कर रहा है।,"Male, Adult",ஆள்
24,Day 5,Woman,Noun,Beginner,பெண்,औरत [Aurat],She is a strong woman.,அவள் ஒரு வலிமையான பெண்.,वह एक मजबूत औरत है।,"Female, Lady",மங்கை
25,Day 5,Think,Verb,Beginner,யோசி,सोचना [Sochna],Think before you act.,செயல்படும் முன் யோசியுங்கள்.,करने से पहले सोचो।,"Ponder, Reflect",சிந்தி
26,Day 6,Know,Verb,Beginner,தெரியும்,जानना [Jaanna],I know the truth.,எனக்கு உண்மை தெரியும்.,मुझे सच पता है।,"Realize, Aware",அறி
27,Day 6,Hope,Noun,Beginner,நம்பிக்கை,आशा [Aasha],Never lose hope.,நம்பிக்கையை ஒருபோதும் இழக்காதே.,कभी उम्मीद मत हारो।,"Wish, Trust",விசுவாசம்
28,Day 6,Need,Verb,Beginner,தேவை,ज़रूरत [Zaroorat],I need some water.,எனக்கு கொஞ்சம் தண்ணீர் தேவை.,मुझे थोड़े पानी की ज़रूरत है।,"Require, Lack",அவசியம்
29,Day 6,Want,Verb,Beginner,விருப்பம்,चाहना [Chaahna],I want to learn.,நான் கற்றுக்கொள்ள விரும்புகிறேன்.,मैं सीखना चाहता हूँ।,"Desire, Wish",விழை
30,Day 6,Feel,Verb,Beginner,உணர்,महसूस [Mehsoos],I feel tired now.,நான் இப்போது சோர்வாக உணர்கிறேன்.,मैं अब थकान महसूस कर रहा हूँ।,"Sense, Perceive",உணர்ச்சி
31,Day 7,Watch,Verb,Beginner,கவனி,देखना [Dekhna],Watch the movie.,படத்தைப் பாருங்கள்.,फिल्म देखो।,"Observe, View",நோக்கு
32,Day 7,Use,Verb,Beginner,பயன்படுத்து,उपयोग [Upayog],Use this tool.,இந்தக் கருவியைப் பயன்படுத்தவும்.,इस उपकरण का उपयोग करें।,"Utilize, Apply",கையாளு
33,Day 7,Have,Verb,Beginner,வைத்திரு,पास होना [Paas],I have a sister.,எனக்கு ஒரு சகோதரி இருக்கிறாள்.,मेरी एक बहन है।,"Possess, Own",பெற்றுக்கொள்
34,Day 7,Put,Verb,Beginner,வை,रखना [Rakhna],Put it on the table.,அதை மேஜையில் வை.,इसे मेज पर रख दो।,"Place, Set",நிறுவு
35,Day 7,Get,Verb,Beginner,பெறு,मिलना [Milna],Did you get it?,உனக்கு அது கிடைத்ததா?,क्या तुम्हें यह मिला?,"Obtain, Acquire",அடை
36,Day 8,Live,Verb,Beginner,வாழ்,जीना [Jeena],Live your life.,உங்கள் வாழ்க்கையை வாழுங்கள்.,अपना जीवन जियो।,"Exist, Dwell",வாழ்தல் / வசித்தல்
37,Day 8,Die,Verb,Beginner,இற,मरना [Marna],Flowers die soon.,பூக்கள் விரைவில் இறந்துவிடும்.,फूल जल्दी मर जाते हैं।,"Perish, Expire",மடி
38,Day 8,Born,Verb,Beginner,பிறப்பு,जन्म [Janm],He was born here.,அவன் இங்கே பிறந்தான்.,उसका जन्म यहाँ हुआ था।,"Arise, Begin",உதயம்
39,Day 8,Great,Adjective,Beginner,சிறந்த,महान [Mahaan],That is a great idea.,அது ஒரு சிறந்த யோசனை.,यह एक महान विचार है।,"Grand, Superb",மேலான
40,Day 8,Fine,Adjective,Beginner,நலம்,ठीक [Theek],I am feeling fine.,நான் நலமாக உணர்கிறேன்.,मैं ठीक महसूस कर रहा हूँ।,"Okay, Well",ஆரோக்கியம்
41,Day 9,Hello,Interjection,Beginner,வணக்கம்,नमस्ते [Namaste],"Hello, how are you?","வணக்கம், நீங்கள் எப்படி இருக்கிறீர்கள்?","नमस्ते, आप कैसे हैं?",Greetings,வாழ்த்து
42,Day 9,Bye,Interjection,Beginner,விடைபெறு,अलविदा [Alvida],"Bye, see you later.","விடைபெறு, பிறகு பார்ப்போம்.","अलविदा, बाद में मिलते हैं।",Farewell,போயிட்டு வருகிறேன்
43,Day 9,Yes,Adverb,Beginner,ஆம்,हाँ [Haan],"Yes, I can do it.","ஆம், என்னால் செய்ய முடியும்.","हाँ, मैं यह कर सकता हूँ।",Agreed,சரி
44,Day 9,No,Adverb,Beginner,இல்லை,नहीं [Nahi],"No, I am busy.","இல்லை, நான் பிஸியாக இருக்கிறேன்.","नहीं, मैं व्यस्त हूँ।",Nay,கிடையாது
45,Day 9,Maybe,Adverb,Beginner,ஒருவேளை,शायद [Shayad],Maybe it is true.,ஒருவேளை அது உண்மையாக இருக்கலாம்.,शायद यह सच है।,Perhaps,சாத்தியம் / ஒருவேளை
46,Day 10,Always,Adverb,Beginner,எப்போதும்,हमेशा [Hamesha],Always be kind.,எப்போதும் அன்பாக இருங்கள்.,हमेशा दयालु बनो।,Constantly,எக்காலமும்
47,Day 10,Never,Adverb,Beginner,ஒருபோதும்,कभी नहीं [Kabhi nahi],Never tell a lie.,ஒருபோதும் பொய் சொல்லாதே.,कभी झूठ मत बोलो।,At no time,அறவே
48,Day 10,Today,Noun,Beginner,இன்று,आज [Aaj],Today is Monday.,இன்று திங்கட்கிழமை.,आज सोमवार है।,Present day,இப்போழுது
49,Day 10,Tomorrow,Noun,Beginner,நாளை,कल [Kal],Come back tomorrow.,நாளை மீண்டும் வாருங்கள்.,कल वापस आना।,Future,மறுநாள்
50,Day 10,Yesterday,Noun,Beginner,நேற்று,कल [Kal],I saw him yesterday.,நான் அவரை நேற்று பார்த்தேன்.,मैंने उसे कल देखा था।,Past day,கடந்த நாள்
51,Day 11,Week,Noun,Beginner,வாரம்,हफ्ता [Hafta],Next week is busy.,அடுத்த வாரம் பிஸியாக இருக்கும்.,अगला हफ्ता व्यस्त है।,Seven days,ஏழு நாட்கள்
52,Day 11,Month,Noun,Beginner,மாதம்,महीना [Mahina],This is a busy month.,இது ஒரு பிஸியான மாதம்.,यह एक व्यस्त महीना है।,period,திங்கள்
53,Day 11,Year,Noun,Beginner,வருடம்,साल [Saal],I met him last year.,நான் அவரை கடந்த வருடம் சந்தித்தேன்.,நான் அவரை கடந்த வருடம் சந்தித்தேன்.,Annual,ஆண்டு
54,Day 11,Time,Noun,Beginner,நேரம்,समय [Samay],What is the time?,இப்பொழுது நேரம் என்ன?,समय क्या हुआ है?,"Period, Duration",காலம்
55,Day 11,Clock,Noun,Beginner,கடிகாரம்,घड़ी [Ghadi],The clock is on the wall.,கடிகாரம் சுவரில் உள்ளது.,दीवार पर घड़ी है।,Timepiece,சுவர்கடிகாரம்
56,Day 12,Hand,Noun,Beginner,கை,हाथ [Haath],Wash your hand.,உங்கள் கையை கழுவவும்.,अपना हाथ धोएं।,Palm,கரம்
57,Day 12,Foot,Noun,Beginner,கால்,पैर [Pair],My foot is hurting.,என் கால் வலிக்கிறது.,मेरे पैर में दर्द हो रहा है।,"Paw, Step",பாதம்
58,Day 12,Head,Noun,Beginner,தலை,सिर [Sir],He bowed his head.,அவன் தலையை வணங்கினான்.,उसने अपना सिर झुकाया।,Skull,உச்சி
59,Day 12,Eye,Noun,Beginner,கண்,आँख [Aankh],Close your eyes.,கண்களை மூடிக்கொள்.,अपनी आँखें बंद करो।,Vision,நயனம்
60,Day 12,Mouth,Noun,Beginner,வாய்,मुँह [Munh],Open your mouth.,வாயைத் திறக்கவும்.,अपना मुँह खोलो।,Oral,அதரம்
61,Day 13,Sun,Noun,Beginner,சூரியன்,सूरज [Suraj],The sun is bright.,சூரியன் பிரகாசமாக உள்ளது.,सूरज चमकदार है।,Star,கதிரவன்
62,Day 13,Moon,Noun,Beginner,நிலா,चाँद [Chaand],Look at the moon.,நிலாவைப் பாருங்கள்.,चाँद को देखो।,Lunar,சந்திரன்
63,Day 13,Light,Noun,Beginner,ஒளி,रोशनी [Roshni],Turn on the light.,விளக்கை ஆன் செய்யவும்.,लाइट जलाओ।,Brightness,வெளிச்சம்
64,Day 13,Dark,Adjective,Beginner,இருள்,अंधेरा [Andhera],It is dark outside.,வெளியே இருட்டாக இருக்கிறது.,बाहर अंधेरा है।,Shadowy,கருமை
65,Day 13,Happy,Adjective,Beginner,மகிழ்ச்சி,खुश [Khush],I am so happy today.,நான் இன்று மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.,मैं आज बहुत खुश हूँ।,"Joyful, Glad",சந்தோஷம்
66,Day 14,See,Verb,Beginner,பார்,देखना [Dekhna],I see a bird.,நான் ஒரு பறவையைப் பார்க்கிறேன்.,मैं एक पक्षी देखता हूँ।,"View, Observe",காண்
67,Day 14,Look,Verb,Beginner,பார்,देखना [Dekhna],Look at the sky.,வானத்தைப் பாருங்கள்.,आसमान की ओर देखो।,"Gaze, Glance",நோக்கு
68,Day 14,Take,Verb,Beginner,எடு,लेना [Lena],Take your medicine.,உங்கள் மருந்தை எடுத்துக் கொள்ளுங்கள்.,अपनी दवा लें।,"Grab, Pick",கொள்
69,Day 14,Give,Verb,Beginner,கொடு,देना [Dena],Give me your book.,உன் புத்தகத்தை எனக்குக் கொடு.,मुझे अपनी किताब दो।,"Grant, Hand",வழங்கு
70,Day 14,Wait,Verb,Beginner,காத்திரு,इंतज़ार [Intezaar],Wait for the bus.,பேருந்துக்காகக் காத்திருங்கள்.,बस का इंतज़ार करें।,"Stay, Delay",பொறு
71,Day 15,Find,Verb,Beginner,கண்டுபிடி,ढूँढना [Dhoondhna],Find the hidden key.,மறைந்துள்ள சாவியைக் கண்டுபிடி.,छिपी हुई चाबी ढूँढो।,"Locate, Spot",தேடு
72,Day 15,Lost,Adjective,Beginner,தொலைந்தது,खो गया [Kho gaya],I found my lost dog.,எனது தொலைந்த நாயைக் கண்டுபிடித்தேன்.,मुझे मेरा खोया हुआ कुत्ता मिल गया।,"Missing, Gone",காணாமல்போன
73,Day 15,Clean,Adjective,Beginner,சுத்தம்,साफ़ [Saaf],Keep the room clean.,அறையைச் சுத்தமாக வைத்திருங்கள்.,कमरे को साफ़ रखें।,"Tidy, Neat",தூய்மை
74,Day 15,Dirty,Adjective,Beginner,அழுக்கு,गंदा [Ganda],His shirt is dirty.,அவனது சட்டை அழுக்காக இருக்கிறது.,उसकी कमीज़ गंदी है।,"Messy, Filthy",அசுத்தம்
75,Day 15,Key,Noun,Beginner,சாவி,चाबी [Chaabi],This is the car key.,இது கார் சாவி.,यह कार की चाबी है।,Opener,திறவுகோல்
76,Day 16,Lock,Noun,Beginner,பூட்டு,ताला [Taala],Check the door lock.,கதவு பூட்டைச் சரிபார்க்கவும்.,दरवाजे का ताला चेक करें।,"Latch, Bolt",முடக்கு
77,Day 16,Box,Noun,Beginner,பெட்டி,डिब्बा [Dibba],Put it in the box.,அதை பெட்டியில் போடுங்கள்.,इसे डिब्बे में डाल दो।,"Case, Carton",பேழை
78,Day 16,Play,Verb,Beginner,விளையாடு,खेलना [Khelna],Children play outside.,குழந்தைகள் வெளியே விளையாடுகிறார்கள்.,बच्चे बाहर खेलते हैं।,"Sport, Frolic",ஆடு
79,Day 16,Stop,Verb,Beginner,நிறுத்து,रुकना [Rukna],Stop at the red light.,சிவப்பு விளக்கில் நிறுத்தவும்.,लाल बत्ती पर रुकें।,"Halt, Cease",தவிர்
80,Day 16,Start,Verb,Beginner,தொடங்கு,शुरू [Shuru],Start the engine now.,இன்ஜினை இப்போது தொடங்குங்கள்.,अब इंजन शुरू करें।,"Begin, Launch",ஆரம்பி
81,Day 17,Finish,Verb,Beginner,முடி,खत्म [Khatam],Finish your homework.,உங்கள் வீட்டுப்பாடத்தை முடிக்கவும்.,अपना होमवर्क खत्म करो।,"End, Complete",தீர்த்துவிடு
82,Day 17,Read,Verb,Beginner,படி,पढ़ना [Padhna],I read every night.,நான் ஒவ்வொரு இரவும் படிக்கிறேன்.,मैं हर रात पढ़ता हूँ।,"Study, Peruse",வாசி
83,Day 17,Write,Verb,Beginner,எழுது,लिखना [Likhna],Write your name.,உங்கள் பெயரை எழுதுங்கள்.,अपना नाम लिखें।,"Note, Inscribe",வரை
84,Day 17,Sleep,Verb,Beginner,தூங்கு,सोना [Sona],Go to sleep now.,இப்போது தூங்கப் போ.,अब सोने जाओ।,"Nap, Rest",துயில்
85,Day 17,Wake,Verb,Beginner,எழு,जागना [Jaagna],Wake up at six.,ஆறு மணிக்கு எழுந்திருங்கள்.,छह बजे जागो।,"Arise, Awaken",விழி
86,Day 18,Cold,Adjective,Beginner,குளிர்,ठंडा [Thanda],The water is cold.,தண்ணீர் குளிர்ச்சியாக உள்ளது.,पानी ठंडा है।,"Chilly, Icy",சீதளம்
87,Day 18,Hot,Adjective,Beginner,சூடு,गर्म [Garm],The tea is hot.,தேநீர் சூடாக இருக்கிறது.,चाय गर्म है।,"Burning, Warm",வெப்பம்
88,Day 18,New,Adjective,Beginner,புதிய,नया [Naya],I bought a new car.,நான் ஒரு புதிய கார் வாங்கினேன்.,मैंने एक नई कार खरीदी।,"Fresh, Modern",நவீனம்
89,Day 18,Old,Adjective,Beginner,பழைய,पुराना [Purana],This is an old book.,இது ஒரு பழைய புத்தகம்.,यह एक पुरानी किताब है।,"Aged, Ancient",பழமை
90,Day 18,Buy,Verb,Beginner,வாங்கு,खरीदना [Khareedna],I want to buy this.,நான் இதை வாங்க விரும்புகிறேன்.,मैं इसे खरीदना चाहता हूँ।,Purchase,கொள்முதல்
91,Day 19,Sell,Verb,Beginner,விற்பனை,बेचना [Bechna],Do you sell fruits?,நீங்கள் பழங்களை விற்கிறீர்களா?,क्या आप फल बेचते हैं?,"Trade, Vend",விற்றுவிடு
92,Day 19,Open,Verb,Beginner,திற,खोलना [Kholna],Open the window.,ஜன்னலைத் திறக்கவும்.,खिड़की खोलें।,"Unlock, Unfold",திறந்த
93,Day 19,Close,Verb,Beginner,மூடு,बंद करना [Band],Close the door.,கதவை மூடு.,दरवाजा बंद करो।,"Shut, Seal",மூடிய
94,Day 19,Work,Verb,Beginner,வேலை,काम [Kaam],I work in an office.,நான் ஒரு அலுவலகத்தில் வேலை செய்கிறேன்.,मैं एक ऑफिस में काम करता हूँ।,"Job, Task",பணி
95,Day 19,Push,Verb,Beginner,தள்ளு,धकेलना [Dhakelna],Push the door to open.,திறக்க கதவைத் தள்ளுங்கள்.,खोलने के लिए दरवाजा धकेलें।,"Shove, Press",உந்து
96,Day 20,Pull,Verb,Beginner,இழு,खींचना [Kheenchna],Pull the rope hard.,கயிற்றை பலமாக இழுக்கவும்.,रस्सी को ज़ोर से खींचो।,"Drag, Tug",ஈர்ப்பு
97,Day 20,Hear,Verb,Beginner,கேள்,सुनना [Sunna],I can hear music.,என்னால் இசையைக் கேட்க முடிகிறது.,मैं संगीत सुन सकता हूँ।,Listen,செவிமடு
98,Day 20,Go,Verb,Beginner,போ,जाना [Jaana],Go to your room.,உன் அறைக்குச் செல்.,अपने कमरे में जाओ।,"Leave, Move",செல்
99,Day 20,Come,Verb,Beginner,வா,आना [Aana],Come here quickly.,இங்கே சீக்கிரம் வாருங்கள்.,यहाँ जल्दी आओ।,Arrive,வருகை
100,Day 20,Here,Adverb,Beginner,இங்கே,यहाँ [Yahan],Sit here with me.,என்னுடன் இங்கே அமருங்கள்.,यहाँ मेरे पास बैठो।,Local,இங்கே / இவ்விடம்
101,Day 21,There,Adverb,Beginner,அங்கே,वहाँ [Wahan],Put it over there.,அதை அங்கே வையுங்கள்.,इसे वहाँ रख दो।,Yonder,அங்கே / அவ்விடம்
102,Day 21,Up,Adverb,Beginner,மேலே,ऊपर [Oopar],Look up at the sky.,வானத்தை மேலே பாருங்கள்.,आसमान की ओर ऊपर देखो।,"Above, High",மேல்
103,Day 21,Down,Adverb,Beginner,கீழே,नीचे [Neeche],Please sit down.,தயவுசெய்து கீழே அமருங்கள்.,कृपया नीचे बैठें।,"Below, Low",கீழ்
104,Day 21,Love,Verb,Beginner,நேசி,प्यार करना [Pyaar],Love your neighbors.,உங்கள் அண்டை வீட்டாரை நேசியுங்கள்.,अपने पड़ोसियों से प्यार करो।,"Adore, Like",அன்பு
105,Day 21,Hate,Verb,Beginner,வெறுப்பு,नफरत [Nafrat],I hate cold weather.,எனக்கு குளிர் காலநிலை பிடிக்காது.,मुझे ठंडे मौसम से नफरत है।,"Dislike, Scorn",கசப்பு
106,Day 22,Help,Verb,Beginner,உதவி,मदद [Madad],Can you help me?,எனக்கு உதவ முடியுமா?,क्या आप मेरी मदद कर सकते हैं?,"Assist, Aid",ஒத்தாசை
107,Day 22,Car,Noun,Beginner,கார்,कार [Car],I drive a small car.,நான் ஒரு சிறிய கார் ஓட்டுகிறேன்.,मैं एक छोटी कार चलाता हूँ।,"Auto, Vehicle",மகிழுந்து
108,Day 22,Bus,Noun,Beginner,பேருந்து,बस [Bus],The bus is late.,பேருந்து தாமதமாக வருகிறது.,बस देर से आई है।,Coach,வண்டி / பேருந்து
109,Day 22,Walk,Verb,Beginner,நட,चलना [Chalna],Walk to the park.,பூங்காவிற்கு நடந்து செல்லுங்கள்.,पार्क तक पैदल चलें।,"Stroll, March",உலாத்து
110,Day 22,Sing,Verb,Beginner,பாடு,गाना [Gaana],She likes to sing.,அவளுக்குப் பாடப் பிடிக்கும்.,उसे गाना पसंद है।,Vocalize,கானம்
111,Day 23,Dance,Verb,Beginner,ஆடு,नाचना [Naachna],They dance together.,அவர்கள் சேர்ந்து ஆடுகிறார்கள்.,वे साथ में नाचते हैं।,Sway,நடனம்
112,Day 23,Friend,Noun,Beginner,நண்பன்,दोस्त [Dost],He is my friend.,அவன் என் நண்பன்.,वह मेरा दोस्त है।,"Buddy, Mate",தோழன்
113,Day 23,Family,Noun,Beginner,குடும்பம்,परिवार [Parivaar],I love my family.,என் குடும்பத்தை நேசிக்கிறேன்.,मुझे अपने परिवार से प्यार है।,"Kin, Clan",சுற்றம்
114,Day 23,Mother,Noun,Beginner,அம்மா,माँ [Maa],My mother is kind.,என் அம்மா அன்பானவர்.,मेरी माँ दयालु हैं।,"Mom, Parent",தாய்
115,Day 23,Father,Noun,Beginner,அப்பா,पिता [Pita],My father is tall.,என் அப்பா உயரமாக இருக்கிறார்.,मेरे पिता लंबे हैं।,"Dad, Parent",தந்தை
116,Day 24,Brother,Noun,Beginner,சகோதரன்,भाई [Bhai],I have one brother.,எனக்கு ஒரு சகோதரன் இருக்கிறான்.,मेरा एक भाई है।,Sibling,தம்பி/அண்ணன்
117,Day 24,Sister,Noun,Beginner,சகோதரி,बहन [Behen],My sister is smart.,என் சகோதரி புத்திசாலி.,मेरी बहन समझदार है।,Sibling,தங்கை/அக்கா
118,Day 24,Learn,Verb,Beginner,கற்றுக்கொள்,सीखना [Seekhna],I want to learn Tamil.,நான் தமிழ் கற்றுக்கொள்ள விரும்புகிறேன்.,मैं तमिल सीखना चाहता हूँ।,"Study, Acquire",பயில்
119,Day 24,Teach,Verb,Beginner,கற்றுக்கொடு,सिखाना [Sikhana],Teach me a song.,எனக்கு ஒரு பாட்டு கற்றுக்கொடுங்கள்.,मुझे एक गाना सिखाओ।,"Educate, Train",போதி
120,Day 24,Ask,Verb,Beginner,கேள்,पूछना [Poochna],Ask him a question.,அவரிடம் ஒரு கேள்வி கேளுங்கள்.,उससे एक सवाल पूछो।,"Inquire, Query",வினவு
121,Day 25,Answer,Noun/Verb,Beginner,பதில்,जवाब [Jawaab],Write the correct answer.,சரியான பதிலை எழுதுங்கள்.,सही जवाब लिखें।,"Reply, Respond",விடை
122,Day 25,Quick,Adjective,Beginner,விரைவான,जल्दी [Jaldi],"Be quick, we are late.","சீக்கிரம், நமக்கு நேரமாகிவிட்டது.","जल्दी करो, हमें देर हो रही है।","Fast, Rapid",வேகம்
123,Day 25,Eat,Verb,Beginner,சாப்பிடு,खाना [Khana],Eat your breakfast.,உங்கள் காலை உணவை சாப்பிடுங்கள்.,अपना नाश्ता खाओ।,"Consume, Dine",புசி
124,Day 25,Drink,Verb,Beginner,குடி,पीना [Peena],Drink plenty of water.,நிறைய தண்ணீர் குடியுங்கள்.,खूब पानी पिएं।,"Sip, Gulp",அருந்து
125,Day 25,Chair,Noun,Beginner,நாற்காலி,कुर्सी [Kursi],Sit on the chair.,நாற்காலியில் அமருங்கள்.,कुर्सी पर बैठो।,Seat,ஆசனம்
126,Day 26,Sky,Noun,Beginner,வானம்,आसमान [Aasman],The sky is blue and clear.,வானம் நீலமாகவும் தெளிவாகவும் உள்ளது.,आसमान नीला और साफ है।,Heavens,ஆகாயம்
127,Day 26,Believe,Verb,Beginner,நம்பு,विश्वास करना [Vishvaas Karna],I believe in his honesty.,நான் அவரது நேர்மையில் நம்புகிறேன்.,मुझे उसकी ईमानदारी पर विश्वास है।,Trust,உறுதி
128,Day 26,Benefit,Noun,Beginner,நன்மை,लाभ [Laabh],Exercise gives many health benefits.,உடற்பயிற்சி பல ஆரோக்கிய நன்மைகளை அளிக்கிறது.,व्यायाम से कई स्वास्थ्य लाभ मिलते हैं।,Advantage,பயன்
129,Day 26,Careful,Adjective,Beginner,கவனமான,सावधान [Saavadhaan],Be careful when crossing the road.,சாலையைக் கடக்கும்போது கவனமாக இருங்கள்.,सड़क पार करते समय सावधान रहें।,Cautious,எச்சரிக்கை
130,Day 26,Common,Adjective,Beginner,பொதுவான,सामान्य [Saamaanya],This is a very common mistake.,இது ஒரு பொதுவான தவறு.,यह ஒரு बहुत ही सामान्य गलती है।,Usual,சாதாரணம்
131,Day 27,Compare,Verb,Beginner,ஒப்பிடு,तुलना करना [Tulna Karna],Compare the prices before buying.,வாங்குவதற்கு முன் விலைகளை ஒப்பிடு.,खरीदने से पहले कीमतों की तुलना करें।,Match,சீர்தூக்கிப்பார்
132,Day 27,Decide,Verb,Beginner,முடிவு செய்,तय करना [Tay Karna],Have you decided what to wear?,என்ன அணிய வேண்டும் என்று நீங்கள் முடிவு செய்தீர்களா?,क्या आपने तय किया है कि क्या पहनना है?,Determine,தீர்மானி
133,Day 27,Effort,Noun,Beginner,முயற்சி,प्रयास [Prayaas],Your effort is appreciated.,உங்கள் முயற்சி பாராட்டப்படுகிறது.,आपके प्रयास की सराहना की जाती है।,Attempt,பிரயத்தனம்
134,Day 27,Explain,Verb,Beginner,விளக்கு,समझाना [Samjhaana],Can you explain this rule?,இந்த விதியை உங்களால் விளக்க முடியுமா?,क्या आप इस नियम को समझा सकते हैं?,Clarify,விவரி
135,Day 27,Focus,Noun/Verb,Beginner,கவனம்,ध्यान केंद्रित करना [Dhyaan Kendrit Karna],Keep your focus on the road.,சாலையில் உங்கள் கவனத்தை வைத்திருங்கள்.,सड़क पर अपना ध्यान केंद्रित रखें।,Concentration,ஊன்றுகவனி
136,Day 28,Guess,Verb,Beginner,யூகி,अनुमान लगाना [Anumaan Lagaana],Guess what I bought today.,நான் இன்று என்ன வாங்கினேன் என்று யூகி.,अंदाज़ा लगाओ कि मैंने आज क्या खरीदा।,Estimate,கணி
137,Day 28,Imagine,Verb,Beginner,கற்பனை செய்,कल्पना करना [Kalpana Karna],Try to imagine a different world.,ஒரு வித்தியாசமான உலகத்தை கற்பனை செய்து பாருங்கள்.,एक अलग दुनिया की कल्पना करने की कोशिश करें।,Envision,பாவனை செய்
