Day,Level,English,Tamil,Hindi
Day 3,Intermediate,I have already completed my homework for today.,இன்றைய வீட்டுப்பாடத்தை நான் ஏற்கனவே முடித்துவிட்டேன். (Indraya veettuppaadathai naan erkanavay mudithuvitten.),मैंने आज का होमवर्क पहले ही पूरा कर लिया है। (Maine aaj ka homework pehle hi poora kar liya hai.)
Day 3,Intermediate,It was raining so heavily that we stayed indoors.,மழை மிக பலமாகப் பெய்ததால் நாங்கள் வீட்டிற்குள்ளேயே இருந்தோம். (Mazhai miga balamaagap peidhadhaal naangal veettukkullayay irundhoam.),इतनी तेज़ बारिश हो रही थी कि हम घर के अंदर ही रहे। (Itni tez baarish ho rahi thi ki hum ghar ke andar hi rahe.)
Day 3,Intermediate,Can you tell me the way to the nearest hospital?,அருகிலுள்ள மருத்துவமனைக்குச் செல்லும் வழியைச் சொல்ல முடியுமா? (Arugilulla maruthuvamanaikkuch sellum vazhiyaich solla mudiyuma?),क्या आप मुझे पास के अस्पताल का रास्ता बता सकते हैं? (Kya aap mujhe paas ke aspataal ka raasta bata sakte hain?)
Day 3,Intermediate,I haven't seen my cousins for a long time.,நான் நீண்ட நாட்களாக என் உறவினர்களைப் பார்க்கவில்லை. (Naan neenda naatkalaaga en uravinargalaip paarkkavillai.),मैंने लंबे समय से अपने चचेरे भाइयों को नहीं देखा है। (Maine lambe samay se apne chachere bhaiyon ko nahi dekha hai.)
Day 3,Intermediate,Please make sure to turn off the lights before leaving.,கிளம்பும் முன் விளக்குகளை அணைப்பதை உறுதி செய்யவும். (Kilambum mun vilakkugalai anaippadhai urudhi seiyavum.),कृपया जाने से पहले लाइट बंद करना सुनिश्चित करें। (Kripya jaane se pehle light band karna sunishchit karen.)
Day 4,Intermediate,I am not sure if I can attend the meeting.,என்னால் கூட்டத்தில் கலந்து கொள்ள முடியுமா என்று தெரியவில்லை. (Ennaal koottathil kalandhu kolla mudiyuma endru theriya villai.),मुझे यकीन नहीं है कि मैं मीटिंग में शामिल हो पाऊंगा या नहीं। (Mujhe yakeen nahi hai ki main meeting mein shaamil ho paunga ya nahi.)
Day 4,Intermediate,The movie was much better than I expected.,படம் நான் எதிர்பார்த்ததை விட மிகவும் சிறப்பாக இருந்தது. (Padam naan edhirpaarthadhai vida migavum sirappaaga irundhadhu.),फिल्म मेरी उम्मीद से कहीं बेहतर थी। (Film meri ummeed se kahin behtar thi.)
Day 4,Intermediate,You need to practice regularly to improve your English.,உங்கள் ஆங்கிலத்தை மேம்படுத்த நீங்கள் வழக்கமாகப் பயிற்சி செய்ய வேண்டும். (Ungal aangilathai mempadutha neengal vazhakkamaagap payirchi seiya vendum.),अपनी अंग्रेजी सुधारने के लिए आपको नियमित रूप से अभ्यास करने की आवश्यकता है। (Apni angrezi sudhaarne ke liye aapko niyamit roop se abhyas karne ki aavashyakta hai.)
Day 4,Intermediate,I forgot to bring my wallet today.,நான் இன்று என் பணப்பையை எடுத்து வர மறந்துவிட்டேன். (Naan indru en panappaiyai eduthu vara marandhuvitten.),मैं आज अपना बटुआ लाना भूल गया। (Main aaj apna batua laana bhool gaya.)
Day 4,Intermediate,Does this bus go to the city center?,இந்தப் பேருந்து நகரின் மையப்பகுதிக்குச் செல்லுமா? (Indhap perundhu nagarin maiyap-pagudhikkuch selluma?),क्या यह बस शहर के बीचों-बीच जाती है? (Kya yeh bus shehar ke beechon-beech jaati hai?)
Day 5,Intermediate,I am going to buy some groceries this evening.,நான் இன்று மாலை சில மளிகைப் பொருட்களை வாங்கப் போகிறேன். (Naan indru maalai sila maligaip porutkalaivaanga pogiren.),मैं आज शाम कुछ किराने का सामान खरीदने जा रहा हूँ। (Main aaj shaam kuch kirane ka saamaan khareedne ja raha hoon.)
Day 5,Intermediate,He has lived in this city for more than ten years.,அவர் பத்து ஆண்டுகளுக்கும் மேலாக இந்த நகரத்தில் வசிக்கிறார். (Avar pathu aandugalukkum melaaga indha nagarathil vasikkiraar.),वह दस साल से ज्यादा समय से इस शहर में रह रहे हैं। (Wah das saal se zyada samay se is shehar mein reh rahe hain.)
Day 5,Intermediate,Can you lend me your umbrella for a while?,உங்கள் குடையைச் சிறிது நேரம் எனக்குக் கடன் கொடுக்க முடியுமா? (Ungal kudaiyaich siridhu neram enakku kadan kodukka mudiyuma?),क्या आप मुझे थोड़ी देर के लिए अपना छाता उधार दे सकते हैं? (Kya aap mujhe thodi der ke liye apna chhaata udhaar de sakte hain?)
Day 5,Intermediate,My sister is preparing for her final examinations.,என் சகோதரி தனது இறுதித் தேர்வுகளுக்குத் தயாராகிக் கொண்டிருக்கிறாள். (En sagodhari thanadhu irudhi thervugalukkuth thayaaraagik kondirukkiraal.),मेरी बहन अपनी अंतिम परीक्षाओं की तैयारी कर रही है। (Meri behen apni antim parikshayon ki taiyari kar rahi hai.)
Day 5,Intermediate,I will let you know once I receive the documents.,ஆவணங்கள் கிடைத்தவுடன் உங்களுக்குத் தெரிவிக்கிறேன். (Aavannangal kidaithavudan ungalukkuth thervikkiren.),दस्तावेज़ मिलने पर मैं आपको सूचित करूँगा। (Dastawez milne par main aapko soochit karunga.)
Day 6,Intermediate,It takes about forty minutes to get there by train.,ரயிலில் அங்கு செல்ல சுமார் நாற்பது நிமிடங்கள் ஆகும். (Rail-il angu sella sumaar naarpadhu nimidangal aagum.),ट्रेन से वहां पहुंचने में लगभग चालीस मिनट लगते हैं। (Train se wahan pahunchne mein lagbhag chalis minute lagte hain.)
Day 6,Intermediate,I would like to book a table for four people.,நான் நான்கு பேருக்கு ஒரு மேஜையை முன்பதிவு செய்ய விரும்புகிறேன். (Naan naangu perukku oru mejaiyai munpadhivu seiya virumbugiren.),मैं चार लोगों के लिए एक टेबल बुक करना चाहता हूँ। (Main chaar logon ke liye ek table book karna chahta hoon.)
Day 6,Intermediate,Have you ever visited the Taj Mahal?,நீங்கள் எப்போதாவது தாஜ்மஹாலைப் பார்த்திருக்கிறீர்களா? (Neengal eppozhudhavadhu Taj Mahal-ai paarththirukkireergala?),क्या आपने कभी ताजमहल देखा है? (Kya aapne kabhi Taj Mahal dekha hai?)
Day 6,Intermediate,"I am not feeling very well today, so I might stay home.","இன்று எனக்கு உடல்நிலை சரியில்லை, அதனால் நான் வீட்டிலேயே இருக்கலாம். (Indru enakku udalnilai sariyillai, adhalaal naan veettilayay irukkalaam.)","मेरी आज तबीयत ठीक नहीं है, इसलिए शायद मैं घर पर ही रहूँ। (Meri aaj tabiyat theek nahi hai, isliye shayad main ghar par hi rahoon.)"
Day 6,Intermediate,We should try that new Italian restaurant soon.,நாம் விரைவில் அந்தப் புதிய இத்தாலிய உணவகத்தைச் சென்று பார்க்க வேண்டும். (Naam viraivil andhap pudhiya Italian unavagathaich sendru paarkka vendum.),हमें जल्द ही उस नए इतालवी रेस्तरां को आज़माना चाहिए। (Humein jald hi us naye itaalvi restaran ko aazmaana chahiye.)
Day 7,Intermediate,I was surprised to see him at the party last night.,நேற்றிரவு விருந்தில் அவரைப் பார்த்தபோது நான் ஆச்சரியப்பட்டேன். (Netriravu virundhil avaraip paarthapoadhu naan aachariyappatten.),कल रात पार्टी में उन्हें देखकर मैं हैरान रह गया। (Kal raat party mein unhein dekhkar main hairan reh gaya.)
Day 7,Intermediate,She is more interested in science than in arts.,அவளுக்குக் கலைகளை விட அறிவியலில் அதிக ஆர்வம் உள்ளது. (Avalukkuk kalaigalai vida ariviyali adhigam aarvam ulladhu.),उसे कला के बजाय विज्ञान में अधिक रुचि है। (Use kala ke bajaye vigyan mein adhik ruchi hai.)
Day 7,Intermediate,I'll be waiting for you at the entrance of the mall.,மாலின் நுழைவாயிலில் நான் உங்களுக்காகக் காத்திருப்பேன். (Mall-in nuzhaivaayilil naan ungalukkaagak kaathiruppen.),मैं मॉल के प्रवेश द्वार पर आपका इंतज़ार करूँगा। (Main mall ke pravesh dwar par aapka intezaar karunga.)
Day 7,Intermediate,Could you help me carry these heavy bags?,இந்த கனமான பைகளைத் தூக்க எனக்கு உதவ முடியுமா? (Indha kanamaana paigalaith thookka enakku udhava mudiyuma?),क्या आप इन भारी बैगों को उठाने में मेरी मदद कर सकते हैं? (Kya aap in bhaari bagon ko uthane mein meri madad kar sakte hain?)
Day 7,Intermediate,I think it's going to clear up later this afternoon.,இன்று மதியம் வானம் தெளிவாகும் என்று நினைக்கிறேன். (Indru madhiyam vaanam thelivaagum endru ninaikkiren.),मुझे लगता है कि आज दोपहर बाद मौसम साफ हो जाएगा। (Mujhe lagta hai ki aaj dopahar baad mausam saaf ho jayega.)
Day 8,Intermediate,I didn't mean to hurt your feelings.,உங்கள் உணர்வுகளைப் புண்படுத்த வேண்டும் என்பது என் எண்ணமல்ல. (Ungal unarvugalaip punpaduththa vendum enbadhu en ennamalla.),मेरा इरादा आपकी भावनाओं को ठेस पहुँचाने का नहीं था। (Mera irada aapki bhaavnaon ko thes pahunchane ka nahi tha.)
Day 8,Intermediate,We need to discuss the details of the project.,நாம் திட்டத்தின் விவரங்களைப் பற்றி விவாதிக்க வேண்டும். (Naam thittathin vivarangalaip pattri vivaadhikka vendum.),हमें प्रोजेक्ट के विवरण पर चर्चा करने की आवश्यकता है। (Humein project ke vivran par charcha karne ki aavashyakta hai.)
Day 8,Intermediate,It has been a pleasure meeting you today.,இன்று உங்களைச் சந்தித்தது மகிழ்ச்சி அளிக்கிறது. (Indru ungalai sandhithadhu magizhchi alikkiradhu.),आज आपसे मिलकर खुशी हुई। (Aaj aapse milkar khushi hui.)
Day 8,Intermediate,I am planning to learn a new language this year.,நான் இந்த ஆண்டு ஒரு புதிய மொழியைக் கற்கத் திட்டமிட்டுள்ளேன். (Naan indha aandhu oru pudhiya mozhiyaik karkkath thittamittullen.),मैं इस साल एक नई भाषा सीखने की योजना बना रहा हूँ। (Main is saal ek nayi bhasha seekhne ki yojna bana raha hoon.)
Day 8,Intermediate,What time do you usually go to sleep?,நீங்கள் வழக்கமாக எத்தனை மணிக்குத் தூங்கச் செல்வீர்கள்? (Neengal vazhakkamaaga eththanai manikkuth thoongach selveergal?),आप आमतौर पर कितने बजे सोने जाते हैं? (Aap aamtor par kitne baje sone jaate hain?)
Day 9,Intermediate,I'll give you a discount if you buy two of these.,நீங்கள் இதில் இரண்டை வாங்கினால் நான் உங்களுக்குத் தள்ளுபடி தருவேன். (Neengal idhil irandai vaanginaal naan ungalukkuth thallubadi tharuven.),अगर आप इनमें से दो खरीदते हैं तो मैं आपको छूट दूँगा। (Agar aap inmein se do khareedte hain toh main aapko chhoot doonga.)
Day 9,Intermediate,He asked me if I knew where the post office was.,தபால் நிலையம் எங்கே இருக்கிறது என்று எனக்குத் தெரியுமா என்று அவர் கேட்டார். (Thabaal nilaiyam engay irukkiradhu endru enakkuth theriyauma endru avar kettar.),उन्होंने मुझसे पूछा कि क्या मुझे पता है कि डाकघर कहाँ है। (Unhone mujhse poocha ki kya mujhe pata hai ki dakghar kahan hai.)
Day 9,Intermediate,I am really looking forward to the weekend.,நான் வார இறுதியை மிகவும் ஆவலுடன் எதிர்பார்க்கிறேன். (Naan vaara irudhiyai migavum aavaludan edhirpaarkkiren.),मैं वास्तव में वीकेंड का इंतज़ार कर रहा हूँ। (Main vaastav mein weekend ka intezaar kar raha hoon.)
Day 9,Intermediate,It's important to keep your password secret.,உங்கள் கடவுச்சொல்லை ரகசியமாக வைத்திருப்பது முக்கியம். (Ungal kadavuchollai ragasiyamaaga vaithiruppadhu mukkiyam.),अपना पासवर्ड गुप्त रखना महत्वपूर्ण है। (Apna password gupt rakhna mahatvapoorn hai.)
Day 9,Intermediate,I haven't decided which car to buy yet.,எந்த காரை வாங்குவது என்று நான் இன்னும் முடிவு செய்யவில்லை. (Endha car-ai vaanguvadhu endru naan innum mudivu seiyavillai.),मैंने अभी तक तय नहीं किया है कि कौन सी कार खरीदनी है। (Maine abhi tak tay nahi kiya hai ki kaun si car khareedni hai.)
Day 10,Intermediate,Could you please show me how to use this machine?,இந்த இயந்திரத்தை எப்படிப் பயன்படுத்துவது என்று எனக்குக் காட்ட முடியுமா? (Indha iyandhirathai eppadip payanpaduthuvadhul endru enakkuk kaatta mudiyuma?),क्या आप कृपया मुझे दिखा सकते हैं कि इस मशीन का उपयोग कैसे करें? (Kya aap kripya mujhe dikha sakte hain ki is machine ka upyog kaise karen?)
Day 10,Intermediate,I am going to have my hair cut tomorrow.,நான் நாளை எனது தலைமுடியை வெட்டப் போகிறேன். (Naan naalai enadhu thalamudiyai vetta pogiren.),मैं कल अपने बाल कटवाने जा रहा हूँ। (Main kal apne baal katwane ja raha hoon.)
Day 10,Intermediate,"We have run out of milk, so I need to go to the store.","பால் தீர்ந்துவிட்டது, அதனால் நான் கடைக்குச் செல்ல வேண்டும். (Paal theerndhuvittadhu, adhalaal naan kadaikkuch sella vendum.)","दूध खत्म हो गया है, इसलिए मुझे दुकान पर जाना होगा। (Doodh khatam ho gaya hai, isliye mujhe dukaan par jaana hoga.)"
Day 10,Intermediate,I don't think I have met your brother before.,இதற்கு முன்பு நான் உங்கள் சகோதரரைச் சந்தித்ததாகத் தெரியவில்லை. (Idharku munbu naan ungal sagodhararaich sandhithadhaagath theriya villai.),मुझे नहीं लगता कि मैं आपके भाई से पहले मिला हूँ। (Mujhe nahi lagta ki main aapke bhai se pehle mila hoon.)
Day 10,Intermediate,She has been working as a teacher for five years.,அவர் ஐந்து ஆண்டுகளாக ஆசிரியராகப் பணியாற்றி வருகிறார். (Avar aindhu aandugalaaga aasiriyaraagap paniyaatri varugiraar.),वह पांच साल से शिक्षिका के रूप में काम कर रही हैं। (Wah paanch saal se shikshika ke roop mein kaam kar rahi hain.)
Day 11,Intermediate,"I'll be back in a few minutes, so please wait here.","நான் சில நிமிடங்களில் திரும்பி விடுவேன், அதனால் தயவுசெய்து இங்கே காத்திருங்கள். (Naan sila nimidangalil thirumbi viduven, adhalal thayavuseidhu ingay kaathirungal.)","मैं कुछ ही मिनटों में वापस आऊंगा, इसलिए कृपया यहीं रुकें। (Main kuch hi minto mein waapas aaunga, isliye kripya yahin rukein.)"
Day 11,Intermediate,Do you have any plans for the upcoming weekend?,வரும் வார இறுதிக்கு உங்களிடம் ஏதேனும் திட்டங்கள் உள்ளதா? (Varum vaara irudhikkku ungalidam edhenum thittangal ulladha?),क्या आने वाले वीकेंड के लिए आपकी कोई योजना है? (Kya aane waale weekend ke liye aapki koi yojna hai?)
Day 11,Intermediate,I am not sure if this is the right way to the mall.,மாலுக்குச் செல்ல இதுதான் சரியான வழி என்று எனக்குத் தெரியவில்லை. (Mall-ukkuch sella idhudhaan sariyaana vazhi endru enakku theriyavillai.),मुझे यकीन नहीं है कि मॉल जाने का यह सही रास्ता है। (Mujhe yakeen nahi hai ki mall jaane ka yeh sahi raasta hai.)
Day 11,Intermediate,He told me that he had already finished the report.,அவர் ஏற்கனவே அறிக்கையை முடித்துவிட்டதாக என்னிடம் சொன்னார். (Avar erkanave arikkaiyai mudithuvittadhaga ennidam sonnar.),उन्होंने मुझसे कहा कि उन्होंने रिपोर्ट पहले ही पूरी कर ली है। (Unhone mujhse kaha ki unhone report pehle hi poori kar li hai.)
Day 11,Intermediate,We should take a umbrella in case it rains later.,பிறகு மழை பெய்தால் பயன்படுத்த நாம் ஒரு குடையை எடுத்துச் செல்ல வேண்டும். (Piragu mazhai peidhal payanpaduththa naam oru kudaiyai eduthuch sella vendum.),"हमें छाता साथ रखना चाहिए, कहीं बाद में बारिश न हो जाए। (Humein chhaata saath rakhna chahiye, kahin baad mein baarish na ho jaye.)"
Day 12,Intermediate,I am looking forward to meeting your family.,உங்கள் குடும்பத்தினரைச் சந்திக்க நான் ஆவலுடன் காத்திருக்கிறேன். (Ungal kudumbathinarai sandhikka naan aavaludan kaathirukkiren.),मैं आपके परिवार से मिलने के लिए उत्सुक हूँ। (Main aapke parivaar se milne ke liye utsuk hoon.)
Day 12,Intermediate,Could you please explain how this app works?,இந்தச் செயலி எப்படி வேலை செய்கிறது என்று விளக்க முடியுமா? (Indha seiyali eppadi velai seigiradhu endru vilakka mudiyuma?),क्या आप कृपया समझा सकते हैं कि यह ऐप कैसे काम करता है? (Kya aap kripya samjha sakte hain ki yeh app kaise kaam karta hai?)
Day 12,Intermediate,It is much colder today than it was yesterday.,நேற்று இருந்ததை விட இன்று குளிர் அதிகமாக உள்ளது. (Netru irundhadhai vida indru kulir adhigamaaga ulladhu.),कल की तुलना में आज बहुत ज्यादा ठंड है। (Kal ki tulna mein aaj bahut zyada thand hai.)
Day 12,Intermediate,I have been trying to call you since this morning.,நான் இன்று காலையிலிருந்து உங்களை அழைக்க முயற்சி செய்கிறேன். (Naan indru kaalaiyil-irundhu ungalai azhaikka muyarchi seigiren.),मैं आज सुबह से आपको कॉल करने की कोशिश कर रहा हूँ। (Main aaj subah se aapko call karne ki koshish kar raha hoon.)
Day 12,Intermediate,Please remind me to buy milk on our way home.,வீட்டிற்குச் செல்லும் வழியில் பால் வாங்க எனக்கு நினைவுபடுத்துங்கள். (Veettukkuch sellum vazhiyil paal vaanga enakku ninaivupaduthungal.),कृपया घर जाते समय मुझे दूध खरीदने की याद दिलाना। (Kripya ghar jaate samay mujhe doodh khareedne ki yaad dilana.)
Day 13,Intermediate,I don't think I can make it to the party tonight.,இன்று இரவு என்னால் விருந்துக்கு வர முடியும் என்று தோன்றவில்லை. (Indru iravu ennal virundhukku vara mudiyum endru thondravillai.),मुझे नहीं लगता कि मैं आज रात पार्टी में आ पाऊंगा। (Mujhe nahi lagta ki main aaj raat party mein aa paunga.)
Day 13,Intermediate,She speaks English fluently because she lived in London.,அவர் லண்டனில் வசித்ததால் ஆங்கிலம் சரளமாகப் பேசுகிறார். (Avar London-il vasithadhal aangilam saralamaaga pesugirar.),वह धाराप्रवाह अंग्रेजी बोलती है क्योंकि वह लंदन में रहती थी। (Wah dhaarapravaah angrezi bolti hai kyunki wah London mein rehti thi.)
Day 13,Intermediate,We need to find a way to reduce our monthly expenses.,நமது மாதச் செலவுகளைக் குறைக்க ஒரு வழியைக் கண்டறிய வேண்டும். (Namadhu maadha selavugalaik kuraikka oru vazhiyaik kandariya vendum.),हमें अपने मासिक खर्चों को कम करने का तरीका खोजना होगा। (Humein apne maasik kharchon ko kam karne ka tareeka khojna hoga.)
Day 13,Intermediate,I'll let you know as soon as I get the results.,முடிவுகள் கிடைத்தவுடன் உங்களுக்குத் தெரிவிக்கிறேன். (Mudivugal kidaithavudan ungalukkuth therivikkiren.),"जैसे ही मुझे परिणाम मिलेंगे, मैं आपको बताऊंगा। (Jaise hi mujhe parinaam milenge, main aapko bataunga.)"
Day 13,Intermediate,You should try to get at least eight hours of sleep.,நீங்கள் குறைந்தபட்சம் எட்டு மணிநேரம் தூங்க முயற்சிக்க வேண்டும். (Neengal kurindhapatcham ettu manineram thoonga muyarchikka vendum.),आपको कम से कम आठ घंटे की नींद लेने की कोशिश करनी चाहिए। (Aapko kam se कम aath ghante ki neend lene ki koshish karni chahiye.)
Day 14,Intermediate,I'm thinking of starting a small business online.,நான் ஆன்லைனில் ஒரு சிறிய தொழிலைத் தொடங்க நினைக்கிறேன். (Naan online-il oru siriya thozhilai thodanga ninaikkiren.),मैं ऑनलाइन एक छोटा व्यवसाय शुरू करने की सोच रहा हूँ। (Main online ek chhota vyavsay shuru karne ki soch raha hoon.)
Day 14,Intermediate,Do you have any recommendations for a good book?,நல்ல புத்தகத்தைப் படிக்க ஏதேனும் பரிந்துரை உங்களிடம் உள்ளதா? (Nalla puthagaththaip padikka edhenum parindhurai ungalidam ulladha?),क्या आपके पास किसी अच्छी किताब के लिए कोई सुझाव है? (Kya aapke paas kisi acchi kitaab ke liye koi sujhaav hai?)
Day 14,Intermediate,I am sorry for being late; there was a lot of traffic.,தாமதத்திற்கு மன்னிக்கவும்; போக்குவரத்து அதிகமாக இருந்தது. (Thaamadhathirku mannikkavum; pokkuvarathu adhigamaaga irundhadhu.),देर से आने के लिए क्षमा करें; ट्रैफिक बहुत ज्यादा था। (Der se aane ke liye kshama karen; traffic bahut zyada tha.)
Day 14,Intermediate,"My phone is almost out of battery, so I'll be quick.","என் போனில் சார்ஜ் முடியப்போகிறது, அதனால் நான் சீக்கிரம் பேசி முடிக்கிறேன். (En phone-il charge mudiyappogiradhu, adhalal naan seekkiram pesi mudikkiren.)","मेरे फोन की बैटरी लगभग खत्म हो गई है, इसलिए मैं जल्दी बात करूँगा। (Mere phone ki battery lagbhag khatam ho gayi hai, isliye main jaldi baat karunga.)"
Day 14,Intermediate,It takes about an hour to drive to the airport.,விமான நிலையத்திற்கு வாகனத்தில் செல்ல சுமார் ஒரு மணி நேரம் ஆகும். (Vimaana nilaiyathirku vaahanathil sella sumaar oru mani neram aagum.),हवाई अड्डे तक गाड़ी से जाने में लगभग एक घंटा लगता है। (Hawai adde tak gaadi se jaane mein lagbhag ek ghanta lagta hai.)
Day 15,Intermediate,I have decided to take a short break from social media.,சமூக ஊடகங்களில் இருந்து ஒரு சிறிய இடைவெளி எடுக்க முடிவு செய்துள்ளேன். (Samuga oodagangalil irundhu oru siriya idaiveli edukka mudivu seithullen.),मैंने सोशल मीडिया से एक छोटा ब्रेक लेने का फैसला किया है। (Maine social media se ek chhota break lene ka faisla kiya hai.)
Day 15,Intermediate,Could you tell me where the nearest pharmacy is?,அருகிலுள்ள மருந்தகம் எங்கே இருக்கிறது என்று சொல்ல முடியுமா? (Arugilulla marundhagam engay irukkiradhu endru solla mudiyuma?),क्या आप मुझे बता सकते हैं कि पास की फार्मेसी कहाँ है? (Kya aap mujhe bata sakte hain ki paas ki pharmacy kahan hai?)
Day 15,Intermediate,I'm not used to waking up so early in the morning.,எனக்கு அதிகாலையில் இவ்வளவு சீக்கிரம் எழுந்து பழக்கமில்லை. (Enakku adhikaalaiyil ivvalavu seekkiram ezhundhu palakkamillai.),मुझे सुबह इतनी जल्दी उठने की आदत नहीं है। (Mujhe subah itni jaldi uthne ki aadat nahi hai.)
Day 15,Intermediate,She has been studying very hard for her entrance exams.,அவர் தனது நுழைவுத் தேர்வுகளுக்காக மிகவும் கடினமாகப் படித்து வருகிறார். (Avar thanadhu nuzhaivu thervugalkkaaga migavum kadinamaagap padithu varugirar.),वह अपनी प्रवेश परीक्षा के लिए बहुत मेहनत से पढ़ाई कर रही है। (Wah apni pravesh pariksha ke liye bahut mehnat se padhai kar रही hai.)
Day 15,Intermediate,I'll be waiting for you in front of the cinema hall.,நான் சினிமா திரையரங்கின் முன்னால் உங்களுக்காகக் காத்திருப்பேன். (Naan cinema thiraiyarangin munnal ungalukkaagak kaathiruppen.),मैं सिनेमा हॉल के सामने आपका इंतज़ार करूँगा। (Main cinema hall ke saamne aapka intezaar karunga.)
Day 16,Intermediate,I don't really like eating out every day.,எனக்கு தினமும் வெளியே சாப்பிடுவது அவ்வளவாகப் பிடிக்காது. (Enakku dhinamum veliyay saappiduvadhu avvalavaagap pidikkaadhu.),मुझे रोज बाहर खाना खाना ज्यादा पसंद नहीं है। (Mujhe roz baahar khaana khaana zyada pasand nahi hai.)
Day 16,Intermediate,How long does it take to learn how to drive a car?,கார் ஓட்டக் கற்றுக்கொள்ள எவ்வளவு காலம் ஆகும்? (Car ottak kattrukkolla evvalavu kaalam aagum?),कार चलाना सीखने में कितना समय लगता है? (Car chalana seekhne mein kitna samay lagta hai?)
Day 16,Intermediate,I forgot to bring my laptop charger to the office today.,நான் இன்று அலுவலகத்திற்கு லேப்டாப் சார்ஜரை எடுத்து வர மறந்துவிட்டேன். (Naan indru aluvalagathirku laptop charger-ai eduthu vara marandhuvitten.),मैं आज ऑफिस में अपना लैपटॉप चार्जर लाना भूल गया। (Main aaj office mein apna laptop charger laana bhool gaya.)
Day 16,Intermediate,We should definitely visit that place during our vacation.,விடுமுறையின் போது நாம் கண்டிப்பாக அந்த இடத்தைப் பார்க்க வேண்டும். (Vidumuraiyin podhu naam kandippaaga andha idaththaip paarkka vendum.),हमें अपनी छुट्टियों के दौरान उस जगह पर जरूर जाना चाहिए। (Humein apni chhuttiyon ke dauran us jagah par zaroor jaana chahiye.)
Day 16,Intermediate,He is very interested in learning about ancient history.,பண்டைய வரலாற்றைப் பற்றி அறிந்துகொள்வதில் அவர் மிகுந்த ஆர்வம் கொண்டுள்ளார். (Pandaiya varalaattraip pattri arindhukolvadhil avar migundha aarvam kondullar.),प्राचीन इतिहास के बारे में जानने में उनकी बहुत रुचि है। (Praacheen itihaas ke baare mein jaane mein unki bahut ruchi hai.)
