story_id,story_title,step_id,step_order,text,choice_a_text,choice_a_next,choice_b_text,choice_b_next,choice_c_text,choice_c_next,is_ending,ending_summary
esther_courage,Esther is Strong,ec6,6,"Esther goes to the king. She speaks in a strong way.","Tell what is right",ec7,"Speak with calm",ec8,,,false,
esther_courage,Esther is Strong,ec7,7,"The king listens. Help comes to the people.",,,,,"",,true,"You chose to act. This path brings hope and help. Try again to see what happens when you stay quiet."
esther_courage,Esther is Strong,ec8,8,"The king listens with calm. Peace comes.",,,,,"",,true,"You chose calm and care. Peace comes. Try again to see another way."
esther_courage,Esther is Strong,ec9,9,"Esther stays quiet. The danger stays.",,,,,"",,true,"You chose to stay quiet. The danger stays. Try again to see what happens when you act."
missed_call,The Phone Number,mc1,1,"Liam sees a phone number from his friend on his phone.","Use the phone now",mc2,"Wait",mc3,,,false,
missed_call,The Phone Number,mc2,2,"Liam uses the phone. His friend is not calm.","Listen",mc4,"Talk about Liam",mc5,,,false,
missed_call,The Phone Number,mc3,3,"Liam waits. The friend is alone.","Send a short answer",mc6,"Stay quiet",mc9,,,false,
missed_call,The Phone Number,mc4,4,"Liam listens. His friend has a problem.","Help",mc7,"Give a short answer",mc5,,,false,
missed_call,The Phone Number,mc5,5,"Liam talks but does not listen. The friend is alone.","Listen again",mc4,"End the talk",mc8,,,false,
missed_call,The Phone Number,mc6,6,"Liam sends a short answer. The friend stays quiet.","Use the phone",mc2,"Stay quiet",mc9,,,false,
missed_call,The Phone Number,mc7,7,"Liam helps. The friend has hope.",,,,,"",,true,"You chose to help and listen. Trust is strong. Try again to see what happens when you stay quiet."
missed_call,The Phone Number,mc8,8,"Liam ends the talk. The friend is alone.",,,,,"",,true,"You chose to end the talk. This path is quiet. Try again to listen and help."
missed_call,The Phone Number,mc9,9,"Liam stays quiet. The friend is alone.",,,,,"",,true,"You chose to stay quiet. This path feels weak. Try again to use the phone and listen."
