"Lesson","Image","SizeKB","Status"
"Lesson_08_Types_of_Sentences","imperative_ravi_square.webp","32.38","2D (Small)"
"Lesson_08_Types_of_Sentences","interrogative_ravi_square.webp","18.01","2D (Small)"
"Lesson_08_Types_of_Sentences","punctuation_guide_square.webp","61.84","3D (Large)"
"Lesson_08_Types_of_Sentences","ravi_4_types_square.webp","28.02","2D (Small)"
"Lesson_09_Modal_Verbs","9_modals_overview_square.webp","52.96","3D (Large)"
"Lesson_09_Modal_Verbs","can_could_ability_square.webp","27.77","2D (Small)"
"Lesson_09_Modal_Verbs","may_might_possibility_square.webp","25.66","2D (Small)"
"Lesson_09_Modal_Verbs","modals_speaking_squar.webp","18.34","2D (Small)"
"Lesson_09_Modal_Verbs","modal_questions_neg_square.webp","20.85","2D (Small)"
"Lesson_09_Modal_Verbs","modal_quiz_square.webp","31.54","2D (Small)"
"Lesson_09_Modal_Verbs","modal_speaking_square.webp","33.33","2D (Small)"
"Lesson_09_Modal_Verbs","must_have_to_square.webp","32.45","2D (Small)"
"Lesson_09_Modal_Verbs","ravi_modals_hook_square.webp","24.88","2D (Small)"
"Lesson_09_Modal_Verbs","should_advice_square.webp","22.87","2D (Small)"
"Lesson_09_Modal_Verbs","will_shall_future_square.webp","23.51","2D (Small)"
"Lesson_12_Active_Passive","active_passive_hook_square.webp","394.95","3D (Large)"
"Lesson_12_Active_Passive","active_passive_structure_square.webp","352.57","3D (Large)"
"Lesson_12_Active_Passive","future_perfect_square.webp","28.42","2D (Small)"
"Lesson_12_Active_Passive","no_by_agent_square.webp","38.28","2D (Small)"
"Lesson_12_Active_Passive","passive_when_square.webp","543.59","3D (Large)"
"Lesson_12_Active_Passive","past_voice_square.webp","528.68","3D (Large)"
"Lesson_12_Active_Passive","phrasal_quiz_square.webp","48.47","2D (Small)"
"Lesson_12_Active_Passive","phrasal_speaking_square.webp","391.15","3D (Large)"
"Lesson_12_Active_Passive","present_voice_square.webp","479.27","3D (Large)"
"Lesson_12_Active_Passive","separable_practice_square.webp","27.13","2D (Small)"
"Lesson_12_Active_Passive","transitive_intransitive_square.webp","50.67","3D (Large)"
"Lesson_12_Active_Passive","voice_arrow_flow_square.webp","392.15","3D (Large)"
"Lesson_12_Active_Passive","voice_quiz_square.webp","443.69","3D (Large)"
"Lesson_12_Active_Passive","voice_reference_square.webp","468.72","3D (Large)"
"Lesson_14_Question_Types","5_question_types_square.webp","28.31","2D (Small)"
"Lesson_14_Question_Types","choice_questions_square.webp","60.85","3D (Large)"
"Lesson_14_Question_Types","question_types_hook_square.webp","121.15","3D (Large)"
"Lesson_14_Question_Types","wh_questions_square.webp","104.56","3D (Large)"
"Lesson_14_Question_Types","yes_no_questions_square.webp","60.03","3D (Large)"
"Lesson_16_Relative_Pronoun","5_relative_pronouns_square.webp","39.46","2D (Small)"
"Lesson_16_Relative_Pronoun","defining_nondefining_square.webp","27.08","2D (Small)"
"Lesson_16_Relative_Pronoun","omit_pronoun_square.webp","32.8","2D (Small)"
"Lesson_16_Relative_Pronoun","relative_pronoun_hook_square.webp","54.43","3D (Large)"
"Lesson_16_Relative_Pronoun","relative_quiz_square.webp","34.63","2D (Small)"
"Lesson_16_Relative_Pronoun","relative_speaking_square.webp","32.11","2D (Small)"
"Lesson_16_Relative_Pronoun","sentence_combiner_square.webp","22.96","2D (Small)"
"Lesson_16_Relative_Pronoun","which_that_square.webp","22.05","2D (Small)"
"Lesson_16_Relative_Pronoun","whose_possession_square.webp","32.4","2D (Small)"
"Lesson_16_Relative_Pronoun","who_whom_square.webp","44.18","2D (Small)"
"Lesson_27_Adverbs","5_adverb_types_square.webp","350.6","3D (Large)"
"Lesson_27_Adverbs","adverb_chart_square.webp","78.77","3D (Large)"
"Lesson_27_Adverbs","adverb_hook_square.webp","439.88","3D (Large)"
"Lesson_27_Adverbs","adverb_mistakes_square.webp","431.63","3D (Large)"
"Lesson_27_Adverbs","adverb_positions_square.webp","511.04","3D (Large)"
"Lesson_27_Adverbs","adverb_quiz_square.webp","337.16","3D (Large)"
"Lesson_27_Adverbs","degree_adverbs_square.webp","338.06","3D (Large)"
"Lesson_27_Adverbs","frequency_adverbs_square.webp","364.62","3D (Large)"
"Lesson_27_Adverbs","manner_adverbs_square.webp","459.45","3D (Large)"
"Lesson_27_Adverbs","place_time_adverbs_square.webp","342.53","3D (Large)"
"Lesson_28_Linking_Words","4_linking_families_square.webp","68.92","3D (Large)"
"Lesson_28_Linking_Words","addition_links_square.webp","64.54","3D (Large)"
"Lesson_28_Linking_Words","contrast_links_square.webp","259.38","3D (Large)"
"Lesson_28_Linking_Words","essay_flow_square.webp","123.58","3D (Large)"
"Lesson_28_Linking_Words","linker_quiz_square.webp","68.46","3D (Large)"
"Lesson_28_Linking_Words","linking_chart_square.webp","83.3","3D (Large)"
"Lesson_28_Linking_Words","linking_hook_square.webp","126.24","3D (Large)"
"Lesson_28_Linking_Words","position_rules_square.webp","52.46","3D (Large)"
"Lesson_28_Linking_Words","result_links_square.webp","137.86","3D (Large)"
"Lesson_28_Linking_Words","sequence_links_square.webp","155.34","3D (Large)"
"Lesson_Comparatives","comparison_chart_square.webp","103.8","3D (Large)"
"Lesson_Comparatives","comparison_ladder_square.webp","98.63","3D (Large)"
"Lesson_Comparatives","comparison_mistakes_square.webp","122.18","3D (Large)"
"Lesson_Comparatives","comparison_quiz_square.webp","50.77","3D (Large)"
"Lesson_Comparatives","comp_vs_super_square.webp","119.37","3D (Large)"
"Lesson_Comparatives","irregular_adjectives_square.webp","77.13","3D (Large)"
"Lesson_Comparatives","long_adjectives_square.webp","103.91","3D (Large)"
"Lesson_Comparatives","short_adjectives_square.webp","97.48","3D (Large)"
"Lesson_Comparatives","three_degrees_square.webp","118.45","3D (Large)"
"Lesson_Comparatives","y_adjectives_square.webp","126.55","3D (Large)"
"Lesson_Conditionals","4_conditionals_square.webp","112.13","3D (Large)"
"Lesson_Conditionals","conditionals_timeline_square.webp","169.39","3D (Large)"
"Lesson_Conditionals","conditional_chart_square.webp","175.16","3D (Large)"
"Lesson_Conditionals","conditional_mistakes_square.webp","90.04","3D (Large)"
"Lesson_Conditionals","conditional_quiz_square.webp","136.53","3D (Large)"
"Lesson_Conditionals","first_conditional_square.webp","94.48","3D (Large)"
"Lesson_Conditionals","mixed_conditionals_square.webp","89.16","3D (Large)"
"Lesson_Conditionals","second_conditional_square.webp","130.26","3D (Large)"
"Lesson_Conditionals","third_conditional_square.webp","103.3","3D (Large)"
"Lesson_Conditionals","zero_conditional_square.webp","89.86","3D (Large)"
"Lesson_Correlative_Conjunctions","8_correlative_pairs_square.webp","152.96","3D (Large)"
"Lesson_Correlative_Conjunctions","both_and_square.webp","101.52","3D (Large)"
"Lesson_Correlative_Conjunctions","comparison_pairs_square.webp","129.93","3D (Large)"
"Lesson_Correlative_Conjunctions","either_or_square.webp","100.64","3D (Large)"
"Lesson_Correlative_Conjunctions","neither_nor_square.webp","101.78","3D (Large)"
"Lesson_Correlative_Conjunctions","not_only_but_also_square.webp","99.77","3D (Large)"
"Lesson_Correlative_Conjunctions","parallel_structure_square.webp","120.53","3D (Large)"
"Lesson_Correlative_Conjunctions","ravi_correlative_pairs_square.webp","151.18","3D (Large)"
"Lesson_Determiners","articles_determiners_square.webp","102.66","3D (Large)"
"Lesson_Determiners","demonstratives_square.webp","108.6","3D (Large)"
"Lesson_Determiners","determiners_hook_square.webp","116.02","3D (Large)"
"Lesson_Determiners","determiner_chart_square.webp","183.49","3D (Large)"
"Lesson_Determiners","determiner_quiz_square.webp","40.09","2D (Small)"
"Lesson_Determiners","determiner_rules_square.webp","123.74","3D (Large)"
"Lesson_Determiners","determiner_types_square.webp","158.36","3D (Large)"
"Lesson_Determiners","numbers_determiners_square.webp","165.24","3D (Large)"
"Lesson_Determiners","possessive_determiners_square.webp","150.76","3D (Large)"
"Lesson_Determiners","quantifiers_square.webp","121.14","3D (Large)"
"Lesson_Direct_Indirect_Speech","commands_indirect_square.webp","133.94","3D (Large)"
"Lesson_Direct_Indirect_Speech","direct_indirect_hook_square.webp","107.4","3D (Large)"
"Lesson_Direct_Indirect_Speech","pronoun_changes_square.webp","110.94","3D (Large)"
"Lesson_Direct_Indirect_Speech","question_indirect_square.webp","180.51","3D (Large)"
"Lesson_Direct_Indirect_Speech","speech_reference_square.webp","116.22","3D (Large)"
"Lesson_Direct_Indirect_Speech","speech_types_square.webp","756.44","3D (Large)"
"Lesson_Direct_Indirect_Speech","tense_backshift_square.webp","174.11","3D (Large)"
"Lesson_Direct_Indirect_Speech","time_place_changes_square.webp","146.41","3D (Large)"
"Lesson_Idioms","animal_idioms_square.webp","373.84","3D (Large)"
"Lesson_Idioms","body_idioms_square.webp","432.53","3D (Large)"
"Lesson_Idioms","emotion_idioms_square.webp","386.19","3D (Large)"
"Lesson_Idioms","food_idioms_square.webp","419.84","3D (Large)"
"Lesson_Idioms","Gemini_Generated_Image_9qqq3y9qqq3y9qqq (8).webp","500.54","3D (Large)"
"Lesson_Idioms","idioms_confusion_square.webp","500.46","3D (Large)"
"Lesson_Idioms","idioms_speaking_square.webp","384.95","3D (Large)"
"Lesson_Idioms","idiom_fill_square.webp","29.83","2D (Small)"
"Lesson_Idioms","idiom_quiz_square.webp","27.79","2D (Small)"
"Lesson_Idioms","literal_vs_idiom_square.webp","390.88","3D (Large)"
"Lesson_Idioms","school_idioms_square.webp","405.98","3D (Large)"
"Lesson_Infinitives_Participles","bare_infinitive_square.webp","411.69","3D (Large)"
"Lesson_Infinitives_Participles","Gemini_Generated_Image_ryfbmlryfbmlryfb (9).webp","508.38","3D (Large)"
"Lesson_Infinitives_Participles","infinitive_gerund_square.webp","30.9","2D (Small)"
"Lesson_Infinitives_Participles","infinitive_purpose_square.webp","393.38","3D (Large)"
"Lesson_Infinitives_Participles","past_participle_square.webp","519.13","3D (Large)"
"Lesson_Infinitives_Participles","present_participle_square.webp","472.53","3D (Large)"
"Lesson_Infinitives_Participles","verb_forms_chart_square.webp","640.89","3D (Large)"
"Lesson_Infinitives_Participles","verb_forms_hook_square.webp","496.24","3D (Large)"
"Lesson_Infinitives_Participles","verb_form_quiz_square.webp","52.42","3D (Large)"
"Lesson_Infinitives_Participles","verb_patterns_square.webp","482.88","3D (Large)"
"Lesson_Infinitives_Participles","verb_spectrum_square.webp","327.37","3D (Large)"
"Lesson_Phrasal_Verbs","Gemini_Generated_Image_x58wrpx58wrpx58w (6).webp","387.92","3D (Large)"
"Lesson_Phrasal_Verbs","Gemini_Generated_Image_x58wrpx58wrpx58w (7).webp","467.32","3D (Large)"
"Lesson_Phrasal_Verbs","home_phrasals_square.webp","314.69","3D (Large)"
"Lesson_Phrasal_Verbs","particle_meanings_square.webp","314.2","3D (Large)"
"Lesson_Phrasal_Verbs","phrasal_quiz_square.webp","40.05","2D (Small)"
"Lesson_Phrasal_Verbs","phrasal_speaking_square.webp","411.08","3D (Large)"
"Lesson_Phrasal_Verbs","phrasal_vs_literal_square.webp","481.47","3D (Large)"
"Lesson_Phrasal_Verbs","ravi_pick_up_square.webp","570.83","3D (Large)"
"Lesson_Phrasal_Verbs","school_phrasals_square.webp","406.24","3D (Large)"
"Lesson_Phrasal_Verbs","separable_inseparable_square.webp","500.6","3D (Large)"
"Lesson_Prefixes_Suffixes","action_prefixes_square.webp","35.73","2D (Small)"
"Lesson_Prefixes_Suffixes","adjective_suffixes_square.webp","42.68","2D (Small)"
"Lesson_Prefixes_Suffixes","adverb_ly_square.webp","31.16","2D (Small)"
"Lesson_Prefixes_Suffixes","happy_transformations_square.webp","46.4","2D (Small)"
"Lesson_Prefixes_Suffixes","negative_prefixes_square.webp","46.39","2D (Small)"
"Lesson_Prefixes_Suffixes","noun_suffixes_square.webp","33.37","2D (Small)"
"Lesson_Prefixes_Suffixes","prefix_suffix_chart_square.webp","25.97","2D (Small)"
"Lesson_Prefixes_Suffixes","prefix_suffix_quiz_square.webp","26.65","2D (Small)"
"Lesson_Prefixes_Suffixes","prefix_suffix_tree_square.webp","35.05","2D (Small)"
"Lesson_Prefixes_Suffixes","word_family_builder_square.webp","35.19","2D (Small)"
"Lesson_Prepositions","common_phrases_square.webp","50.32","3D (Large)"
"Lesson_Prepositions","movement_prepositions_square.webp","53.77","3D (Large)"
"Lesson_Prepositions","place_prepositions_square.webp","42.45","2D (Small)"
"Lesson_Prepositions","preposition_chart_square.webp","33.79","2D (Small)"
"Lesson_Prepositions","preposition_hook_square.webp","41.21","2D (Small)"
"Lesson_Prepositions","preposition_mistakes_square.webp","19.18","2D (Small)"
"Lesson_Prepositions","preposition_quiz_square.webp","41.41","2D (Small)"
"Lesson_Prepositions","time_prepositions_square.webp","52.46","3D (Large)"
"Lesson_Prepositions","tricky_prepositions_square.webp","30.4","2D (Small)"
"Lesson_Prepositions","verb_prepositions_square.webp","32.39","2D (Small)"
"Lesson_Punctuation","4_enders_square.webp","41.45","2D (Small)"
"Lesson_Punctuation","apostrophe_square.webp","24.61","2D (Small)"
"Lesson_Punctuation","colon_semicolon_square.webp","47.24","2D (Small)"
"Lesson_Punctuation","comma_rules_square.webp","26.78","2D (Small)"
"Lesson_Punctuation","parentheses_dash_square.webp","31.28","2D (Small)"
"Lesson_Punctuation","punctuation_chart_square.webp","56.01","3D (Large)"
"Lesson_Punctuation","punctuation_hook_square.webp","25.09","2D (Small)"
"Lesson_Punctuation","punctuation_mistakes_square.webp","35.25","2D (Small)"
"Lesson_Punctuation","punctuation_quiz_square.webp","34.72","2D (Small)"
"Lesson_Punctuation","quotes_square.webp","24.12","2D (Small)"
"Lesson_Reported_Questions","commands_indirect_square.webp","48.83","2D (Small)"
"Lesson_Reported_Questions","direct_indirect_hook_square.webp","38.01","2D (Small)"
"Lesson_Reported_Questions","mixed_conversion_square.webp","39.05","2D (Small)"
"Lesson_Reported_Questions","pronoun_changes_square.webp","37.43","2D (Small)"
"Lesson_Reported_Questions","question_indirect_square.webp","28.47","2D (Small)"
"Lesson_Reported_Questions","reported_questions_backshift.webp","90.69","3D (Large)"
"Lesson_Reported_Questions","reported_questions_commands_robot.webp","87.54","3D (Large)"
"Lesson_Reported_Questions","reported_questions_direct_indirect.webp","83.12","3D (Large)"
"Lesson_Reported_Questions","reported_questions_hook.webp","107.14","3D (Large)"
"Lesson_Reported_Questions","reported_questions_if_whether_mark.webp","186.5","3D (Large)"
"Lesson_Reported_Questions","reported_questions_library_mixed.webp","202.97","3D (Large)"
"Lesson_Reported_Questions","reported_questions_pronouns.webp","100.62","3D (Large)"
"Lesson_Reported_Questions","reported_questions_time_place_signpost.webp","136.22","3D (Large)"
"Lesson_Reported_Questions","speech_quiz_square.webp","38.39","2D (Small)"
"Lesson_Reported_Questions","speech_reference_square.webp","43.75","2D (Small)"
"Lesson_Reported_Questions","speech_types_square.webp","42.18","2D (Small)"
"Lesson_Reported_Questions","tense_backshift_square.webp","34.23","2D (Small)"
"Lesson_Reported_Questions","time_place_changes_square.webp","25.6","2D (Small)"
"Lesson_Subject_Verb_Agreement","agreement_quiz_square.webp","85.78","3D (Large)"
"Lesson_Subject_Verb_Agreement","agreement_speaking_square.webp","55.56","3D (Large)"
"Lesson_Subject_Verb_Agreement","and_plural_rule_square.webp","78.02","3D (Large)"
"Lesson_Subject_Verb_Agreement","collective_nouns_square.webp","71.43","3D (Large)"
"Lesson_Subject_Verb_Agreement","common_mistakes_square.webp","45.64","2D (Small)"
"Lesson_Subject_Verb_Agreement","i_you_special_square.webp","42.02","2D (Small)"
"Lesson_Subject_Verb_Agreement","or_nearest_rule_square.webp","38.52","2D (Small)"
"Lesson_Subject_Verb_Agreement","singular_plural_rule_square.webp","64.36","3D (Large)"
"Lesson_Subject_Verb_Agreement","subject_verb_match_square.webp","75.43","3D (Large)"
"Lesson_Subject_Verb_Agreement","tricky_words_square.webp","73.25","3D (Large)"
"Lesson_Verbal_Nouns","gerund_object_square.webp","39.59","2D (Small)"
"Lesson_Verbal_Nouns","gerund_preposition_square.webp","28.27","2D (Small)"
"Lesson_Verbal_Nouns","gerund_quiz_square.webp","25.3","2D (Small)"
"Lesson_Verbal_Nouns","gerund_speaking_square.webp","41.8","2D (Small)"
"Lesson_Verbal_Nouns","gerund_subject_square.webp","32.89","2D (Small)"
"Lesson_Verbal_Nouns","gerund_verbs_square.webp","23.62","2D (Small)"
"Lesson_Verbal_Nouns","gerund_vs_infinitive_square.webp","35.75","2D (Small)"
"Lesson_Verbal_Nouns","possessive_gerund_square.webp","32.96","2D (Small)"
"Lesson_Verbal_Nouns","verbal_nouns_hook_square.webp","50.43","3D (Large)"
"Lesson_Verbal_Nouns","verbs_with_infinitive_square.webp","42.56","2D (Small)"
"Lesson_Verbal_Nouns","verb_vs_gerund_square.webp","48.09","2D (Small)"
